sample,new_1429967_1430160_c
LBexp_1,8.8577
LBexp_2,9.2676
LBexp_3,9.0079
LBtran_1,8.6343
LBtran_2,8.4653
LBtran_3,8.3067
LBstat_1,11.0058
LBstat_2,11.1965
LBstat_3,10.4523
LBGexp_1,8.652000000000001
LBGexp_2,9.0047
LBGexp_3,8.5933
LBGtran_2,8.3341
LBGtran_3,8.9309
LBGstat_1,9.8369
LBGstat_2,9.2766
LBGstat_3,8.9967
S0_1,8.7686
S0_2,10.0321
S0_3,9.624
S1_1,9.5606
S1_2,9.2844
S1_3,9.2212
S2_1,10.7878
S2_2,9.8027
S2_3,9.2078
S3_1,9.9708
S3_2,9.1953
S4_1,9.3763
S4_2,9.0009
S4_3,8.7652
S5_1,8.9394
S5_2,8.6027
S5_3,9.0783
S6_1,8.6415
S6_2,7.0484
S6_3,8.7254
S6/t_1,9.4818
S6/t_2,7.4267
S6_4,8.5115
S6_5,8.8515
S6_6,8.9948
S7_4,9.3849
S7_5,9.3763
S7_6,9.436
S8_4,8.9043
S8_5,8.6799
G135_1,8.7683
G135_3,8.1443
G150_1,8.3947
G150_2,9.0244
G150_3,8.4151
G180_1,8.5848
G180_2,8.9291
G180_3,8.417
C30_1,9.7843
C30_2,9.7602
C90_1,9.7567
C90_2,8.6046
BI_1,10.0207
BI_2,10.1349
BC_2,9.3029
BC/t_1,9.2973
BC/t_2,10.6798
BC_1,8.4907
Sw_1,8.4864
Sw_2,8.9156
BT_1,9.3794
BT_2,8.6081
B36_1,9.8162
B36_2,9.6898
B60_1,9.9724
B60_2,11.439
M9exp_1,8.7652
M9exp_2,8.4636
M9exp_3,8.334
M9tran_1,8.9045
M9tran_2,8.9054
M9tran_3,9.0073
M9stat_1,9.1031
M9stat_2,9.3649
M9stat_3,9.2126
M+G_1,9.7392
M+G_2,8.9107
M+G_3,8.911
Glu_1,9.1914
Glu_2,8.96
Glu_3,9.1676
Fru_1,9.3107
Fru_2,9.5682
Fru_3,8.7912
Mal_1,8.4921
Mal_2,9.0733
Mal_3,9.1732
G+S_2,8.9304
G+S_3,9.2182
Pyr_1,9.4771
Pyr_2,9.6023
Pyr_3,9.6261
Gly_1,9.0071
Gly_2,9.2943
Gly_3,9.118
Glucon_1,9.4685
Glucon_2,9.0083
Glucon_3,8.529
aero_1,9.484
aero_2,8.4972
aero_3,9.5267
nit_1,10.047
nit_2,11.0556
nit_3,10.7143
ferm_1,10.4037
ferm_2,10.5211
ferm_3,10.9401
T-5.40H_1,9.3478
T-4.40H_1,9.4831
T-3.40H_1,9.1436
T-2.40H_1,8.9783
T-1.40H_1,9.3179
T-1.10H_1,9.2826
T-0.40H_1,8.9215
T0.0H_1,9.1596
T0.30H_1,10.2334
T1.0H_1,9.501
T1.30H_1,9.6107
T2.0H_1,8.9269
T2.30H_1,9.4937
T3.0H_1,9.3913
T3.30H_1,9.8015
T4.0H_1,9.7528
T5.0H_1,9.07
HPh_1,8.9934
HPh_2,8.7247
HPh_3,8.8384
LPh_1,8.6227
LPh_2,9.3272
LPh_3,8.6372
LPhT_1,9.7314
LPhT_2,10.0324
LPhT_3,10.5242
SMMPr_1,8.2142
SMMPr_2,8.3269
SMMPr_3,8.4757
HiTm_1,7.6433
HiTm_2,8.2461
HiTm_3,7.9981
LoTm_1,10.0062
LoTm_2,9.3351
LoTm_3,9.7612
HiOs_1,8.7602
HiOs_2,8.7837
HiOs_3,8.7437
BMM_1,7.77
BMM_2,7.7970000000000015
BMM_3,8.0553
Heat_1,8.9727
Heat_2,8.1536
Heat_3,8.503
Cold_1,11.9043
Cold_2,11.1529
Cold_3,10.7864
Etha_1,8.2894
Etha_2,8.4467
Etha_3,8.2589
SMM_1,8.4142
SMM_2,8.6119
