,htrL
Cr_1,-0.001255789202283625
Cr_2,-0.0032155760404233317
Cr_3,-0.004010280072966927
Cr_4,-0.006323319007574954
Cr_5,-0.006631622828133238
Cr_6,-0.008951791719317578
Fe_1,-0.00420379815343926
Fe_2,-0.007192634268998214
Fe_3,-0.007079023557483217
Fe_4,-0.008597821728373842
Fe_5,-0.006871909294302153
Fe_6,-0.0022759969382133297
Cd_1,0.020558533661938886
Cd_2,0.04441061684457081
Cd_3,0.06990856070559252
Cd_4,0.09271578394520524
Cd_5,0.10766601624536873
Cd_6,0.12479634672030487
Zn_1,-0.0015972466531594335
Zn_2,0.004145075908250711
Zn_3,0.017340721335113864
Zn_4,0.030402520330768762
Zn_5,0.03762625919871211
Zn_6,0.042146057239833785
Cu_1,0.0019048219098060605
Cu_2,0.00393810671167489
Cu_3,0.010069202124458871
Cu_4,0.01607623092420499
Cu_5,0.02172700797000204
Cu_6,0.030092530062616918
Pb_1,0.005340362364046182
Pb_2,0.011037574168026277
Pb_3,0.024305508643785684
Pb_4,0.036085428135584435
Pb_5,0.04166458757944945
Pb_6,0.0505453783481104
