,ppiB
Cr_1,0.004119753261282226
Cr_2,0.008562069283238714
Cr_3,0.013303811785385668
Cr_4,0.01629248832516478
Cr_5,0.017624771323593167
Cr_6,0.01638233271042234
Fe_1,-0.009794907425590737
Fe_2,-0.02011083203283468
Fe_3,-0.027539527793520396
Fe_4,-0.03500879168396427
Fe_5,-0.03375973183994325
Fe_6,-0.030717972827240238
Cd_1,0.0032281569822047128
Cd_2,0.006727553826623372
Cd_3,0.0103949189676396
Cd_4,0.013669012605257156
Cd_5,0.01245040017575435
Cd_6,0.017731709436225214
Zn_1,-0.004910846993940259
Zn_2,-0.010001276700744523
Zn_3,-0.005863750923468135
Zn_4,-0.003553284956652898
Zn_5,-0.00512478424364231
Zn_6,-0.010041731893678615
Cu_1,0.003416944803903083
Cu_2,0.013073766349361646
Cu_3,0.023730890236965486
Cu_4,0.03276401752251811
Cu_5,0.04287202500260396
Cu_6,0.05292148654913347
Pb_1,0.0054560935930686935
Pb_2,0.01628448407956216
Pb_3,0.02809520713052402
Pb_4,0.04328068175299106
Pb_5,0.05882138309650986
Pb_6,0.07575274047457517
