,amn
Cr_1,0.006757449886659355
Cr_2,0.010685030405108379
Cr_3,0.01939670813517421
Cr_4,0.025181801440630047
Cr_5,0.029906822669877726
Cr_6,0.03055850798192878
Fe_1,-0.013715496871140228
Fe_2,-0.03240159839546295
Fe_3,-0.03735076324177308
Fe_4,-0.03818988570759522
Fe_5,-0.03806359041824423
Fe_6,-0.03204800726510453
Cd_1,0.005585855649390657
Cd_2,0.006509886839919782
Cd_3,0.010444899784160588
Cd_4,0.006263723050109518
Cd_5,-0.0030935009084744488
Cd_6,-0.0019098485597221495
Zn_1,-0.01385383967801076
Zn_2,-0.01999241759048445
Zn_3,-0.026192429938038213
Zn_4,-0.017783747293355058
Zn_5,0.0016782674733860493
Zn_6,0.011519312142209142
Cu_1,0.003976632838503317
Cu_2,0.015793143285193743
Cu_3,0.02768464671224909
Cu_4,0.0272933007547617
Cu_5,0.03703407386520638
Cu_6,0.05224481047964901
Pb_1,-0.003044695115374689
Pb_2,-0.004231338600390553
Pb_3,-0.005643486039478288
Pb_4,-0.005821854212133967
Pb_5,0.0006112064046077179
Pb_6,0.008487218331744
