,-0.15105580709472752,-0.129476406081195,-0.1078970050676625,-0.08631760405413,-0.06473820304059749,-0.043158802027064985,-0.02157940101353248,2.7755575615628914e-17,0.021579401013532534,0.04315880202706504,0.06473820304059755,0.08631760405413005,0.10789700506766256,0.12947640608119507,0.15105580709472757,0.17263520810826008,0.1942146091217926,0.2157940101353251,0.2373734111488576,0.2589528121623901
thresh,-0.07552790354736376,0.07552790354736376,4,,,,,,,,,,,,,,,,,
unreg,0,0,3,2,7,25,610,4210,622,36,4,1,0,2,0,1,1,0,0,0
Zur,0,0,0,0,2,2,1,1,2,6,1,0,1,1,0,0,0,0,0,0
Cobalamin,2,2,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0
NrdR,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],['PA1924' 'PA1921' 'PA1923'],['PA1922' 'PA4171'],[],[],[],[],[],[],[],['PA0878'],[],['PA4834' 'PA4835'],[],['PA4836'],['PA4837'],[],[],[]
Zur_genes,[],[],[],[],['PA5534' 'PA5535'],['PA5537' 'PA5540'],['PA5539'],['pyrQ'],['amiA' 'PA5536'],['PA0781' 'znuB' 'znuC' 'zur' 'PA3601' 'PA5498'],['PA3600'],[],['PA4838'],['PA4063'],[],[],[],[],[],[]
Cobalamin_genes,['PA2912' 'PA2911'],['PA2913' 'PA2914'],[],[],[],[],['cobV'],"['PA2945' 'cobN' 'cobJ' 'cobP' 'PA1274' 'PA1280' 'cobQ' 'cobC' 'cobM'
 'PA2947' 'cobB' 'PA2946' 'cobH' 'PA1271' 'cobU' 'cobO' 'cobI' 'cobD'
 'PA2906']",[],[],[],[],[],[],[],[],[],[],[],[]
NrdR_genes,[],[],['nrdG'],['nrdD'],[],[],[],['topA' 'nrdB' 'nrdA' 'nrdJb' 'nrdJa'],[],[],[],[],[],[],[],[],[],[],[],[]
