,glnB
Cr_1,-0.001025289592593598
Cr_2,-0.0028343414628060268
Cr_3,-0.00904023764097874
Cr_4,-0.011118701138892849
Cr_5,-0.011256255843539035
Cr_6,-0.01431186954301336
Fe_1,-0.008989608863898827
Fe_2,-0.022215777267179868
Fe_3,-0.0378447034458502
Fe_4,-0.05003107500046335
Fe_5,-0.0544476967709439
Fe_6,-0.0539675393898999
Cd_1,0.003984072016068178
Cd_2,0.006451411378752108
Cd_3,0.008006323293738701
Cd_4,0.009436024135485305
Cd_5,0.008475097608955368
Cd_6,0.013187347974818743
Zn_1,-0.007033276039873913
Zn_2,-0.00731337247973988
Zn_3,-0.004904974103585615
Zn_4,-0.002847625036688932
Zn_5,0.0034891846500692924
Zn_6,0.007006831376018639
Cu_1,-0.0017592815469662446
Cu_2,-0.00028259143896181064
Cu_3,0.005804446899086683
Cu_4,0.007545553230565784
Cu_5,0.016217119885904744
Cu_6,0.021613156526712723
Pb_1,0.008236145712964663
Pb_2,0.015060694901464953
Pb_3,0.023067427431826812
Pb_4,0.035672937655962966
Pb_5,0.04624028797783108
Pb_6,0.060144777752220525
