,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
0,control__wt_glc,0.0,0.27676852733840424,2.0,0.0,-0.1957049025,1.0,0.1957049025,,,,,,,,
1,fur__wt_dpd,-0.811784348,0.07096946010868597,2.0,2.0,-0.8619673345000001,3.0,-0.7616013615,,,,,,,,
2,fur__wt_fe,-0.2731398585,0.0039049208315703314,2.0,4.0,-0.27037866250000003,5.0,-0.2759010545,,,,,,,,
3,fur__delfur_dpd,-0.8196141450000001,0.18470103805374838,2.0,6.0,-0.9502175015000001,7.0,-0.6890107885,,,,,,,,
4,fur__delfur_fe2,-0.4690505955,0.03509574601781817,2.0,8.0,-0.4442341555,9.0,-0.4938670355,,,,,,,,
5,acid__wt_ph5,-0.1667103335,0.08339240772242482,2.0,10.0,-0.2256776705,11.0,-0.10774299650000001,,,,,,,,
6,acid__delgadx_ph5,-0.1751831025,,1.0,12.0,-0.1751831025,,,,,,,,,,
7,acid__delgadw_ph5,-0.25289342200000003,0.22683725961565074,2.0,13.0,-0.0924952575,14.0,-0.41329158650000003,,,,,,,,
8,acid__delgade_ph5,-0.134836104,0.008592953230916621,2.0,15.0,-0.1409122395,16.0,-0.12875996850000002,,,,,,,,
9,oxidative__wt_pq,-0.463322094,0.21433917412823614,2.0,17.0,-0.3117614105,18.0,-0.6148827775,,,,,,,,
10,oxidative__deloxyr_pq,-0.3970151665,0.25368272624821026,2.0,19.0,-0.2176343905,20.0,-0.5763959425,,,,,,,,
11,oxidative__delsoxr_pq,-0.7936232065000001,0.04741258730929256,2.0,21.0,-0.8271489685000001,22.0,-0.7600974445,,,,,,,,
12,oxidative__delsoxs_pq,-0.383349006,0.03968910954708562,2.0,23.0,-0.4114134445,24.0,-0.35528456750000004,,,,,,,,
13,nac_ntrc__wt_csn,-0.03392545500000001,0.19043052914023129,2.0,25.0,-0.1685801735,26.0,0.1007292635,,,,,,,,
14,nac_ntrc__wt_cytd,-0.2911500715,0.24243348750289337,2.0,27.0,-0.1197237085,28.0,-0.4625764345,,,,,,,,
15,nac_ntrc__wt_gln,-0.471357422,0.08902148328201825,2.0,29.0,-0.40840972750000004,30.0,-0.5343051165,,,,,,,,
16,nac_ntrc__bw_delnac_csn,-0.1555334765,0.29918576462384067,2.0,31.0,0.0560228065,32.0,-0.3670897595,,,,,,,,
17,nac_ntrc__bw_delnac_cytd,-0.571324505,0.1575935296688964,2.0,33.0,-0.6827599585,34.0,-0.45988905150000003,,,,,,,,
18,nac_ntrc__bw_delnac_gln,-0.340955702,0.04987246542993684,2.0,35.0,-0.3056905435,36.0,-0.37622086050000003,,,,,,,,
19,nac_ntrc__bw_delnac_nh4,-0.4952027565,0.03419799900578301,2.0,37.0,-0.47102111950000003,38.0,-0.5193843935,,,,,,,,
20,misc__wt_no_te,-0.5998470309999999,0.09051739313346255,2.0,39.0,-0.6638524935,40.0,-0.5358415685,,,,,,,,
21,misc__bw_delcbl,-0.2818888855,0.1596528275553578,2.0,41.0,-0.1689972885,42.0,-0.39478048250000003,,,,,,,,
22,misc__bw_delfabr,-0.5058389175,0.05723011867046974,2.0,43.0,-0.5463067225,44.0,-0.4653711125,,,,,,,,
23,misc__bw_delfadr,-0.4639689805,0.17856419052879838,2.0,45.0,-0.5902329305,46.0,-0.3377050305,,,,,,,,
24,misc__nitr_031,-0.2312518985,,1.0,47.0,-0.2312518985,,,,,,,,,,
25,omics__wt_glu,-0.241419555,0.013925712158319982,2.0,48.0,-0.2315725895,49.0,-0.25126652050000003,,,,,,,,
26,omics__wt_gly,0.021013462500000003,0.19754803477573765,2.0,50.0,0.16070101750000002,51.0,-0.11867409250000001,,,,,,,,
27,omics__wt_thr,-0.493019859,0.3904445436610281,2.0,52.0,-0.2169338745,53.0,-0.7691058435,,,,,,,,
28,omics__bw_ac,0.121862547,0.11090288141263256,2.0,54.0,0.0434423675,55.0,0.2002827265,,,,,,,,
29,omics__bw_fum,-0.004891920499999999,0.04391769365850172,2.0,56.0,0.026162578500000002,57.0,-0.0359464195,,,,,,,,
30,omics__bw_glc,0.0396052175,0.08393670882409741,2.0,58.0,-0.0197469985,59.0,0.0989574335,,,,,,,,
31,omics__bw_pyr,0.6741036795,0.06174431098898165,2.0,60.0,0.7177635005,61.0,0.6304438585000001,,,,,,,,
32,ompr__wt_nacl,-0.5997658539999999,0.007965332323003258,2.0,62.0,-0.5941335135,63.0,-0.6053981945,,,,,,,,
33,ompr__bw_delompr_nacl,-0.4099777805,0.2517648970941404,2.0,64.0,-0.2319531145,65.0,-0.5880024465,,,,,,,,
34,minspan__wt_ade,0.6085015245000001,,1.0,66.0,0.6085015245000001,,,,,,,,,,
35,minspan__wt_glc,0.24349940083333332,0.1685883686447407,3.0,67.0,0.0521331625,68.0,0.3082590635,69.0,0.3701059765,,,,,,
36,minspan__wt_glc_anaero,-0.166877756,0.44639772223698365,2.0,70.0,-0.4825286125,71.0,0.1487731005,,,,,,,,
37,minspan__wt_trp,-0.7354180505,,1.0,72.0,-0.7354180505,,,,,,,,,,
38,minspan__bw_delcra_glc,-1.2092048215,,1.0,73.0,-1.2092048215,,,,,,,,,,
39,minspan__bw_delcra_trp,-0.6780738255000001,,1.0,74.0,-0.6780738255000001,,,,,,,,,,
40,minspan__bw_delmntr,1.1799465485,,1.0,75.0,1.1799465485,,,,,,,,,,
41,minspan__bw_delnac_ade,0.5568469925,,1.0,76.0,0.5568469925,,,,,,,,,,
42,minspan__bw_delnac_glc,0.0760533945,,1.0,77.0,0.0760533945,,,,,,,,,,
43,cra_crp__wt_ac,-0.23118660450000003,0.26614290091265824,2.0,78.0,-0.0429951545,79.0,-0.41937805450000004,,,,,,,,
44,cra_crp__wt_fru,-0.383715191,0.0602894974765532,2.0,80.0,-0.4263463035,81.0,-0.3410840785,,,,,,,,
45,cra_crp__delcra_ac,-0.002778082000000001,0.1412389248090837,2.0,82.0,-0.1026490835,83.0,0.0970929195,,,,,,,,
46,cra_crp__delcra_fru,-0.34912070000000006,0.04967461695256085,2.0,84.0,-0.38424595850000004,85.0,-0.3139954415,,,,,,,,
47,cra_crp__delcra_glc,-0.2822156965,0.16508756966538457,2.0,86.0,-0.1654811565,87.0,-0.3989502365,,,,,,,,
48,rpoB__wt_031,-0.3164584475,,1.0,88.0,-0.3164584475,,,,,,,,,,
49,rpoB__wt_044,-0.1632140025,,1.0,89.0,-0.1632140025,,,,,,,,,,
50,rpoB__wt_lb,-0.6042956215,0.06336773482049086,2.0,90.0,-0.5594878665,91.0,-0.6491033765,,,,,,,,
51,rpoB__rpoBE546V_031,-0.29209199550000003,,1.0,92.0,-0.29209199550000003,,,,,,,,,,
52,rpoB__rpoBE546V_044,-0.6974088265,,1.0,93.0,-0.6974088265,,,,,,,,,,
53,rpoB__rpoBE546V_lb,-0.06454294,0.0971076085351313,2.0,94.0,0.0041225085,95.0,-0.1332083885,,,,,,,,
54,rpoB__rpoBE546V_glc,0.5151388335,,1.0,96.0,0.5151388335,,,,,,,,,,
55,rpoB__rpoBE672K_glc,-0.0162571345,0.09940368254148661,2.0,97.0,0.0540318835,98.0,-0.0865461525,,,,,,,,
56,rpoB__rpoBE672K_lb,-0.424614501,0.012872176794467356,2.0,99.0,-0.4155124975,100.0,-0.4337165045,,,,,,,,
57,crp__wt_fru,0.3469018605,,1.0,101.0,0.3469018605,,,,,,,,,,
58,crp__wt_glyc,0.0487023365,0.06767542650305218,2.0,102.0,0.0008485835,103.0,0.0965560895,,,,,,,,
59,crp__delar1_glyc,-1.526294869,0.2659076047672574,2.0,104.0,-1.3382697985,105.0,-1.7143199395000002,,,,,,,,
