,yhcA
Cr_1,-0.0002650313896094309
Cr_2,-0.0037394680600681693
Cr_3,-0.0002619027434283658
Cr_4,-0.0019935638799839124
Cr_5,-0.01361223596573426
Cr_6,-0.011568540826098764
Fe_1,-0.009314156792668758
Fe_2,-0.03119301457364919
Fe_3,-0.04538696672169837
Fe_4,-0.06047058898063981
Fe_5,-0.06561691594933243
Fe_6,-0.07201930050001976
Cd_1,-0.0026871421277186976
Cd_2,-0.006167472267243096
Cd_3,0.0007033278785015317
Cd_4,0.0010523476387287243
Cd_5,0.00015431116815358835
Cd_6,-0.0019287460319274289
Zn_1,6.933404603712843e-05
Zn_2,0.0013925128711941481
Zn_3,0.014132433327585169
Zn_4,0.03026755782366532
Zn_5,0.048226104459966807
Zn_6,0.052223838528690184
Cu_1,0.006701269155618531
Cu_2,0.012082056243654526
Cu_3,0.02096424815356677
Cu_4,0.0318564723985427
Cu_5,0.03591376235004295
Cu_6,0.028523490973929463
Pb_1,0.00230240484522703
Pb_2,0.006856040736904017
Pb_3,0.019008425838600115
Pb_4,0.0186996599448827
Pb_5,0.023190242809845336
Pb_6,0.0303311768884688
