,A,NadR,BirA
R2,,0.5988886488928635,0.1656326553522527
xmin,,-5.1230333333,-4.1434666667
xmid,,-2.1037348463770296,0.040494479785608314
xmax,,0.6834666667,2.3477333333
ystart,,-23.651488662839768,-7.711506031544124
yend,,7.018094834022079,-42.456860585808194
LBexp_1,-32.5257840235,-2.0289333333,0.9005333333000001
LBexp_2,-33.6063664087,-2.0065333333,0.6485333333000001
LBexp_3,-32.7369327537,-2.3949333333,0.3612333333
LBtran_1,-29.2200380985,-1.7333333333,-2.4607666667
LBtran_2,-31.433206006,-1.9880333333,-1.1052666667
LBtran_3,-31.2009023118,-2.1116333333,-0.6537666667
LBstat_1,-28.5192968822,-1.9474333333,-1.4543666667
LBstat_2,-26.9381744109,-2.4369333333,-1.6686666667
LBstat_3,-26.7073183086,-2.5843333333,-1.6938666667
LBGexp_1,-32.0631315774,-2.3957333333,0.5776333333
LBGexp_2,-32.2356931244,-2.2184333333,0.44063333330000004
LBGexp_3,-31.3632784697,-2.2519333333000002,0.6331333333
LBGtran_2,-26.3601309016,-1.9878333333,0.3476333333
LBGtran_3,-31.5600154171,-1.4645333333,0.7667333333
LBGstat_1,-28.7696773475,-4.3186333333,-1.7309666667
LBGstat_2,-27.5144432215,-4.3863333333,-1.6381666667
LBGstat_3,-27.0193445038,-2.6228333333,-0.2220666667
S0_1,3.1314655304,-1.4011333333,-0.09306666670000001
S0_2,3.2663458867,-0.9236333333000001,-0.0244666667
S0_3,2.2034850335,-0.9446333333,0.0061333333
S1_1,-5.0231974252,-0.0895333333,-0.9924666667
S1_2,-4.0310818824,-0.2933333333,-0.9198666667000001
S1_3,-5.6178410729,-0.3994333333,-0.6586666667000001
S2_1,-3.3734709207,0.0062666667,-1.7579666667
S2_2,-2.7201407438,-0.3319333333,-1.6733666667
S2_3,-3.6622931919,-0.0172333333,-1.9750666667
S3_1,-7.5853948495,-0.11823333330000001,-0.42766666670000003
S3_2,-5.67656361,-0.0988333333,-0.3297666667
S4_1,-4.743886892,0.0496666667,-0.10366666670000001
S4_2,-4.1844232445,-0.0374333333,-0.1688666667
