,phoA
Cr_1,-0.005876197945234404
Cr_2,0.006900066921088055
Cr_3,0.010704550464891964
Cr_4,0.020315192420056426
Cr_5,0.032220261294586224
Cr_6,0.04753911669730977
Fe_1,-0.009276859965565327
Fe_2,-0.02686270850890131
Fe_3,-0.03819338903138048
Fe_4,-0.05827886084079436
Fe_5,-0.07072101544224924
Fe_6,-0.08422344562964074
Cd_1,0.006801432615676139
Cd_2,0.02839512439917007
Cd_3,0.08461266229736042
Cd_4,0.1627718238980456
Cd_5,0.27689380161614474
Cd_6,0.37976111421357
Zn_1,-0.029374918503159507
Zn_2,-0.02754776594475311
Zn_3,0.011594323697735907
Zn_4,0.026894402977599128
Zn_5,0.006802720187287653
Zn_6,0.0064309922418186345
Cu_1,0.004571161800315528
Cu_2,0.013559972444899277
Cu_3,0.0074026106857685
Cu_4,-0.006756048355088836
Cu_5,-0.004807786414032982
Cu_6,-0.009594476158551428
Pb_1,0.01269307419021639
Pb_2,0.0277250850880596
Pb_3,0.03673350087369188
Pb_4,0.045949382590187896
Pb_5,0.04786164163672898
Pb_6,0.040273530679221965
