,-0.0349787211510022,-0.0174893605755011,0.0,0.0174893605755011,0.0349787211510022,0.0524680817265033,0.0699574423020044,0.0874468028775055,0.1049361634530066,0.1224255240285077,0.1399148846040088,0.1574042451795099,0.174893605755011,0.1923829663305121,0.2098723269060132,0.2273616874815143,0.2448510480570154,0.2623404086325165,0.2798297692080176,0.2973191297835187
thresh,-0.04372340143875275,0.04372340143875275,2,,,,,,,,,,,,,,,,,
unreg,20,596,3167,304,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SigB,0,15,105,25,25,15,4,9,10,2,2,0,2,5,0,1,1,0,0,0
unreg_genes,[],[],[],[],[],['efp' 'cydA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
SigB_genes,[],"['ydfP' 'yfkR' 'ydbD' 'yfkQ' 'plsC' 'smpB' 'farP' 'yqzL' 'ydaM' 'epsJ'
 'ydaN' 'ispF' 'yflH' 'opuD' 'ypuC']","['ygxB' 'yacL' 'ysdB' 'cypE' 'yxiS' 'gabD' 'ymaE' 'nusA' 'rnr' 'phoR'
 'menE' 'galM' 'epsK' 'ytfP' 'ydaL' 'yvzE' 'clpC' 'yxjI' 'disA' 'secG'
 'ispD' 'nnrA' 'ydaF' 'yitT' 'dacC' 'yxaB' 'menC' 'aag' 'trxA' 'ypuB'
 'ppuG' 'yqhP' 'yjgD' 'ytiB' 'yflI' 'sodA' 'estA' 'yjgB' 'ipi' 'bmrR'
 'ytkL' 'spo0E' 'cdd' 'radA' 'ylxP' 'ywsA' 'infB' 'ytkK' 'ydfO' 'yhdF'
 'ykzC' 'era' 'mcsB' 'glxK' 'mapB' 'clpP' 'pgoN' 'luxS' 'rbfA' 'rulQ'
 'rulR' 'bmr' 'rsbT' 'yflB' 'yebE' 'ydzE' 'nadE' 'phoP' 'yqjL' 'dctB'
 'sufL' 'ypuD' 'yceG' 'mcsA' 'yqhQ' 'csbX' 'recO' 'suhB' 'pth' 'yceH'
 'rimP' 'yvrE' 'yfhO' 'guaN' 'pgl' 'rsbS' 'lyxE' 'yebG' 'ymzB' 'yceF'
 'yoaA' 'yflD' 'yfhE' 'yceE' 'gtaB' 'rsbRA' 'ydeC' 'rsbU' 'bofC' 'ywjB'
 'spxA' 'yceC' 'yceD' 'ywmF' 'yfkI']","['ctsR' 'fin' 'yycD' 'ywjA' 'rbn' 'yfkT' 'yydC' 'ypuC' 'yocB' 'brxJ'
 'yxjJ' 'ephM' 'aldY' 'ysnF' 'ytxH' 'yvbG' 'ywlB' 'yfkS' 'ydhK' 'yuzH'
 'yhcM' 'yxzF' 'hpf' 'sleL' 'ytkC']","['yybO' 'yfhD' 'mscT' 'ytxG' 'yxnA' 'yocK' 'yfhF' 'yyzG' 'spdL' 'yfkD'
 'ctc' 'yjbC' 'rpmEB' 'ycdG' 'katX' 'yaaI' 'yugU' 'yjgC' 'opuE' 'yfkJ'
 'yuzA' 'yhxD' 'ydaT' 'csbA' 'iolW']","['cypC' 'ywsB' 'csbB' 'yvgO' 'ykzN' 'ydaD' 'rsbX' 'ydaC' 'ydaG' 'poxB'
 'ycdF' 'yoxB' 'dps' 'sigB' 'yerD']",['rsbW' 'rsbV' 'sufLB' 'ytaB'],['yflA' 'ydaS' 'ohrB' 'yqhB' 'yqxL' 'ycbP' 'chaA' 'yoxC' 'yczO'],['yflT' 'ddaH' 'katE' 'yjzE' 'gsiB' 'csbD' 'yxbG' 'ywmE' 'bmrU' 'yyzH'],['ywtG' 'ykzI'],['ywzA' 'rsbRD'],[],['nhaX' 'csbC'],['gspA' 'akrN' 'ybyB' 'yfhK' 'clsC'],[],['ywjC'],['mgsR'],[],[],[]
