,A,SigB
R2,,0.6218431618254907
xmin,,-2.8598208058964625
xmid,,
xmax,,5.802569271928011
ystart,,-15.321450740933368
yend,,28.357428794577274
amb:ctrl:1,-1.3155711039562947,0.06536879090160319
amb:ctrl:2,-1.0572904140995236,-0.40481918822560026
amb:ctrl:3,2.3728615180558483,0.3394503973240006
amb:amb:1,-1.6973491594085623,0.029996455357212067
amb:amb:2,-0.5061016411672263,-0.4889207374303854
amb:amb:3,1.9859420347305323,0.3149256050264384
ave1:ctrl_5m:1,7.994028288675697,0.9266469343412816
ave1:vdave1_5m:1,0.25396421303857925,-0.3067443513552508
ave1:ctrl_20m:1,-17.82023868738379,-1.3590880151339215
ave1:vdave1_20m:1,-16.97572841888294,-1.243990642625849
ave1:supernatant_5m:1,-5.989040756842008,-0.7015302727265187
ave1:vnave1_20m:1,-16.63285476492673,-1.3481251003330763
ave1:supernatant_20m:1,-16.5882533695261,-1.5015233731885775
ave1:ctrl_5m:2,-7.994028288675697,-0.9266469343412816
ave1:vdave1_5m:2,-9.083814371664818,-1.146887457702511
ave1:ctrl_20m:2,-15.73806266039129,-1.4278148605473149
ave1:vdave1_20m:2,-13.738796745978439,-1.2217640647911951
ave1:supernatant_5m:2,5.6851189439292265,0.6153476079402953
ave1:vnave1_20m:2,-14.074504270026514,-1.2646988289557122
ave1:supernatant_20m:2,-14.840904718279702,-1.4880310301276982
biofilm_time:8h:1,-1.1253445471165169,-0.25520643458095194
biofilm_time:8h:2,0.6186986038382296,0.1612260986061642
biofilm_time:8h:3,0.6867086593926627,0.0780375281440211
biofilm_time:8h:4,-0.18006271611439112,0.01594280783076485
biofilm_time:12h:1,7.344778606947979,0.7129583802654977
biofilm_time:12h:2,6.294355651171702,0.7292543248314125
biofilm_time:12h:3,5.224966237929464,0.6734525014217301
biofilm_time:12h:4,4.747807413549906,0.6153357427929311
biofilm_time:16h:1,0.8699335816030401,0.15326942367669186
biofilm_time:16h:2,1.854774937713708,-0.18277871037401106
biofilm_time:16h:3,1.6797689818717896,0.4000585433832686
biofilm_time:16h:4,0.7003292294321365,0.34083230148044663
biofilm_time:20h:1,-17.438140485450518,-1.8224118985254296
biofilm_time:20h:2,-20.428576425877555,-2.062321209839628
biofilm_time:20h:3,-17.202504224161792,-1.8154006012983055
biofilm_time:20h:4,-15.805307197576086,-1.7018268591604515
biofilm_time:24h:1,-18.964762449546583,-2.2855104910638
biofilm_time:24h:2,-13.167612673449518,-1.5035813474588233
biofilm_time:24h:3,-18.030304714475857,-2.0093475733158206
biofilm_time:24h:4,-18.855909435017843,-1.8440801345075477
biofilm_time:28h:1,-15.007980737153591,-1.8410000979243133
biofilm_time:28h:2,-6.76065575424065,-0.4387503957943704
biofilm_time:28h:3,-17.052532567099718,-1.400191059641072
biofilm_time:28h:4,-16.092925456901945,-1.909910685183327
biofilm_time:32h:1,-14.824932431632785,-1.4626177482348215
biofilm_time:32h:2,-14.895919685466204,-1.2781852526685302
biofilm_time:32h:3,-14.594294948017778,-1.4856369383192425
biofilm_time:32h:4,-14.188366780438068,-1.2670534855366269
codY:wt:1,0.17659577742586435,0.13549950993882476
codY:wt:2,-0.17659577742583546,-0.13549950993882476
codY:ctrl:1,7.5871672897200515,0.42318428066565694
codY:ctrl:2,1.4130193291621607,-0.10686421172076432
codY:codYR61K:1,3.1790141617172254,0.2757249814572287
codY:codYR61K:2,3.851581540817525,0.02798447549425553
codY:codYR61H:1,3.8131812876509064,0.3037322380161029
codY:codYR61H:2,1.2663380186463469,-0.19621636772950699
codY:codYF71Y:1,0.8942786461131207,-0.26560552789068304
codY:codYF71Y:2,7.204160556041633,0.09941904339657626
decay:wt:1,0.4720990832081896,0.11304475223492184
decay:wt:2,-0.4264957616582115,0.09761618540754567
decay:wt:3,-0.04560332155003232,-0.21066093764246752
decay:delpnpA:1,-0.6948236061021801,1.2993447498187845
decay:delpnpA:2,-0.5849076929869091,1.0076792463246471
decay:delpnpA:3,0.556700455411298,1.2848920268855863
ecm_tasA:deltasA:1,-4.302523683404907,-0.8322194451272313
ecm_tasA:deltasA:2,-8.112474269948718,-1.6915777019336409
ecm_tasA:deltasA:3,-5.5413770208620585,-1.0376261812320742
ecm_tasA:delcssRS:1,-10.431066580673424,-2.1847977973355075
ecm_tasA:delcssRS:2,-9.878505271623547,-2.7654592238587767
