,-0.15452873715789472,-0.1373588774736842,-0.12018901778947366,-0.10301915810526313,-0.0858492984210526,-0.06867943873684207,-0.05150957905263154,-0.03433971936842101,-0.017169859684210476,5.551115123125783e-17,0.017169859684210587,0.03433971936842112,0.05150957905263165,0.06867943873684218,0.08584929842105271,0.10301915810526324,0.12018901778947377,0.1373588774736843,0.15452873715789484,0.17169859684210537
thresh,-0.163113667,0.163113667,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,1,2,19,121,1005,3553,1024,119,25,2,2,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
