,A,Fnr
R2,,0.5710893185561826
xmin,,7.8354759381
xmid,,
xmax,,11.0138673069
ystart,,35.69402963423968
yend,,-17.52800386698175
control__wt_glc__1,-0.3954729937,9.8905708605
control__wt_glc__2,0.3954729937,9.960926819
fur__wt_dpd__1,-1.0268184608,9.8072827085
fur__wt_dpd__2,-0.20585637580000002,9.8346485895
fur__wt_fe__1,0.7407506892,9.4202612614
fur__wt_fe__2,0.9668868061,9.4354438075
fur__delfur_dpd__1,-0.1064304518,9.6899711669
fur__delfur_dpd__2,-0.8030505386,9.7239580235
fur__delfur_fe2__1,-1.5435681456,9.6537716271
fur__delfur_fe2__2,-1.4466742924,9.6563222429
acid__wt_ph5__1,0.4893619283,9.6080205023
acid__wt_ph5__2,0.6512535916000001,9.571853996
acid__delgadx_ph5__1,0.4196431158,9.4698874236
acid__delgadx_ph5__2,1.8317971746000001,9.6098370299
acid__delgadw_ph5__1,1.4924970702,9.5453583341
acid__delgadw_ph5__2,0.5775143298000001,9.5992549228
acid__delgade_ph5__1,0.9397917767,9.5955492299
acid__delgade_ph5__2,0.5998176207,9.5694364941
oxidative__wt_pq__1,0.1246581343,9.9343057033
oxidative__wt_pq__2,-0.6954670114,9.7934843754
oxidative__deloxyr_pq__1,-0.48171666890000003,10.0512736378
oxidative__deloxyr_pq__2,-0.5451177879,10.0824215327
oxidative__delsoxr_pq__1,0.2535365379,9.7852362569
oxidative__delsoxr_pq__2,-0.0013646114,9.7541839459
oxidative__delsoxs_pq__1,-0.1997402631,10.0740641764
oxidative__delsoxs_pq__2,0.7872153771,10.1011541443
nac_ntrc__wt_csn__1,2.4639006504,9.7471290995
nac_ntrc__wt_csn__2,1.7193096564,9.7358268295
nac_ntrc__wt_cytd__1,1.4942195789000001,9.6845361389
nac_ntrc__wt_cytd__2,1.7049647440000002,9.7915689644
nac_ntrc__wt_gln__1,3.4726223893,9.7583857814
nac_ntrc__wt_gln__2,1.9193209863,9.8269171948
nac_ntrc__bw_delnac_csn__1,2.5779398264999998,9.8860649866
nac_ntrc__bw_delnac_csn__2,0.5832073184000001,9.705991086000001
