,Value,list
TF,fnr,
reg_genes,441,"['nrfB' 'pepT' 'cheR' 'dppC' 'aroP' 'dcuR' 'feoC' 'slyA' 'emrY' 'arnE'
 'nuoI' 'argG' 'yffR' 'moaC' 'ydfO' 'fixB' 'puuA' 'cyoA' 'moeB' 'ispB'
 'yqcA' 'pta' 'hybC' 'potB' 'groS' 'glpQ' 'uxaA' 'upp' 'gltB' 'fixA'
 'dmsC' 'dhaK' 'norW' 'gpmM' 'rpsI' 'pnp' 'dbpA' 'yghB' 'napA' 'norV'
 'katG' 'thrC' 'citB' 'nuoB' 'nuoK' 'pyrG' 'yibQ' 'caiD' 'ccmE' 'moaD'
 'hypC' 'uspA' 'xdhC' 'ansB' 'metN' 'dcuB' 'yafT' 'ung' 'hybF' 'metI'
 'ynfF' 'tdcE' 'tdcG' 'focB' 'tyrP' 'rplW' 'poxB' 'ydhT' 'emrK' 'gapA'
 'ybiY' 'gcvH' 'yeiL' 'ybiT' 'yibN' 'moeA' 'yfcZ' 'guaA' 'uspB' 'rpsO'
 'rimM' 'yfaE' 'hsdM' 'phoU' 'napG' 'hyfR' 'hyfI' 'hsdR' 'narJ' 'pdhR'
 'gcvP' 'purA' 'ubiC' 'dnaA' 'citC' 'dsbE' 'rplD' 'thrA' 'ccmA' 'acrE'
 'fumA' 'caiF' 'yeiQ' 'nuoE' 'rplU' 'ccmB' 'ravA' 'aceF' 'sdhB' 'exuT'
 'hcp' 'citA' 'yciC' 'fhlA' 'yghW' 'hypE' 'uxaB' 'ynfH' 'cyoE' 'amtB'
 'fes' 'ynjB' 'acs' 'yeaD' 'ndh' 'dhaL' 'hyfG' 'arcA' 'metQ' 'sdhC' 'hyfF'
 'nirC' 'garD' 'aer' 'ysgA' 'zwf' 'ydjZ' 'gnd' 'dcuA' 'arnC' 'yhjA' 'aqpZ'
 'arnT' 'bcsZ' 'nrfC' 'bcsB' 'nrfE' 'ydeJ' 'napH' 'yfgF' 'infB' 'tap'
 'viaA' 'rpsQ' 'citF' 'sucC' 'adhE' 'ygcP' 'rimP' 'nrdA' 'tdcC' 'slyB'
 'yqhA' 'caiA' 'garP' 'hmp' 'nikD' 'nikR' 'rpsP' 'nuoJ' 'pflB' 'rimO'
 'ybhK' 'narI' 'ubiA' 'pitA' 'nuoF' 'nuoG' 'soxR' 'ccmC' 'ydhY' 'tar'
 'xdhB' 'mltA' 'ydhJ' 'gmhB' 'rplT' 'hlyE' 'nuoA' 'sdhA' 'msrB' 'glpT'
 'recF' 'cyoD' 'yqgB' 'ygcN' 'dppF' 'rpsC' 'cydC' 'pyrD' 'rplM' 'rplV'
 'rpsS' 'groL' 'nuoN' 'nrfG' 'yecR' 'cadC' 'nuoC' 'cheB' 'garR' 'dmsD'
 'tpx' 'dppB' 'eno' 'yjjZ' 'gltF' 'iraD' 'hsdS' 'thrB' 'fixC' 'sucD'
 'iraP' 'moaE' 'hybD' 'ybjD' 'speB' 'tdcF' 'cyoC' 'puuP' 'purN' 'ccmH'
 'ytfE' 'sucB' 'ptsG' 'frdC' 'ompX' 'kup' 'hyfD' 'dppA' 'ssuA' 'nuoH'
 'acnA' 'tdcA' 'rplS' 'caiC' 'hybB' 'narX' 'hybE' 'fdhF' 'truB' 'fadL'
 'xdhA' 'rpsJ' 'truC' 'pstA' 'cydD' 'aspC' 'arnA' 'hyfB' 'caiB' 'potA'
 'soxS' 'nrdG' 'ynjC' 'yfaL' 'guaB' 'potD' 'yciB' 'nrfA' 'napC' 'yhbT'
 'ybdZ' 'rnpA' 'arnD' 'yedF' 'cydA' 'ybiW' 'narL' 'rplC' 'ssuD' 'ssuE'
 'nikE' 'entF' 'garK' 'caiT' 'ssuB' 'dcuS' 'fumB' 'ydcY' 'actP' 'prfA'
 'napB' 'nac' 'ydhI' 'ssuC' 'potC' 'sucA' 'moaA' 'malP' 'glnK' 'speA'
 'frdB' 'dppD' 'ackA' 'gcvT' 'yhiN' 'yffS' 'anmK' 'nuoL' 'cydB' 'gadA'
 'hemA' 'fdnH' 'hybA' 'yqcC' 'yghA' 'yhgN' 'ybdN' 'uraA' 'fnr' 'yddG'
 'moaB' 'fepE' 'tdcD' 'fhuF' 'gltD' 'uxaC' 'asd' 'glnD' 'envC' 'yqjI'
 'malQ' 'narH' 'ynjA' 'yedE' 'ccmF' 'hypD' 'sdhD' 'fumC' 'tdcB' 'ychO'
 'ygbA' 'rpmH' 'yffL' 'nuoM' 'fdnI' 'yjcH' 'dhaR' 'glpC' 'pykA' 'glpA'
 'garL' 'tfaQ' 'ynjD' 'nrdB' 'dmsB' 'rplB' 'xseA' 'uspF' 'gadW' 'rpmA'
 'ydhV' 'frdD' 'pstB' 'nrfD' 'ydhX' 'arnB' 'glpB' 'aldA' 'metK' 'gadX'
 'ydhU' 'ydhW' 'pstC' 'yjeH' 'hybG' 'acrF' 'fsaA' 'cysG' 'ddlA' 'yfbV'
 'purM' 'rpmC' 'ydhK' 'trmD' 'nikC' 'dnaN' 'pstS' 'cyoB' 'yhbS' 'cheZ'
 'ychE' 'rplP' 'aceE' 'gdhA' 'rbfA' 'mrr' 'hcr' 'secG' 'lpd' 'nusA' 'ynfG'
 'prmC' 'sodA' 'dhaM' 'cheY']"
comp_genes,40,['ycbJ' 'yoeA_1' 'abrB' 'iscR' 'yjjI' 'ttdR']
both_genes,34,"['feoA' 'yhbV' 'nikA' 'yecH' 'ydjX' 'dmsA' 'yhbU' 'yfcC' 'narK' 'dcuC'
 'nikB' 'hypB' 'yeaI' 'frdA' 'ompW' 'hybO' 'ydjY' 'narG' 'ynjE' 'ynfE'
 'nirD' 'grcA' 'nrdD' 'fdnG' 'feoB' 'focA' 'napF' 'yhcC' 'bssR' 'ydfZ'
 'aspA' 'ynfK' 'napD' 'nirB']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,205,
comp_ops,34,
both_ops,28,
