,ygfU
Cr_1,-0.0009107764639507146
Cr_2,-0.0020763307869946296
Cr_3,-0.0009993517710867497
Cr_4,-0.0006408817513736468
Cr_5,-0.0002501973640823766
Cr_6,0.002803774218944969
Fe_1,-0.006461033814531936
Fe_2,-0.017654693638051402
Fe_3,-0.029480572380535832
Fe_4,-0.043718604762586134
Fe_5,-0.05570446411689328
Fe_6,-0.06563759879466531
Cd_1,0.0016476508613355978
Cd_2,0.00481789280927338
Cd_3,0.0073406355869137935
Cd_4,0.01070629024400628
Cd_5,0.010750632001187158
Cd_6,0.015129480390996843
Zn_1,0.000280869592916987
Zn_2,-0.0006429127442099556
Zn_3,0.0008398037347468719
Zn_4,0.005241542131455851
Zn_5,0.011237027624459084
Zn_6,0.01770253759068986
Cu_1,-0.00045778826038525116
Cu_2,0.0020366639517138147
Cu_3,0.009967804133806836
Cu_4,0.02076918819299425
Cu_5,0.02666499711412779
Cu_6,0.03441288669109314
Pb_1,-0.0018561582106755067
Pb_2,-0.004283309741813093
Pb_3,-0.0004514577123214499
Pb_4,0.004564252123284707
Pb_5,0.008040900648036524
Pb_6,0.014511015940647312
