,nadC
Cr_1,-0.015827800323784
Cr_2,-0.021782798012649127
Cr_3,-0.025828157276423357
Cr_4,-0.026103291915608205
Cr_5,-0.03217185327925776
Cr_6,-0.03908720657999809
Fe_1,-0.03758941624695734
Fe_2,-0.07092446847367996
Fe_3,-0.09845731885312206
Fe_4,-0.12029444412511515
Fe_5,-0.13105621228073885
Fe_6,-0.13775507357589858
Cd_1,0.00014189403736704448
Cd_2,0.0016334383370248313
Cd_3,0.010848461093508788
Cd_4,0.02065047178836581
Cd_5,0.021547478783368254
Cd_6,0.024480201435289457
Zn_1,-0.038469386012918015
Zn_2,-0.05076326399046641
Zn_3,-0.0481721090579371
Zn_4,-0.03947815152895443
Zn_5,-0.0444096531733378
Zn_6,-0.048366225466763176
Cu_1,-0.004134594547222889
Cu_2,0.0038232515099798493
Cu_3,0.01159155218588677
Cu_4,0.019757718665399916
Cu_5,0.02902345000904022
Cu_6,0.03770142380205864
Pb_1,0.011077962414081923
Pb_2,0.01626530641479441
Pb_3,0.01886832537616517
Pb_4,0.029406063427124467
Pb_5,0.0399852852944994
Pb_6,0.04918084161717489
