,Value,list
TF,cra,
reg_genes,135,"['yahA' 'crp' 'yhfW' 'aroP' 'pykF' 'nuoI' 'nuoN' 'manY' 'hypF' 'csgE'
 'betA' 'cyoA' 'mdtA' 'nuoC' 'hisD' 'aceA' 'eno' 'csgF' 'yhfT' 'setA'
 'prpD' 'tpiA' 'cyoC' 'prpE' 'ppsR' 'ssuA' 'nuoH' 'acnA' 'nuoB' 'nuoK'
 'aceB' 'prpC' 'yibQ' 'pfkA' 'manX' 'mdtB' 'nikA' 'nrdH' 'hisG' 'raiA'
 'treB' 'aceK' 'poxB' 'cydA' 'gapA' 'ssuD' 'ssuE' 'mdtC' 'nikE' 'csgG'
 'manZ' 'prpB' 'ssuB' 'nrdI' 'nirD' 'ssuC' 'yhfS' 'marA' 'pdhR' 'ydhZ'
 'betB' 'nrdE' 'nuoL' 'ptsH' 'nuoE' 'rssB' 'hisF' 'aceF' 'cydB' 'hisB'
 'cyoE' 'treC' 'baeS' 'eda' 'mpl' 'php' 'nirC' 'envC' 'glk' 'mtlD' 'zwf'
 'betT' 'csgD' 'betI' 'yhfX' 'nuoM' 'crr' 'hisC' 'mtlR' 'iceT' 'edd'
 'hisA' 'nrdF' 'ptsI' 'hisH' 'glcC' 'metE' 'icd' 'yeeX' 'nikD' 'nikB'
 'nikR' 'nuoJ' 'mtlA' 'sgrT' 'acnB' 'cysG' 'nuoF' 'baeR' 'nuoG' 'marR'
 'nikC' 'pck' 'cyoB' 'nuoA' 'ychE' 'aceE' 'msrB' 'lpd' 'fbaB' 'ppc' 'hisI'
 'cyoD']"
comp_genes,15,['psuK' 'cra' 'psuG']
both_genes,12,"['fbaA' 'ppsA' 'gpmM' 'fruA' 'fbp' 'pgk' 'adhE' 'yeaD' 'epd' 'fruB' 'nirB'
 'fruK']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,57,
comp_ops,10,
both_ops,8,
