,A,Cra
R2,,0.2431219018184978
xmin,,0.0
xmid,,
xmax,,9.1343563037
ystart,,15.275235926639363
yend,,-0.4295301567671377
control__wt_glc__1,-0.430745415,7.6979907607
control__wt_glc__2,0.430745415,7.5811052752
fur__wt_dpd__1,0.2331033533,6.3958084373
fur__wt_dpd__2,0.11671870050000001,6.3668654597
fur__wt_fe__1,0.9778562159,7.3152035677
fur__wt_fe__2,0.5636097757,7.3609380448
fur__delfur_dpd__1,1.4082966781000001,6.4975689111
fur__delfur_dpd__2,0.750245932,6.4751334375
fur__delfur_fe2__1,-0.2725523258,7.06312081
fur__delfur_fe2__2,-0.1663551892,7.0130931019
acid__wt_ph5__1,0.7662419467,7.3342666168
acid__wt_ph5__2,1.2820998817,7.2967747156
acid__delgadx_ph5__1,0.4761980676,7.425441871
acid__delgadx_ph5__2,0.6731903124,7.4282451537
acid__delgadw_ph5__1,0.9626038658,7.2348699693
acid__delgadw_ph5__2,0.0955005901,7.391012278
acid__delgade_ph5__1,0.8461669409,7.3760290579
acid__delgade_ph5__2,1.0686211898,7.3356490929
oxidative__wt_pq__1,1.0498555974,6.4061313081
oxidative__wt_pq__2,0.3928805105,6.4289565825
oxidative__deloxyr_pq__1,-1.6873758812,7.2457415271
oxidative__deloxyr_pq__2,-1.8142328692,7.4348048803
oxidative__delsoxr_pq__1,0.6936242801,6.5723343401
oxidative__delsoxr_pq__2,0.5967607606,6.7365795665
oxidative__delsoxs_pq__1,0.8184989693,6.3691362162
oxidative__delsoxs_pq__2,1.2498013168,6.4940370343
nac_ntrc__wt_csn__1,0.2304633252,7.4074691572999996
nac_ntrc__wt_csn__2,0.023106064500000002,7.2094589915
nac_ntrc__wt_cytd__1,0.5947760527,7.5354123571
nac_ntrc__wt_cytd__2,0.1308061029,7.4230707523
nac_ntrc__wt_gln__1,0.1101083811,7.6329715026
nac_ntrc__wt_gln__2,0.6975784308,7.54491395
nac_ntrc__bw_delnac_csn__1,2.273950003,7.0924078686
nac_ntrc__bw_delnac_csn__2,1.545484331,7.3690972513
nac_ntrc__bw_delnac_cytd__1,1.0287690446,7.2955327593
nac_ntrc__bw_delnac_cytd__2,1.671562398,7.2156968666
nac_ntrc__bw_delnac_gln__1,1.1013151391,7.4332123562
nac_ntrc__bw_delnac_gln__2,0.06931209,7.4482846359
nac_ntrc__bw_delnac_nh4__1,0.9250743539,7.4273115094
nac_ntrc__bw_delnac_nh4__2,0.6599548652,7.2727390714
misc__wt_no_te__1,1.1952624762,7.0170086733
misc__wt_no_te__2,0.24639936380000002,7.1458009566
misc__bw_delcbl__1,0.8102210332,7.2146838757
misc__bw_delcbl__2,0.6646610336000001,7.1892466649
misc__bw_delfabr__1,1.1992236219,7.2360036674
misc__bw_delfabr__2,0.9299053363,7.1660430726
misc__bw_delfadr__1,0.5857345126,7.2509746308
misc__bw_delfadr__2,1.0452760337,7.2253089842
misc__nitr_031__1,0.8244100189,7.2441175937
omics__wt_glu__1,-0.8996890066000001,7.7187586381
omics__wt_glu__2,-0.3107989702,7.6687056081
omics__wt_gly__1,0.0539017315,7.6259690147
omics__wt_gly__2,-0.641781637,7.6156107541
omics__wt_thr__1,5.8780630443,8.0893785307
omics__wt_thr__2,6.0498928536,8.0872756364
omics__bw_ac__1,-2.39332706,8.4953795592
omics__bw_ac__2,-2.3531688008,8.5349152533
omics__bw_fum__1,-1.1055613575,8.2652631558
omics__bw_fum__2,-1.5223052684,8.1210203434
omics__bw_glc__1,-0.7425095711,7.6890664179
omics__bw_glc__2,-0.6114327818,7.7378161930000005
omics__bw_pyr__1,-2.5718744651,8.3197364544
omics__bw_pyr__2,-2.2471544642,8.240489931900001
ompr__wt_nacl__1,2.4344385141,5.674028604
ompr__wt_nacl__2,2.5932256614,5.7593168673
ompr__bw_delompr_nacl__1,3.1915732958,5.865746542
ompr__bw_delompr_nacl__2,3.2242348977,5.5385837588
minspan__wt_ade__1,0.1949015175,7.2284233247
minspan__wt_glc__1,1.0373826472,7.2567262875
minspan__wt_glc__2,1.0003973333,7.4097336323
minspan__wt_glc__3,0.5755395718,7.4875806225
minspan__wt_glc__4,0.6645641237000001,7.5154390308
minspan__wt_glc_anaero__1,3.4502647794,8.3905751992
minspan__wt_glc_anaero__2,3.8666238805,8.7210493457
minspan__wt_trp__1,12.7782808007,8.0701999693
minspan__bw_delcra_glc__1,18.2734679171,0.7113907246000001
minspan__bw_delcra_glc__2,18.3323932154,1.2240222378
minspan__bw_delcra_trp__1,18.8907697233,3.0131329021
minspan__bw_delmntr__1,11.5477799675,8.0321153452
minspan__bw_delnac_ade__1,2.2312304938,6.9422258474
minspan__bw_delnac_glc__1,-0.7211816778,7.5313951111
cra_crp__wt_ac__1,-2.2844681446,8.4026313456
cra_crp__wt_ac__2,-2.7796827068,8.524400263
cra_crp__wt_fru__1,10.2794554133,8.1034146905
cra_crp__wt_fru__2,9.821628349600001,7.9580868351
cra_crp__delcra_ac__1,18.2318669784,0.0
cra_crp__delcra_ac__2,18.3706363814,0.0
cra_crp__delcra_fru__1,15.8363377247,0.0
cra_crp__delcra_fru__2,15.8209968898,0.0
cra_crp__delcra_glc__1,16.3548655514,0.0
cra_crp__delcra_glc__2,16.116623136,0.0
rpoB__wt_031__1,1.3998441549,8.3506309017
rpoB__wt_044__1,1.3090422334,7.7322076781
rpoB__wt_lb__1,2.7563780513,8.1833615503
rpoB__wt_lb__2,2.8010577266,8.137119333
rpoB__rpoBE546V_031__1,1.6841266656,8.2134743604
rpoB__rpoBE546V_044__1,1.049465135,8.1298753917
rpoB__rpoBE546V_lb__1,1.9345851375,8.1323666945
rpoB__rpoBE546V_lb__2,2.028142582,8.1237907518
rpoB__rpoBE546V_glc__1,0.6238854253,7.7693637754000004
rpoB__rpoBE672K_glc__1,1.2608215736,7.5901207135
rpoB__rpoBE672K_glc__2,0.9877114153000001,7.6537612599
rpoB__rpoBE672K_lb__1,-0.6498789771,7.1334345051
rpoB__rpoBE672K_lb__2,-0.6912820040000001,7.1931543933
crp__wt_fru__1,11.6210437002,7.9659262225
crp__wt_glyc__1,1.8301576133,8.0007697519
crp__wt_glyc__2,2.1254025425,8.0688542215
crp__delar1_glyc__1,2.3237571492,6.9474566195000005
crp__delar1_glyc__2,2.4134624552,7.3738481542
crp__delar1ar2_glyc__1,0.40844222490000004,7.5893175565
crp__delar1ar2_glyc__2,0.5337594369,7.6127923443
crp__delar1ar2_glyc__3,0.0005034667000000001,7.5869777487
crp__delar2_glyc__1,7.334369253,9.0480508858
crp__delar2_glyc__2,7.3391595174,8.9813116627
crp__delar2_glyc__3,7.2406551226,9.1343563037
crp__delcrp_fru__1,8.834860452400001,7.4419255034
crp__delcrp_fru__2,9.0665643068,7.4771786801
crp__delcrp_fru__3,9.011681976,7.5824471804
crp__delcrp_glc__1,-0.36812021110000004,7.7151141041999995
crp__delcrp_glc__2,-0.3623614998,7.6028451476
crp__delcrp_glc__3,-0.8209053677,7.6293186863999995
crp__delcrp_glyc__1,0.5176774396,7.2680523196
