,imp
Cr_1,0.06367280560142533
Cr_2,0.12780758784107973
Cr_3,0.08064123031864665
Cr_4,-0.0410064479754232
Cr_5,-0.17224445914898248
Cr_6,-0.06309362904439493
Fe_1,-0.02539412936751659
Fe_2,-0.030052396467652495
Fe_3,-0.033114607651631774
Fe_4,-0.03264801192273674
Fe_5,-0.0135488583735449
Fe_6,0.0067577058043412925
Cd_1,0.06454172075047777
Cd_2,0.13474477777910335
Cd_3,0.1867441782991635
Cd_4,0.17281924160436302
Cd_5,0.1577271184179625
Cd_6,0.16233560822201631
Zn_1,-0.014986759602334825
Zn_2,-0.0066747702996283725
Zn_3,-0.007340163203048491
Zn_4,0.02691265695108066
Zn_5,0.05566950066433868
Zn_6,0.06616975365696888
Cu_1,-0.00069575856630267
Cu_2,0.009254877003444656
Cu_3,-0.022241940057720577
Cu_4,-0.06813988968695905
Cu_5,-0.09931207523663482
Cu_6,-0.11263180285613099
Pb_1,-0.001762142737012782
Pb_2,-0.04913284912678256
Pb_3,-0.1428502094494274
Pb_4,-0.2393881451392721
Pb_5,0.014500974130525375
Pb_6,-0.004776484037672574
