,yaiW
Cr_1,-0.003606779570490953
Cr_2,-0.0007754073738647625
Cr_3,0.005226570386385096
Cr_4,0.014250477476357363
Cr_5,0.020882479308633867
Cr_6,0.027525813550313152
Fe_1,-0.03151228057620915
Fe_2,-0.08553172771782132
Fe_3,-0.1366785472439167
Fe_4,-0.19380534898800872
Fe_5,-0.24629050852696496
Fe_6,-0.2914387291304249
Cd_1,0.0008248719715380983
Cd_2,0.004527694709842983
Cd_3,0.006015243365136173
Cd_4,0.007982557092567578
Cd_5,0.004052955382383457
Cd_6,0.006330228008325393
Zn_1,-0.037850584225335264
Zn_2,-0.030892162456755082
Zn_3,-0.007638748171608773
Zn_4,-0.013258088281589366
Zn_5,-0.0016448680317763555
Zn_6,0.06447867844715037
Cu_1,-0.001951229007821485
Cu_2,-0.005268184664059007
Cu_3,-0.006995225348106806
Cu_4,-0.004321037444967019
Cu_5,-0.003452586963137617
Cu_6,0.0046771414869149356
Pb_1,0.003724738192655396
Pb_2,0.009568841348559084
Pb_3,0.019629585833169632
Pb_4,0.0262197243555452
Pb_5,0.03980298118850978
Pb_6,0.051819062034098126
