,cfa
Cr_1,-0.004763611314242948
Cr_2,-0.008405195506931583
Cr_3,-0.013696172618781812
Cr_4,-0.018904165993401143
Cr_5,-0.023984007978754857
Cr_6,-0.028472381607055924
Fe_1,0.0002088944368935349
Fe_2,-0.00404192604072332
Fe_3,0.00516733324948175
Fe_4,0.01780483944936219
Fe_5,0.0419634210762805
Fe_6,0.06934789850530053
Cd_1,0.0024089624504849533
Cd_2,0.006236861111245329
Cd_3,0.00985543307574561
Cd_4,0.014056799131090094
Cd_5,0.015822657461328254
Cd_6,0.016430189760881363
Zn_1,-0.005946822874179185
Zn_2,-0.010039411915044812
Zn_3,-0.008165675500178075
Zn_4,-0.0045160640105880254
Zn_5,-0.007874613488938751
Zn_6,-0.013119580030928906
Cu_1,-0.0102092860978522
Cu_2,-0.01581513840134289
Cu_3,-0.021507733578429968
Cu_4,-0.02943728983382958
Cu_5,-0.035667677073125334
Cu_6,-0.04342632554841912
Pb_1,0.004959016261905162
Pb_2,0.006775736360303858
Pb_3,0.004485265769903898
Pb_4,-0.0005864147474732353
Pb_5,-0.004120269550016811
Pb_6,-0.002271238271677688
