,yeiE
Cr_1,-0.002191898311211697
Cr_2,2.9882737213053478e-05
Cr_3,0.006643150797538404
Cr_4,0.02029491417170121
Cr_5,0.03379338158107525
Cr_6,0.04119117551867777
Fe_1,-0.008334403539434406
Fe_2,-0.030982276239612142
Fe_3,-0.054731836464606665
Fe_4,-0.07847990054900933
Fe_5,-0.09258086009535556
Fe_6,-0.09560074986803252
Cd_1,-0.0005842103003089804
Cd_2,-0.0005600174501852012
Cd_3,0.0022518986434387107
Cd_4,0.008376281155382517
Cd_5,0.01137667875227253
Cd_6,0.017635143004514527
Zn_1,-0.0030048737395476114
Zn_2,-0.005489098025346158
Zn_3,0.006432666805482368
Zn_4,0.02423256712740753
Zn_5,0.03946773645995893
Zn_6,0.05102489925246583
Cu_1,0.002704437181636433
Cu_2,0.007032344411479142
Cu_3,0.012715223991891485
Cu_4,0.01948223157437242
Cu_5,0.028488304437039376
Cu_6,0.04070059637835527
Pb_1,0.0016990474366255662
Pb_2,-0.0005456134406572552
Pb_3,-0.0025164700588041467
Pb_4,0.0066000096994502325
Pb_5,0.02559687612479473
Pb_6,0.056326213820659686
