,Value,list
TF,SigK,
reg_genes,178,"['yqfQ' 'S22' 'yosX' 'S394' 'dapA' 'cotB' 'S841' 'yotK' 'csfB' 'gerPA'
 'surC' 'spoVK' 'ytlA' 'S624' 'yfhP' 'sigK' 'yjqC' 'S610' 'pghL' 'ytcA'
 'yabG' 'yotM' 'sprB' 'cotT' 'S1178' 'yeeK' 'S379' 'S600' 'gerPC' 'S762'
 'yhjQ' 'ydgB' 'yitA' 'yotE' 'spoVFA' 'ysnD' 'ylbE' 'yhjR' 'S422' 'yrkC'
 'S1386' 'S763' 'S599' 'spoIISB' 'S698' 'yisZ' 'xpaC' 'sigKC' 'yppG'
 'S296' 'S995' 'ypqA' 'S1179' 'yotJ' 'S657' 'yisY' 'ytlD' 'dapG' 'cotF'
 'yaaN' 'cotA' 'cotZ' 'ydgA' 'tgl' 'spoVFB' 'ytcB' 'cotD' 'cotM' 'oxdD'
 'yotG' 'asd' 'S425' 'gerPD' 'ftsY' 'S654' 'S1562' 'S420' 'S28' 'ywrJ'
 'yotI' 'yxeE' 'ytxO' 'S393' 'cotSA' 'cotH' 'yotB' 'ldt' 'cwlJ' 'S666'
 'yotD' 'cotY' 'cgeE' 'S945' 'ylbD' 'cotQ' 'yaaO' 'lipC' 'yitB' 'cotE'
 'yitC' 'spoIISA' 'S1387' 'S195' 'yrzN' 'ymaG' 'ytlC' 'ytcC' 'cotS'
 'gerPB' 'S839' 'gerT' 'gerPE' 'gerPF' 'S751' 'yitD' 'S984' 'yotC' 'S349'
 'lytH' 'ytdA' 'S380' 'yotH' 'S1191' 'cotP']"
comp_genes,97,"['yczN' 'S359' 'S1388' 'S314' 'ykzR' 'ispA' 'yuzJ' 'S1252' 'yjaU' 'S771'
 'yodN' 'ydzH' 'ydzR' 'sspA' 'S512' 'S1206' 'S1385' 'S1170' 'yosA' 'S423'
 'S192' 'ypqP' 'S472' 'S757' 'csfG' 'S1009' 'yclG' 'S424' 'yjcZ' 'ygaK'
 'ytkC' 'ywrK' 'S193' 'S1449' 'S471' 'S1010' 'S1223' 'aprX' 'ypzD' 'ywhK'
 'yczM' 'S665' 'ywhL']"
both_genes,54,"['S598' 'gerE' 'yfnF' 'S1317' 'cotR' 'cotW' 'S347' 'yfnD' 'S1316' 'cgeD'
 'cgeB' 'cwlC' 'spsA' 'yjzB' 'cotG' 'yfnH' 'ykvQ' 'yodH' 'S729' 'S497'
 'yodI' 'spsJ' 'spsL' 'spsK' 'spsF' 'yobW' 'ykzQ' 'cwlH' 'ykvP' 'S622'
 'S421' 'yfnE' 'cotX' 'spsC' 'cotV' 'spsE' 'spsI' 'S1075' 'cotU' 'spoVIF'
 'spsD' 'yurS' 'yodU' 'cgeC' 'spsB' 'sspG' 'yfnG' 'yhcO' 'spsG' 'sscA'
 'cgeA' 'cotC' 'S251' 'cotI']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,81,
comp_ops,49,
both_ops,29,
