,A,Lrp,ihfB
R2,,0.050990399173544865,0.009830687009987349
xmin,,-10.1521245118,-3.9178110457
xmid,,-3.741333601997896,0.6125093366103479
xmax,,2.3501929199,3.3245249795
ystart,,-2.3178240389820086,0.18004241159758128
yend,,2.1956558402488047,3.415283455357931
aat__00m_00s__1,-0.8354628550000001,0.1917489778,-0.1131958483
aat__00m_30s__1,0.1138510278,-0.0036410337,0.0772468121
aat__01m_00s__1,0.1932304718,0.0638516938,0.0671979825
aat__02m_00s__1,0.3691628561,0.1884466547,-0.031233225400000002
aat__05m_00s__1,-1.6850806358,0.2606995247,0.0201842575
aat__10m_00s__1,-4.5136942386,-0.18787669680000002,-0.1696861744
aat__00m_00s__2,1.0136624629,-0.0850462209,0.030994294500000002
aat__00m_30s__2,-0.26442933690000003,0.23201001070000002,0.0539088152
aat__01m_00s__2,-0.2738341003,0.4624908091,0.1097352022
aat__02m_00s__2,0.10446204170000001,0.5094912821,0.2340397233
aat__05m_00s__2,-0.2674092294,0.42741818940000004,0.2579735379
aat__10m_00s__2,-1.873081092,-0.011315053200000001,0.5504911606
aat__00m_00s__3,-0.1781996079,-0.1067027569,0.0822015539
aat__00m_30s__3,-0.8450951416,-0.034949130700000004,0.4189166854
aat__01m_00s__3,-0.0109122894,-0.0507207701,0.2529822276
aat__02m_00s__3,-0.029530667400000002,0.0607301561,0.39341672120000004
aat__05m_00s__3,-1.5987444747000001,0.6821826714,0.2673414086
aat__10m_00s__3,-1.7182005405,0.1046706146,0.42329341260000003
abx_mega__dmso-2__1,-1.7644505172,-0.07686038270000001,2.297485246
abx_mega__ery_dmso__1,1.4930205467,-0.4184515133,-1.5657193052
abx_mega__nal_naoh__1,3.3768434988,-0.0463286922,1.171465281
abx_mega__dmso-5__1,-0.7670775901,0.291528555,0.294111116
abx_mega__rif_dmso__1,-0.6195616533,0.5837445491000001,0.9331627303000001
abx_mega__novo_h2o__1,-2.2903294211,-0.5783668051,-1.5948301920999999
abx_mega__rach_dmso__1,-0.9111697256,-0.3544948952,-0.6969566792
abx_mega__metro_dmso__1,2.2119717420000002,-0.0169901278,-0.24371025970000001
abx_mega__dmso-6__1,0.6630120377000001,-0.19775123900000002,0.3294536628
abx_mega__chl_h2o__1,2.5681091608,-1.3513809867,-1.0253066066
abx_mega__cst_h2o__1,0.6869902101,-0.0936446555,-1.1929652783
abx_mega__tec_h2o__1,0.1474043097,-0.29484850100000004,0.8805616572
abx_mega__str_h2o__1,1.5430070917,0.0541041576,1.9132335694
abx_mega__ctx_h2o__1,-0.3627755965,-0.0762063272,-1.1279696429000001
abx_mega__nal_naoh__2,2.1257565622,-0.5672398331,-0.9605612867000001
abx_mega__phos_h2o__1,0.42733759450000003,0.053708981100000004,-0.7856317823000001
abx_mega__dmso-5__2,0.6253991385000001,0.1920871912,0.10447339950000001
abx_mega__polmyx_h2o__1,-1.087318766,0.0033290340000000002,-1.1566112913
abx_mega__h2o-8b__1,0.7095180856000001,-0.2368879814,-0.5151260577
abx_mega__h2o-6__1,0.3090886452,-0.2100487493,-0.3442757495
abx_mega__thio_dmso__1,3.1835853952,-1.9313953898,-2.3813583609
abx_mega__phos_h2o__2,-0.9677735538000001,-0.2188764248,-1.0600417401
abx_mega__ctx_h2o__2,0.7728308962,-1.5745697947,-2.7828060503
abx_mega__lzd_dmso__1,2.6574167915,-0.7282929664000001,-0.938501404
abx_mega__naoh-9__1,-0.32190144600000004,0.2102835278,-1.1086632386
abx_mega__dox_dmso__1,0.7503302243000001,-0.34232132660000003,-1.5186830960000002
abx_mega__phos_ethanol__1,-1.5677381043,-0.0360912475,-1.0835463994
abx_mega__teix_dmso__1,-1.1822492391,-0.46139139360000003,-0.2108301915
abx_mega__dmso-10__1,0.287750848,-0.0707081911,-1.1932094615
abx_mega__van_dmso__1,-3.9525359864,-0.9188570988,0.5828825608
abx_mega__ramo_h2o__1,0.1003681656,-0.022524302700000002,-0.9701385051
abx_mega__tec_h2o__2,0.5618176478,-0.20139311000000001,-0.8524414069
abx_mega__h2o-7__1,0.6266225860000001,-0.7064351524,-1.405760481
abx_mega__cro_h2o__1,0.8649311363000001,-1.1960682364,-2.0779262437
abx_mega__tric_ethanol__1,-0.3574505508,0.7780823415,-0.1903310601
abx_mega__nor_naoh__1,1.6429284518,-0.4910773156,-1.0812140072
abx_mega__teix_dmso__2,-0.9891632339,-0.1605013107,-0.026524093000000002
abx_mega__nal_naoh__3,1.6903255958,-0.4457081766,-1.0022560843
abx_mega__novo_h2o__2,-2.5683605574,-0.5657690496000001,-1.7171008209
abx_mega__dmso-10__2,-0.41500241790000003,-0.0129645851,-0.8705550239000001
abx_mega__phos_h2o__3,0.3444516199,-0.2699756884,-0.6341559143000001
abx_mega__dmso-6__2,-0.5594701334000001,0.139214748,0.5477587571
abx_mega__rfp_ethanol__1,1.1008361256,-1.0064182484,-1.3179166312000001
abx_mega__dmso-5__3,-0.3015313625,-0.0378195053,-0.09633023900000001
abx_mega__amyc-d_dmso__1,-0.6345882162,-0.7699850183,0.6487792296
abx_mega__sxt_dmso__1,1.5278861046,-0.5983222528000001,-1.398343179
abx_mega__dmso-1__1,-0.0946744785,-0.0788764182,-0.0548211138
abx_mega__pen_h2o__1,-1.43781447,0.1571077622,-0.4764255264
abx_mega__dmso-10__3,-0.2765230683,0.0026593751,-0.9915859493
abx_mega__nal_naoh__4,2.0266426613,-0.1895165987,-1.1529412139
abx_mega__cip_naoh__1,2.5309514220000002,-0.0914431154,-1.0626874924
abx_mega__pen_h2o__2,-0.1387065221,0.0211183045,-0.9260874235000001
abx_mega__ery_dmso__2,1.4098598221,-0.1386738842,-1.3048554744
abx_mega__dmso-2__2,0.11815775240000001,0.38087032870000004,2.186138402
abx_mega__van_dmso__2,-2.0451360028,-1.0385986195,0.9100277827000001
abx_mega__h2o-1b__1,0.2918495412,-0.34293042830000003,-0.8877531976
abx_mega__ery_h2o__1,4.2800107244,-1.3940862034000001,-1.5251338072
abx_mega__bacit_h2o__1,0.696013518,-0.1138610196,-1.4504833334
abx_mega__chl_h2o__2,2.6718291549,-1.2410966374,-1.2200697843000001
abx_mega__str_h2o__2,0.9709181459,0.2088463545,1.7775761065
abx_mega__rfp_ethanol__2,0.8753246892000001,0.0064241946000000005,-1.2855187251
abx_mega__polmyx_h2o__2,-0.6716211023,-0.37709018990000004,-0.8769879084000001
abx_mega__tric_h2o__1,-0.3058870747,0.6017321859,-1.2793691829
abx_mega__cip_naoh__2,0.5103173377,-0.6170299069,-1.080054735
abx_mega__novo_h2o__3,-2.492043636,-0.6903743882000001,-1.4207421173
abx_mega__bacit_dmso__1,-1.1298870326000001,-0.0542605311,-0.36320266970000004
abx_mega__gen_h2o__1,5.0768414858,0.5402471191,3.0734252999
abx_mega__bacit_dmso__2,0.152105397,0.3040365601,-0.1474923579
abx_mega__chl_dmso__1,3.2325196718,0.5055827363000001,-0.8603384773
abx_mega__bacit_h2o__2,-0.4138233901,-0.0160126656,0.0810143052
abx_mega__lvx_dmso__1,-0.46467574510000004,-0.1464043041,-0.8766338815
abx_mega__bacit_h2o__3,0.8070818039000001,0.030627857100000003,-1.0401998064
abx_mega__nor_naoh__2,1.9631484760000002,-0.3171028179,-1.1131732022
abx_mega__amyc-d_dmso__2,-1.0454662853,0.0735011207,1.1241333731
abx_mega__polmyx_h2o__3,-1.3053978359,0.2066967292,1.0533152899
abx_mega__naoh-6__1,0.007649750800000001,-0.3304220725,-0.2205498512
abx_mega__cst_h2o__2,-0.5241445097,-0.0316981053,-0.9253991697
abx_mega__h2o-1b__2,1.1348734265,-0.6171215938,-0.6949207847000001
abx_mega__rfp_h2o__1,0.8542534494,0.6950883019,0.3662144094
abx_mega__tet_h2o__1,0.12630057890000002,-0.3530000016,-0.9221896544
abx_mega__flavo_dmso__1,-0.634395487,0.1148364345,-0.3053163494
abx_mega__zeocin_h2o__1,-1.2335532654,-0.2500778275,-1.4155199507
abx_mega__nor_naoh__3,0.9333532910000001,-0.4613391028,-1.0599211097
abx_mega__rach_dmso__2,-0.0543440459,-1.0513303845,-1.4386345449
abx_mega__thio_dmso__2,3.580911759,-0.7931882752,-0.2803295697
abx_mega__amyc-d_dmso__3,-0.09868718800000001,-0.1425223824,0.6293734383
abx_mega__rif_dmso__2,0.3723326376,0.006394704,-0.2010869699
abx_mega__amyc-d_dmso__4,-1.9193584554,-0.3398703041,1.2525770415
abx_mega__teix_dmso__3,-1.6627284509,-0.47042315490000003,-0.2896248806
abx_mega__valin_dmso__1,0.4627863904,-0.09956550460000001,-0.5997892775
abx_mega__teix_dmso__4,-1.2545867688999999,-0.2956049244,0.1237988565
abx_mega__ethanol-10__1,-1.0471066576,-0.1173161499,-1.5734086149
abx_mega__inh_h2o__1,0.1393749627,-0.6826879939,-1.8638919299
abx_mega__rif_dmso__3,0.4418268718,0.8572120805000001,0.6829585180000001
abx_mega__van_dmso__3,0.1642403058,-0.1312239978,0.9236742301
abx_mega__doxo_dmso__1,-1.7741825494999999,-0.054202918,-1.7925095215
abx_mega__tmp_dmso__1,0.7945073706,-0.7687571366,-1.0856227286
abx_mega__ethanol-10__2,-2.0040484252,-0.2830325331,-1.5969538419
abx_mega__tmp_dmso__2,1.0927218486,-0.7246961160000001,-1.1365814194000001
abx_mega__amyc-d_dmso__5,-0.6529958944,-0.3809499105,0.9335471945
abx_mega__novo_h2o__4,-2.9460264577,-0.540200283,-0.9001345086
abx_mega__cro_h2o__2,1.354654738,-1.1092440873,-1.5787237146000002
abx_mega__cro_h2o__3,-0.009816552000000001,-0.7686285168,-1.5363409356000002
abx_mega__gen_h2o__2,5.4702933366,0.7548364243,3.3245249795
abx_mega__phos_h2o__4,0.2998280982,0.3043680612,1.3672523569
abx_mega__metro_dmso__2,2.105403475,-0.0052407457000000005,-0.2511288672
abx_mega__ery_h2o__2,7.0477392025,-0.7428466618,-1.2241393744
abx_mega__sacet_h2o__1,-0.3282860172,1.0942464863,2.2712715973
abx_mega__nal_naoh__5,1.6394375463,-0.6480018334000001,-1.1236160881
abx_mega__bacit_h2o__4,0.1665708284,0.16226913340000002,0.16848949670000002
abx_mega__cip_naoh__3,2.3423167052,-0.0022205892,-1.2601444012
abx_mega__ethanol-8__1,0.3699749127,-0.12551559210000002,-1.4558741109
abx_mega__h2o-8a__1,0.062043895700000004,0.3114165841,-1.5760854295
abx_mega__ery_h2o__3,3.8276311583,-1.3817991191,-1.4715961776
abx_mega__flavo_dmso__2,-0.46941390320000004,-1.1118241244,-1.5589412839999999
abx_mega__rif_dmso__4,1.1311796807,0.640189754,0.3994912939
abx_mega__novo_h2o__5,-3.2501579926,-0.7973720779,-0.9678017240000001
abx_mega__teix_dmso__5,-0.7550807986,-0.131505318,-0.9608040567
abx_mega__naoh-2__1,0.9208505113000001,-0.029839515100000002,1.2447894583
abx_mega__novo_h2o__6,-4.0492559649,-0.5520812733,-1.191436742
abx_mega__ctx_h2o__3,0.7236686219,-1.1904583361,-1.9337324817
abx_mega__rach_dmso__3,0.42751423250000004,-1.2247114862,-1.1366547883
abx_mega__valin_dmso__2,-0.0259045845,-0.6554227122,-0.7399595053
abx_mega__amyc-d_dmso__6,0.18658479700000002,0.112860213,0.923138631
abx_mega__dox_dmso__2,0.1478882543,-0.2555514143,-0.6534829936000001
abx_mega__teix_dmso__6,-1.3854892204,-0.36691297110000004,-1.1495585992
abx_mega__naoh-6__2,-0.4488155527,-0.420226284,-0.3206835072
abx_mega__inh_h2o__2,5.887122266,0.7527320062,-0.8808770448000001
abx_mega__chl_h2o__3,1.2429216076,-0.9402117607,-2.0232756272
abx_mega__nal_naoh__6,1.7930252343,-0.5371144676,-1.1867332256
abx_mega__chl_dmso__2,3.1178626673,0.4701902592,-0.9006154946
abx_mega__rach_dmso__4,2.3775534676,-0.6315143039000001,-1.631366638
abx_mega__teix_dmso__7,-0.5982992177,-0.2751275436,-1.033868219
abx_mega__ceru_ethanol__1,-0.7677541951,0.6643574967,-0.7600665551
abx_mega__dmso-7__1,1.5029739480000002,-0.11426782910000001,-0.4911206664
abx_mega__naoh-6__3,0.40500544460000004,-0.2327240486,-0.30821672310000003
abx_mega__phos_ethanol__2,-0.39902361550000004,-0.0136205634,-1.1953659872
abx_mega__metro_dmso__3,0.953505024,-0.0143279424,-0.137280135
abx_mega__van_dmso__4,-0.6800860226000001,-0.4265849803,1.2171043994
abx_mega__h2o-10__1,-0.36954323710000003,-0.12238592690000001,-1.5275886062000001
abx_mega__h2o-10__2,-1.179063442,-0.4323012848,-1.9308061206
abx_mega__dmso-6__3,0.1103089553,-0.1953700162,0.33441959600000004
abx_mega__mem_dmso__1,0.1599754932,-0.9469480016,-1.6562199957
abx_mega__ethanol-8__2,0.5849680204000001,0.002914251,-0.9106399612
abx_mega__chl_h2o__4,0.8779553528,-1.1470755588000001,-1.9080504914
abx_mega__van_h2o__1,-0.7928780466,0.1187652569,-0.9515812199
abx_mega__dcs_h2o__1,0.1812913261,-0.2439474482,-1.2671154485
abx_mega__rif_dmso__5,0.4667470643,0.29047002990000004,-0.0163777134
