,ydiV
Cr_1,-0.0038863764198603617
Cr_2,0.0004594460692528004
Cr_3,0.004337522329989193
Cr_4,0.014295434074073847
Cr_5,0.02562478481903717
Cr_6,0.015516957913168584
Fe_1,0.0003193921432644938
Fe_2,-0.00012357512534723832
Fe_3,-0.0010159312540761623
Fe_4,0.007780704958714791
Fe_5,0.017412085685954357
Fe_6,0.02637811741399879
Cd_1,0.010924681591027451
Cd_2,0.018265629249409703
Cd_3,0.025908924295477267
Cd_4,0.03768028294015397
Cd_5,0.04219905694248658
Cd_6,0.052774661471197186
Zn_1,-0.013333142460808776
Zn_2,-0.02558556843222765
Zn_3,-0.011533206855116036
Zn_4,0.00498331134493915
Zn_5,0.02495336738365034
Zn_6,0.04514601684330625
Cu_1,0.0019826182289598444
Cu_2,0.0035091735543313672
Cu_3,0.0013342616693210751
Cu_4,-0.0003031075229833676
Cu_5,-0.0031231601434098736
Cu_6,-0.00658538141505008
Pb_1,0.0001411381746367377
Pb_2,0.00023628475030424936
Pb_3,0.0011793583325921556
Pb_4,0.003352745005632721
Pb_5,0.004759631734451524
Pb_6,0.008278205809618655
