,Value,list
TF,rpoN,
reg_genes,85,"['pdgL' 'potG' 'pspC' 'astB' 'hypC' 'ygbD' 'hisM' 'hycF' 'rhaD' 'STM3966'
 'astA' 'rtcR' 'hypF' 'hycA' 'hypE' 'rpoH' 'STM0692' 'hycE' 'hypB' 'hpaC'
 'potI' 'hisJ' 'yjbO' 'hycI' 'yjcG' 'fhlA' 'hycC' 'prpD' 'potF' 'hydH'
 'oat' 'ibpB' 'relA' 'rtcB' 'flhD' 'hycG' 'yejH' 'potH' 'pspB' 'prpE'
 'astC' 'hycB' 'hydG' 'acrD' 'hypA' 'hisQ' 'rpoE' 'STM2840' 'rtcA' 'prpC'
 'hypD' 'hydN' 'hisP' 'yaaU' 'htpG' 'yhjC' 'pspD' 'yeaH' 'rseA' 'pspA'
 'hycH' 'astE' 'rseC' 'astD' 'yeaG' 'nikR' 'rseB' 'zraP' 'prpB' 'pspE'
 'flhC' 'gltL' 'hycD']"
comp_genes,0,[]
both_genes,0,"['glnK' 'gltJ' 'glnL' 'argT' 'amtB' 'glnG' 'gltI' 'glnQ' 'gltK' 'glnP'
 'glnA' 'glnH']"
reg_genes2,0,
comp_genes2,12,
both_genes2,0,
