,0
gene_id,PN96_RS14385
name,dusB
operon,Op2946
gene_product,tRNA dihydrouridine synthase DusB
cog,"Translation, ribosomal structure and biogenesis"
regulator,<i>Not Available</i>
link,<i>Not Available</i>
