,alsI
Cr_1,-0.005794167169368119
Cr_2,-0.003923382777628111
Cr_3,-0.003894174499230551
Cr_4,-0.010852301591671113
Cr_5,-0.015240200234681657
Cr_6,-0.024830295586306943
Fe_1,-0.01035545227760247
Fe_2,-0.016232097224126517
Fe_3,-0.006071488570727822
Fe_4,-0.005964796142749804
Fe_5,-0.011567555112649132
Fe_6,-0.01459492120319869
Cd_1,0.006519921565921053
Cd_2,0.023902462402205144
Cd_3,0.025886075005836003
Cd_4,0.023006269419958415
Cd_5,0.012732520038023257
Cd_6,0.025998001996200008
Zn_1,-0.007353699241508238
Zn_2,-0.0036458227300548867
Zn_3,0.010969396157847708
Zn_4,0.04232393563833045
Zn_5,0.08075635533561411
Zn_6,0.10619228232461908
Cu_1,0.0026146250167838874
Cu_2,0.011017965379101038
Cu_3,0.026793261181088938
Cu_4,0.044751293690850485
Cu_5,0.060499609830000335
Cu_6,0.07680491347455512
Pb_1,0.0024980578837481573
Pb_2,0.013474546535564623
Pb_3,0.033344385752578684
Pb_4,0.05425075934952663
Pb_5,0.07069620722181896
Pb_6,0.09139024820024493
