,mdtN
Cr_1,-0.005308061590718744
Cr_2,0.0011725587973826696
Cr_3,0.006330131211364678
Cr_4,0.009380273085411828
Cr_5,0.01214210694525337
Cr_6,0.01554165657201006
Fe_1,-0.006892849095726334
Fe_2,-0.024331539133941687
Fe_3,-0.0346033347804324
Fe_4,-0.04256282549816588
Fe_5,-0.04167513796194342
Fe_6,-0.04022145963692874
Cd_1,-0.0002620652394731834
Cd_2,0.0005121931902547512
Cd_3,0.0006458376449479509
Cd_4,-0.0021452755186875507
Cd_5,-0.01177757148658717
Cd_6,-0.00729662353861895
Zn_1,-0.0022780371941705816
Zn_2,-0.0035927265394007407
Zn_3,0.003315607058420977
Zn_4,0.013091047951986
Zn_5,0.027471957245022837
Zn_6,0.03668704797714789
Cu_1,0.006127255235033857
Cu_2,0.00880869686039569
Cu_3,0.016570684228479647
Cu_4,0.0237027252165035
Cu_5,0.028784777863459024
Cu_6,0.032939426466618245
Pb_1,0.0012513929975925858
Pb_2,0.002133804436264253
Pb_3,0.007656626035071976
Pb_4,0.012211329230888704
Pb_5,0.01573557341141534
Pb_6,0.022754818390977732
