,A,GutM,SrlR,Crp,hns
R2,,0.40950508966690247,0.35026453722134154,0.03408373216072402,0.017356109820570897
xmin,,-4.4235129684,-3.7170318459000002,-9.852476477,-11.2828757996
xmid,,0.28818749972137864,-0.41403994066802186,-0.04217486425502047,-1.7320956594970611
xmax,,5.9659222965000005,3.87495855,2.5388323397,2.8974495703
ystart,,-0.33774811671778626,-1.6640250005529116,-0.051162855345352844,-0.7572824752077298
yend,,22.743474995978502,14.41746052215008,5.212595604786144,2.4294773352247727
SRX1125282,0.6637221412000001,-0.1608679084,-0.08628257900000001,0.0344951212,-0.0832222629
SRX1125283,-0.6533190935000001,-0.9359735174,-0.5528870651000001,0.1435731223,-0.0215977273
SRX1125284,-1.4004987655,-0.2152982206,-0.79601527,0.2534372822,0.014475031800000001
SRX1125285,-0.45591698270000003,-0.3934885081,-1.1944787065,0.283920339,-0.069698208
SRX1125286,-1.0881156927,-1.4701403313,-1.718408373,0.3175329239,-0.28960489710000004
SRX1125287,-1.6606481624,-1.4757231872,-1.288021352,0.17602055360000002,-0.2321548066
SRX1125288,-0.2743423197,0.1830927572,0.2229243673,0.005256366,-0.0482583698
SRX1125289,-0.3396961213,-1.0333425166,-0.5101012588,0.2819816342,-0.2218292502
SRX1125290,-0.6684884995,-0.2784339547,-0.9042433496000001,0.2801678667,-0.0773807522
SRX1125291,-0.7450050957000001,-0.20119779570000002,-1.1709640657,0.4762089513,-0.0678102107
SRX1125292,-0.5754157818,-0.8187875477000001,-1.3045761607,0.5370175003000001,-0.1422065635
SRX1125293,0.11419976600000001,-0.15819015220000002,-1.1213802537,0.5086233319,0.2490992528
SRX1125294,-0.3893798215,-0.022224848800000002,-0.1366417883,-0.039751487200000005,0.13148063270000002
SRX1125295,-0.832941428,0.26331140810000003,-0.4594838167,0.2905320638,0.2910135497
SRX1125296,-1.2995556869,-0.5809510875,-0.8289520364,0.1859933018,0.1734109775
SRX1125297,-0.7683183915,-0.6504779205,-1.3793934141,0.3699621097,0.28443055370000003
SRX1125298,0.0118050305,-0.6972799399,-1.3408730725,0.5483756585,0.0742654028
SRX1125299,-0.4708514334,-1.2953858493000001,-1.3505262803,0.50143841,0.23033813420000002
SRX5694250,0.7227905507,1.0982286864,0.4602887785,-0.4516798918,-1.3295713452
SRX5694251,-0.1128261807,-0.3921417931,-2.2114649002,-1.8893970692000002,0.6661338201
SRX5694252,-5.2684145977,-0.7972250688,0.2622696389,-0.1701238306,-1.732107911
SRX5694253,0.5004849641,0.6081593006,-0.16840838400000002,0.1340371706,0.16751679260000002
SRX5694254,2.0905552076,1.4000845969,-0.189301841,-0.8477189713000001,-0.3087090213
SRX5694255,-0.6438339862,-0.0743768207,-1.7241856419000001,0.1307715067,-1.4290721084
SRX5694256,-1.6763486062,-0.6586729813000001,-0.0941983612,-0.2340068764,-0.1462527268
SRX5694257,-1.6084720522,-0.9548541984000001,-0.8875086207,-0.33700626310000004,-0.641073463
SRX5694258,-0.3717575153,0.3355109669,-0.1584315412,-0.2857852433,-0.0725217448
SRX5694259,-3.0901568904,-0.9401717984,-2.5894066165,-2.9247054987,0.4503702694
SRX5694260,1.2532413037999999,0.5557656243,0.4476700984,0.0899715865,0.1739432252
SRX5694261,-0.4521746649,0.9639761025,-0.8639082908,-1.6070723407,-0.6767263614
SRX5694262,0.9900066368,1.4818782826999999,0.7035439783,-0.5390842036,-1.031702481
SRX5694263,-0.9955509313,0.8592438121,0.47595360070000003,-0.0980165268,0.14700628870000002
SRX5694264,-2.9667126888,0.3023441926,-0.0948319412,0.2016373309,-0.41701238430000004
SRX5694265,-0.7098815203000001,0.3172319993,-0.38762117490000003,-0.2490351859,-0.1614027818
SRX5694267,-0.2566573903,0.0223515981,-0.3018912186,0.0411821817,0.3006681781
SRX5694268,-2.4258318963,-0.3673229059,0.31957866220000003,0.0231238538,-0.0815327794
SRX5694269,0.6376150978,0.7801348168000001,0.5188050634,0.0476350313,0.0328928135
SRX5694271,-2.8985994405,0.0157431314,-0.0253335201,0.24713669740000002,-0.10642851340000001
SRX5694273,-2.5277035566,-0.36647101190000003,-0.3629449867,-1.5465123927,0.6464433037
SRX5694274,-0.6608458214,-0.3335492493,0.2388560089,0.2066153554,-0.0005954383
SRX5694275,-2.3199330389,0.4497289732,0.230897022,-0.5157335737000001,-0.7840740106
SRX5694276,-1.7386561705,-0.8699663826,-1.2145655958,-1.8223907651,0.7946358242
SRX5694277,-0.7143427861,-0.5315770421,0.31000671960000004,0.36042412560000003,-0.3573271824
SRX5694278,-2.6315417503000003,-0.9077525286,-1.1860761033,-1.3002511837,1.536242647
SRX5694279,-2.0053599504,-0.39242447540000003,-0.2976840094,0.3379205155,-0.206662584
SRX5694280,-0.2896866587,-0.27044806400000004,-0.5936545045,-0.6834405493,0.48643795360000003
SRX5694281,-1.3503957852,0.31260315180000003,0.0150061419,0.1656640608,-0.5867027299
SRX5694282,-0.9691619282,-1.1150034891,-3.7170318459000002,-0.9934080376000001,1.5495831874000001
SRX5694283,-0.9058549827,-0.3154407996,-0.3246194656,-0.3443110079,0.5062316505
