,-0.11916177231480793,-0.08511555165343423,-0.05106933099206054,-0.017023110330686847,0.017023110330686847,0.05106933099206054,0.08511555165343423,0.11916177231480793,0.15320799297618162,0.18725421363755532,0.221300434298929,0.25534665496030273,0.28939287562167637,0.3234390962830501,0.35748531694442376,0.3915315376057975,0.42557775826717115,0.4596239789285448,0.49367019958991853,0.5277164202512923
thresh,-0.13618488264549478,0.13618488264549478,5,,,,,,,,,,,,,,,,,
unreg,0,0,2,1926,1631,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H-NS,0,0,0,51,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,261,217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H-NS and Crp,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H-NS, GutM, SrlR, and Crp",0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
H-NS_genes,[],[],[],"['nrdG' 'hdeD' 'ftnA' 'yjjP' 'mdtJ' 'cadC' 'ydeO' 'osmC' 'gadW' 'leuO'
 'appY' 'nrdD' 'yciF' 'gspC' 'mdtI' 'mukE' 'fimE' 'mukB' 'garK' 'nhaR'
 'mukF' 'cysW' 'hisJ' 'fimG' 'cysU' 'cysM' 'fimA' 'proV' 'hisP' 'hdfR'
 'rcsA' 'bolA' 'asr' 'hns' 'cydB' 'ydeP' 'fimD' 'cmoM' 'gspB' 'nhaA'
 'fimH' 'yjjQ' 'acrF' 'dps' 'fimB' 'gspH' 'cydA' 'garL' 'gspK' 'fliC'
 'yhiD']","['acrE' 'hdeB' 'hdeA' 'stpA' 'tcyJ' 'chiA' 'slp' 'yciE' 'fimF' 'yhiM'
 'fliZ' 'hchA' 'hisQ' 'gspF' 'evgS' 'gspM' 'fes' 'hisM' 'gspJ' 'cadA'
 'fliA' 'gspE' 'gspD' 'rcsD' 'adiA' 'dctR' 'gspL' 'fau' 'yciG' 'entF'
 'cysP' 'garR' 'proW' 'ilvI' 'garP' 'ilvH' 'degP' 'fimC' 'fimI' 'gspG'
 'gspA' 'evgA' 'gspO' 'fepE' 'rcsB' 'adiY' 'cadB' 'adeD' 'cysA' 'cspA'
 'ybdZ' 'proX' 'lrp' 'bglJ']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],[],[],"['ebgC' 'dadA' 'chiP' 'ynfK' 'rhaS' 'melA' 'prpE' 'gltF' 'mhpE' 'dadX'
 'fucP' 'melB' 'serA' 'rbsK' 'glgS' 'malT' 'sucA' 'feaR' 'proP' 'tnaB'
 'idnR' 'agaA' 'rbsC' 'ebgA' 'ulaB' 'idnT' 'araJ' 'fucK' 'hyfE' 'malI'
 'tam' 'uxaA' 'citD' 'cspE' 'paaE' 'chbF' 'psuG' 'fucA' 'sdhB' 'sgcE'
 'xylE' 'prpB' 'rbsR' 'fucR' 'ychH' 'ompW' 'dctA' 'psiE' 'rbsD' 'cirA'
 'gpsA' 'ppdD' 'nfuA' 'pncB' 'prpR' 'melR' 'sgbE' 'hfq' 'paaZ' 'metK'
 'fucU' 'lgoD' 'mhpC' 'paaH' 'uxaC' 'sgcR' 'nagA' 'pnp' 'glpE' 'glpX'
 'rpsF' 'chbB' 'hyfC' 'sodB' 'glpF' 'entD' 'fumC' 'mlc' 'rpoH' 'dksA'
 'glcC' 'glpT' 'hicA' 'uxuA' 'nanS' 'nupC' 'crr' 'marR' 'citE' 'paaJ'
 'idnD' 'psuK' 'crp' 'dgoR' 'hofM' 'araE' 'rhaB' 'xylR' 'aceE' 'fecA'
 'yeiW' 'xylB' 'ygeW' 'marB' 'sucC' 'glgC' 'focA' 'ntrC' 'gatY' 'ycdZ'
 'ascB' 'sbmC' 'narQ' 'paaA' 'fiu' 'yiaO' 'mokB' 'hflX' 'hpt' 'rplM'
 'gntK' 'mhpF' 'serC' 'fecC' 'agaW' 'dcuR' 'ampD' 'araA' 'priB' 'malY'
 'aceF' 'fadL' 'comR' 'xylH' 'sdhC' 'malS' 'chbC' 'malX' 'chbG' 'ampE'
 'hyfR' 'prpD' 'ascF' 'yhcH' 'rspB' 'tdcG' 'uxaB' 'yjcH' 'uidC' 'rseC'
 'secB' 'yiaL' 'chbR' 'dgoA' 'plaR' 'paaB' 'aldB' 'hyfB' 'udp' 'mhpD'
 'argG' 'lsrF' 'nagB' 'fepA' 'tdcC' 'hyfF' 'fis' 'sdhA' 'rbsA' 'dpiA'
 'entB' 'paaG' 'glnL' 'guaA' 'mhpB' 'abgR' 'nagC' 'rpsI' 'rpoS' 'citC'
 'gltD' 'exuT' 'zraS' 'paaD' 'rbsB' 'pck' 'hicB' 'entA' 'gltB' 'rplI'
 'aaeX' 'yqeF' 'gntT' 'fixA' 'lsrR' 'csqR' 'chiQ' 'lyxK' 'ugpB' 'sgcX'
 'hofB' 'hflK' 'exuR' 'nanT' 'gyrA' 'rihA' 'modB' 'hflC' 'lsrB' 'paaI'
 'yaeP' 'fecD' 'ldtB' 'glpA' 'deoA' 'cpdB' 'bhsA' 'ybiT' 'araC' 'kbaZ'
 'ygcW' 'sucB' 'chbA' 'treC' 'trxA' 'ykgR' 'xylA' 'entC' 'gatZ' 'ulaD'
 'fecB' 'truB' 'nagE' 'ulaE' 'zraR' 'ygeA' 'modA' 'sucD' 'acnA' 'lsrC'
 'gcvT' 'glgA' 'patZ' 'dgoD' 'fumA' 'rhaT' 'fixB' 'mpl' 'glgP' 'citF'
 'yhfA' 'araB' 'aceB' 'fadH' 'rpsR' 'uxuB' 'yjhG' 'rof' 'gdhA' 'deoC'
 'sgbH']","['puuR' 'hofC' 'yhgH' 'araD' 'nanK' 'oxyR' 'paaF' 'gcd' 'ilvB' 'hofO'
 'glpQ' 'dusB' 'yjhH' 'fixC' 'dgoK' 'sdhD' 'lpd' 'aroA' 'mhpR' 'aceK'
 'glpK' 'tdcD' 'ugpC' 'gltA' 'uhpT' 'nlpE' 'aaeR' 'rseB' 'cyoA' 'nadC'
 'acs' 'sgbU' 'manA' 'ilvN' 'paaK' 'aaeB' 'puuE' 'gcvP' 'sgcB' 'prpC'
 'dpiB' 'puuB' 'hofN' 'fadD' 'uxuR' 'gntU' 'lsrG' 'rseA' 'marA' 'entH'
 'ortT' 'idnO' 'cyoD' 'sodA' 'araG' 'ompR' 'idnK' 'mtlR' 'sohB' 'mtlD'
 'cyaA' 'lamB' 'ugpA' 'nanE' 'cyoB' 'rpoE' 'dcuA' 'entE' 'cyoE' 'speC'
 'hyfD' 'puuC' 'grcA' 'rhaR' 'cyoC' 'lsrA' 'hyfG' 'epd' 'agaV' 'citX'
 'rpsO' 'xylF' 'yiaN' 'ubiG' 'gatD' 'araH' 'infB' 'yiaK' 'pgk' 'actP'
 'ptsH' 'pflB' 'aaeA' 'cdd' 'fumB' 'glpC' 'yjhI' 'gatC' 'glpD' 'glpR'
 'hyfI' 'malK' 'btsT' 'aldA' 'ptsG' 'umpH' 'ansB' 'modC' 'treB' 'arfB'
 'putP' 'yaeQ' 'rmf' 'lsrK' 'citG' 'gatA' 'tnaA' 'nusA' 'nupG' 'ppiA'
 'malM' 'glpG' 'gatB' 'nanM' 'paaC' 'dgoT' 'yeiP' 'xylG' 'ulaC' 'ulaF'
 'fbaA' 'mhpA' 'uidA' 'ompA' 'hyfH' 'dsdA' 'rhaD' 'tdcF' 'pdhR' 'glpB'
 'sgcC' 'hyfA' 'hyfJ' 'envZ' 'manY' 'aspA' 'gadB' 'guaB' 'manX' 'rbfA'
 'agp' 'rimP' 'rhaA' 'cytR' 'tdcA' 'feaB' 'puuD' 'fucI' 'fecE' 'ulaA'
 'tsx' 'galS' 'murQ' 'gapA' 'ptsI' 'dsdX' 'ugpQ' 'gadC' 'yiaM' 'aceA'
 'sgcQ' 'nanC' 'sfsA' 'focB' 'galP' 'rseD' 'mglB' 'cstA' 'xseA' 'rspA'
 'mtlA' 'murP' 'sgcA' 'uidB' 'ugpE' 'tdcE' 'trg' 'tdcB' 'glnA' 'aegA'
 'preA' 'raiA' 'manZ' 'hupB' 'dcuB' 'hupA' 'lsrD' 'acnB' 'grpE' 'mdh'
 'fur' 'gntP' 'fucO' 'yahN' 'mglC' 'gcvH' 'osmY' 'nanA' 'mglA' 'aer'
 'lgoR' 'deoD' 'araF' 'deoB' 'cas3' 'ompF' 'preT']",['lacI'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
H-NS and Crp_genes,[],[],[],"['mdtE' 'caiE' 'caiF' 'galE' 'caiA' 'mazF' 'malE' 'casB' 'bglB' 'malF'
 'bglG' 'mazE' 'csgD' 'caiD' 'caiC' 'galK' 'cspD' 'nirC' 'casD' 'flhD'
 'bglF' 'csgG' 'csiD' 'csgE' 'galT' 'mdtF' 'casC' 'caiB']","['lacZ' 'nirD' 'caiT' 'malG' 'hlyE' 'cas1' 'galM' 'nirB' 'gadE' 'nrdA'
 'lacY' 'casA' 'relA' 'nrdB' 'lacA' 'gadA' 'cysG' 'gadX' 'casE' 'gabT'
 'csgF' 'flhC' 'yfaE' 'gabD' 'csiE' 'cas2' 'lhgO' 'gabP']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
