,A,FrlR
R2,,0.09952291884630038
xmin,,-2.9286666666666648
xmid,,
xmax,,1.835633333333334
ystart,,-8.842746712103558
yend,,1.8311743787478942
LBexp_1,-9.8419940292,-0.9843666666666646
LBexp_2,-8.9448672116,-1.0860666666666656
LBexp_3,-7.1772315009,-1.4820666666666646
LBtran_1,-6.618952677,-0.6959666666666653
LBtran_2,-6.1870837932,-1.008166666666666
LBtran_3,-5.5896662048,-1.076766666666666
LBstat_1,-6.8601600271,-1.5286666666666662
LBstat_2,-6.0782908707,-1.9421666666666653
LBstat_3,-6.911272372,-2.1919666666666657
LBGexp_1,-11.3367965018,-1.329066666666666
LBGexp_2,-11.3892182774,-0.8621666666666652
LBGexp_3,-11.0865707913,-1.232666666666665
LBGtran_2,-6.4989769098,-1.4001666666666654
LBGtran_3,-8.5624505209,-1.0571666666666655
LBGstat_1,-9.4502916092,-2.241066666666665
LBGstat_2,-8.413751562,-2.225466666666666
LBGstat_3,-6.9153278212,-1.677766666666665
S0_1,-13.2193316797,-1.6669666666666654
S0_2,-12.215314954,-1.6313666666666649
S0_3,-11.5693239281,-1.6477666666666657
S1_1,-3.5268416445,-1.1191666666666649
S1_2,-3.8649483235,-0.9459666666666653
S1_3,-2.6533411195000003,-1.2010666666666658
S2_1,4.8367930291,-1.859966666666665
S2_2,7.0238447489,-2.0976666666666652
S2_3,7.7645059593,-2.2209666666666656
S3_1,-0.3557722587,-1.1164666666666658
S3_2,3.5903884099,-1.5978666666666648
S4_1,-0.0377655867,-1.1559666666666661
S4_2,-0.6018440805,-1.320666666666666
S4_3,1.8978569894000001,-1.498266666666666
S5_1,-10.0875286346,-1.4215666666666653
S5_2,-10.6105721236,-1.182366666666665
S5_3,-10.5606789552,-1.2088666666666654
S6_1,-8.837320299,-1.7892666666666646
S6_2,0.3254123986,-2.3635666666666655
S6_3,-10.1555179742,-1.6630666666666656
S6/t_1,-6.3431078313,-1.7748666666666661
S6/t_2,-0.3732586564,-2.794766666666666
S6_4,-8.4178842946,-2.279966666666665
S6_5,-8.9637837587,-1.7902666666666658
S6_6,-9.1742379814,-1.6929666666666652
S7_4,-7.115543089,-1.6490666666666645
S7_5,-4.9844686471,-1.770766666666665
S7_6,-6.7310136268,-1.6245666666666647
S8_4,-5.5360785354,-2.1440666666666655
S8_5,-2.1532566715,-2.030766666666665
G135_1,-10.9564599543,-1.4454666666666647
G135_3,-9.8572281819,-2.780266666666666
G150_1,-11.6206211971,-1.6592666666666656
G150_2,-11.9737065662,-1.1981666666666655
G150_3,-12.6749805748,-1.2949666666666655
G180_1,-11.5409838737,-1.7896666666666654
G180_2,-11.558679661,-1.3780666666666654
G180_3,-10.8933090252,-2.159166666666666
C30_1,-10.4215876153,-2.145066666666665
C30_2,-10.4942534449,-1.9996666666666645
C90_1,-8.2672832764,-1.390766666666666
C90_2,-7.0520409308,-0.9218666666666646
BI_1,-11.3800954412,-1.2811666666666657
BI_2,-11.2239617013,-1.1069666666666649
