,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,LB__LBexp,-8.654697580566667,1.3558719128805894,3.0,0.0,-9.8419940292,1.0,-8.9448672116,2.0,-7.1772315009,,,,,,,,,,
1,LB__LBtran,-6.1319008916666675,0.516857354528025,3.0,3.0,-6.618952677,4.0,-6.1870837932,5.0,-5.5896662048,,,,,,,,,,
2,LB__LBstat,-6.616574423266666,0.46686722435092576,3.0,6.0,-6.8601600271,7.0,-6.0782908707,8.0,-6.911272372,,,,,,,,,,
3,LB__LBGexp,-11.270861856833333,0.16173870367300064,3.0,9.0,-11.3367965018,10.0,-11.3892182774,11.0,-11.0865707913,,,,,,,,,,
4,LB__LBGtran,-7.53071371535,1.4590961832083034,2.0,12.0,-6.4989769098,13.0,-8.5624505209,,,,,,,,,,,,
5,LB__LBGstat,-8.259790330800001,1.274475734234392,3.0,14.0,-9.4502916092,15.0,-8.413751562,16.0,-6.9153278212,,,,,,,,,,
6,Life Cycle__S0,-12.334656853933332,0.8314525012860299,3.0,17.0,-13.2193316797,18.0,-12.215314954,19.0,-11.5693239281,,,,,,,,,,
7,Life Cycle__S1,-3.3483770291666666,0.6252081400547583,3.0,20.0,-3.5268416445,21.0,-3.8649483235,22.0,-2.6533411195000003,,,,,,,,,,
8,Life Cycle__S2,6.5417145791,1.5222394279115885,3.0,23.0,4.8367930291,24.0,7.0238447489,25.0,7.7645059593,,,,,,,,,,
9,Life Cycle__S3,1.6173080756,2.7903569684187004,2.0,26.0,-0.3557722587,27.0,3.5903884099,,,,,,,,,,,,
10,Life Cycle__S4,0.4194157740666667,1.3110634832795653,3.0,28.0,-0.0377655867,29.0,-0.6018440805,30.0,1.8978569894000001,,,,,,,,,,
11,Life Cycle__S5,-10.4195932378,0.2886563832431702,3.0,31.0,-10.0875286346,32.0,-10.6105721236,33.0,-10.5606789552,,,,,,,,,,
12,Life Cycle__S6,-6.492462299625,4.138207198389354,8.0,34.0,-8.837320299,35.0,0.3254123986,36.0,-10.1555179742,37.0,-6.3431078313,38.0,-0.3732586564,39.0,-8.4178842946,40.0,-8.9637837587,41.0,-9.1742379814
13,Life Cycle__S7,-6.2770084543,1.1357641003845893,3.0,42.0,-7.115543089,43.0,-4.9844686471,44.0,-6.7310136268,,,,,,,,,,
14,Life Cycle__S8,-3.8446676034499996,2.392016279509806,2.0,45.0,-5.5360785354,46.0,-2.1532566715,,,,,,,,,,,,
15,Life Cycle__G135,-10.4068440681,0.7772742403597473,2.0,47.0,-10.9564599543,48.0,-9.8572281819,,,,,,,,,,,,
16,Life Cycle__G150,-12.089769446033335,0.5366762230548204,3.0,49.0,-11.6206211971,50.0,-11.9737065662,51.0,-12.6749805748,,,,,,,,,,
17,Life Cycle__G180,-11.3309908533,0.3791468346284323,3.0,52.0,-11.5409838737,53.0,-11.558679661,54.0,-10.8933090252,,,,,,,,,,
18,Stress Time Course__C30,-10.457920530100001,0.05138250087070616,2.0,55.0,-10.4215876153,56.0,-10.4942534449,,,,,,,,,,,,
19,Stress Time Course__C90,-7.6596621036000005,0.8593061033588066,2.0,57.0,-8.2672832764,58.0,-7.0520409308,,,,,,,,,,,,
20,Biofilm__BI,-11.30202857125,0.11040322625530632,2.0,59.0,-11.3800954412,60.0,-11.2239617013,,,,,,,,,,,,
21,Biofilm__BC,3.387942539875,1.2860542439927045,4.0,61.0,3.7080904935,62.0,3.9600104376000003,63.0,1.5041236556,64.0,4.3795455728,,,,,,,,
22,Biofilm__Sw,4.67880040095,0.049815644379609975,2.0,65.0,4.643575421,66.0,4.7140253809,,,,,,,,,,,,
23,Life Cycle__BT,0.24596665510000001,0.3392104618166873,2.0,67.0,0.48582467290000003,68.0,0.006108637300000001,,,,,,,,,,,,
24,Life Cycle__B36,6.7040344045,1.0956633750562301,2.0,69.0,7.4787854069,70.0,5.9292834021,,,,,,,,,,,,
25,Life Cycle__B60,1.2682068666,1.9817314754761388,2.0,71.0,2.6695026314,72.0,-0.1330888982,,,,,,,,,,,,
26,M9__M9exp,0.0,0.37447420388355096,3.0,73.0,0.2895704402,74.0,0.1333202446,75.0,-0.4228906848,,,,,,,,,,
27,M9__M9tran,3.7566574108000004,0.20269947568145508,3.0,76.0,3.5658541921999998,77.0,3.9694586635,78.0,3.7346593767,,,,,,,,,,
28,M9__M9stat,-13.132650142933334,2.020100205625431,3.0,79.0,-10.8069688376,80.0,-14.1398961611,81.0,-14.451085430100001,,,,,,,,,,
29,Supplement__M+G,-3.5199838097,0.36564877865819434,3.0,82.0,-3.9409046231,83.0,-3.2809177922,84.0,-3.3381290138,,,,,,,,,,
30,Supplement__Glu,0.06282741329999998,0.5072130838473563,3.0,85.0,-0.49849521750000003,86.0,0.198737941,87.0,0.4882395164,,,,,,,,,,
31,Supplement__Fru,-4.6028404055,1.0472077797735098,3.0,88.0,-5.3775206071,89.0,-3.4114187958,90.0,-5.0195818136,,,,,,,,,,
32,Supplement__Mal,-5.996298560133333,1.3238440527319184,3.0,91.0,-4.4677721927,92.0,-6.7769456994,93.0,-6.7441777883,,,,,,,,,,
33,Supplement__G+S,0.19400588300000005,0.5143872171465463,2.0,94.0,-0.1697208064,95.0,0.5577325724000001,,,,,,,,,,,,
34,Supplement__Pyr,5.178601719566667,0.564112132180529,3.0,96.0,5.8288434262,97.0,4.8868243797,98.0,4.8201373528,,,,,,,,,,
35,Supplement__Gly,-7.243488435133333,1.212319851198418,3.0,99.0,-7.0466091638,100.0,-6.1416579612,101.0,-8.5421981804,,,,,,,,,,
36,Supplement__Glucon,-5.212835522633334,1.7391252847280272,3.0,102.0,-3.9474389893,103.0,-4.4951133118,104.0,-7.1959542668,,,,,,,,,,
37,Stressors__aero,-10.612278023633333,1.3358613337518246,3.0,105.0,-11.8649543339,106.0,-9.2064355072,107.0,-10.7654442298,,,,,,,,,,
38,Stressors__nit,-7.457512645066667,0.7604214582469182,3.0,108.0,-8.0573609052,109.0,-7.7129058502,110.0,-6.6022711798,,,,,,,,,,
39,Stressors__ferm,-6.705099690333333,1.0605150220833366,3.0,111.0,-6.7664055298,112.0,-7.7336319799,113.0,-5.6152615613,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,2.4829757521,,1.0,114.0,2.4829757521,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,0.4745439484,,1.0,115.0,0.4745439484,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,-0.4156845737,,1.0,116.0,-0.4156845737,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,-0.4475848431,,1.0,117.0,-0.4475848431,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,-2.0179001667,,1.0,118.0,-2.0179001667,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,-2.5377563766,,1.0,119.0,-2.5377563766,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,-3.5371918806,,1.0,120.0,-3.5371918806,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,-2.8792039374,,1.0,121.0,-2.8792039374,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,-12.3804769024,,1.0,122.0,-12.3804769024,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,-14.7684217549,,1.0,123.0,-14.7684217549,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,-13.6682558644,,1.0,124.0,-13.6682558644,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,-11.011073913,,1.0,125.0,-11.011073913,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,-7.4593385208,,1.0,126.0,-7.4593385208,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,-1.8094024187,,1.0,127.0,-1.8094024187,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,1.7575648708,,1.0,128.0,1.7575648708,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,5.9196694111,,1.0,129.0,5.9196694111,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,8.4521752456,,1.0,130.0,8.4521752456,,,,,,,,,,,,,,
57,Stressors__HPh,-11.415021008066667,0.2149939533865397,3.0,131.0,-11.6572196102,132.0,-11.3411157515,133.0,-11.2467276625,,,,,,,,,,
58,Stressors__LPh,-11.564959416166666,0.29639275813125193,3.0,134.0,-11.7142946436,135.0,-11.7569805901,136.0,-11.2236030148,,,,,,,,,,
59,Stressors__LPhT,-12.571083305266667,0.5358266111574573,3.0,137.0,-12.1565766456,138.0,-12.3805322497,139.0,-13.1761410205,,,,,,,,,,
60,Stressors__SMMPr,-0.6015491485000001,0.352750049202374,3.0,140.0,-1.0064522598,141.0,-0.3607218185,142.0,-0.4374733672,,,,,,,,,,
61,Stressors__HiTm,7.468884358866667,1.3463764685641566,3.0,143.0,9.0128744707,144.0,6.5394075706,145.0,6.8543710353,,,,,,,,,,
62,Stressors__LoTm,-10.399181254533334,1.46968630307319,3.0,146.0,-11.014529276,147.0,-11.4611743343,148.0,-8.7218401533,,,,,,,,,,
