,yhbT
Cr_1,-0.0035824772815221907
Cr_2,-0.009274427711320948
Cr_3,-0.010131959248247264
Cr_4,-0.009513890279514487
Cr_5,-0.007098397007973587
Cr_6,-0.0033492540778355764
Fe_1,-0.045648401804804895
Fe_2,-0.09320129004754243
Fe_3,-0.12503728923027782
Fe_4,-0.1485476522856546
Fe_5,-0.15248869343284704
Fe_6,-0.15672424912851887
Cd_1,0.00039504377769090324
Cd_2,-0.0040496162755916274
Cd_3,-0.009788925815885259
Cd_4,-0.00913828763993086
Cd_5,-0.010539981090113115
Cd_6,-0.0038955113593738774
Zn_1,-0.0011061521863924922
Zn_2,0.000620617953429485
Zn_3,5.945949662728235e-05
Zn_4,0.020818853783291427
Zn_5,0.02737731099455455
Zn_6,0.021787036014244518
Cu_1,0.00790148956708161
Cu_2,0.015954527567596875
Cu_3,0.022189266991049526
Cu_4,0.028608800089718632
Cu_5,0.039058665113904455
Cu_6,0.05205404711616389
Pb_1,0.009431056466100169
Pb_2,0.02390638476763515
Pb_3,0.034073009469703014
Pb_4,0.04343832667612835
Pb_5,0.05104340419824768
Pb_6,0.06678922541521741
