,yebG
Cr_1,-4.889914493163174e-05
Cr_2,3.769293956234853e-05
Cr_3,0.0004995674901740763
Cr_4,0.003511468898402554
Cr_5,0.005610373034277245
Cr_6,0.005327598630242792
Fe_1,-0.009728285155730348
Fe_2,-0.039996656644168835
Fe_3,-0.06346575178254223
Fe_4,-0.08798861838258458
Fe_5,-0.09951620995793896
Fe_6,-0.10432372249549114
Cd_1,0.005756659018607904
Cd_2,0.007310559448365245
Cd_3,0.009102962724013095
Cd_4,0.011810013007908285
Cd_5,0.00943207253141318
Cd_6,0.01663228886965069
Zn_1,0.0044209460669343715
Zn_2,0.007528018027262086
Zn_3,0.013842924488068616
Zn_4,0.01934036589919299
Zn_5,0.02282909380448263
Zn_6,0.029109743457303338
Cu_1,0.0008368238373194961
Cu_2,0.005966943313192355
Cu_3,0.012810372098891349
Cu_4,0.01838076666683837
Cu_5,0.028522895406380536
Cu_6,0.036643649708482405
Pb_1,0.0046855836324794726
Pb_2,0.009452312495016869
Pb_3,0.01832739172260677
Pb_4,0.0319279584935004
Pb_5,0.047523618410572295
Pb_6,0.06436157280759283
