,-0.11729508222424899,-0.09924968495897991,-0.08120428769371084,-0.06315889042844176,-0.04511349316317269,-0.027068095897903613,-0.009022698632634538,0.009022698632634538,0.027068095897903613,0.04511349316317269,0.06315889042844176,0.08120428769371084,0.09924968495897991,0.11729508222424899,0.13534047948951805,0.1533858767547871,0.1714312740200562,0.1894766712853253,0.20752206855059435,0.2255674658158634
thresh,-0.10827238359161445,0.10827238359161445,1,,,,,,,,,,,,,,,,,
unreg,2,1,7,6,25,224,1731,1650,209,22,6,1,3,2,0,1,3,2,0,0
unreg_genes,['ABUW_1663' 'ABUW_2556'],[],[],[],[],[],[],[],[],[],[],[],[],['ABUW_3881' 'ABUW_2052'],[],['ABUW_2056'],['ABUW_2053' 'ABUW_2055' 'ABUW_2102'],['ABUW_2103' 'ABUW_2054'],[],[]
