,Value,list
TF,cpxR,
reg_genes,62,"['fabZ' 'yqaE' 'ompC' 'ppiA' 'iceT' 'bamE' 'ompF' 'cpxR' 'lpxA' 'degP'
 'yaiW' 'skp' 'ung' 'tsr' 'slt' 'motB' 'sbmA' 'yqjA' 'rseA' 'baeS' 'csgE'
 'mscM' 'mdtA' 'cheW' 'rseC' 'psd' 'ygaU' 'spy' 'srkA' 'dsbA' 'lpxD'
 'csgF' 'dsbC' 'mdtC' 'rpoE' 'csgG' 'cpxA' 'acrD' 'cheA' 'motA' 'rpoH'
 'baeR' 'marR' 'mzrA' 'marA' 'csgD' 'ppiD' 'yidQ' 'aroG' 'bacA' 'rseB'
 'ldtD' 'mdtB' 'csgA']"
comp_genes,17,['yagU' 'htpX' 'yjfN' 'yliI' 'asr' 'yobB' 'alx' 'mdtJ' 'raiA']
both_genes,8,['yccA' 'dgcZ' 'yebE' 'ftnB' 'ldtC' 'hha' 'cpxP' 'tomB']
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,37,
comp_ops,16,
both_ops,7,
