,A,cpxR
R2,,0.056984890779307795
xmin,,7.39005594781203
xmid,,
xmax,,9.932066523338118
ystart,,-0.6909627790249324
yend,,3.9149212455518576
control__wt_glc__1,0.104222138259,8.6187709114127
control__wt_glc__2,-0.104222138259,8.6289749207243
fur__wt_dpd__1,0.24647278553500002,8.837818203395301
fur__wt_dpd__2,0.0150116589833,8.775394699650741
fur__wt_fe__1,-0.7748195024690001,8.239938047777361
fur__wt_fe__2,-0.178909472095,8.09728440974411
fur__delfur_dpd__1,0.452126023133,8.85328767630195
fur__delfur_dpd__2,0.535232913133,8.73251385469801
fur__delfur_fe2__1,0.00801856756109,8.31864579153086
fur__delfur_fe2__2,-0.295410020274,8.379409564692839
acid__wt_ph5__1,-3.7750116631,8.32071419072293
acid__wt_ph5__2,-3.3149609354600003,8.37550533445601
acid__delgadx_ph5__1,-2.1197413197999997,8.30965711287899
acid__delgadx_ph5__2,-3.32364946566,8.399461940205441
acid__delgadw_ph5__1,-2.9332688728600003,8.344724558198768
acid__delgadw_ph5__2,-3.0071561964999995,8.492282809862349
acid__delgade_ph5__1,-3.7824264915400003,8.47601386834082
acid__delgade_ph5__2,-3.3796938908099996,8.446988608945759
oxidative__wt_pq__1,0.9235971883700002,8.42366120663595
oxidative__wt_pq__2,1.04512752952,8.610806382821268
oxidative__deloxyr_pq__1,-1.05782376774,8.21411466058387
oxidative__deloxyr_pq__2,-1.2522552012200001,8.192574962148429
oxidative__delsoxr_pq__1,0.34923597131300005,8.4987754471334
oxidative__delsoxr_pq__2,0.399474375622,8.53834764487311
oxidative__delsoxs_pq__1,0.189213397064,8.915097328968589
oxidative__delsoxs_pq__2,-0.099863823869,8.888715084494711
nac_ntrc__wt_csn__1,2.45343508248,8.988517972678949
nac_ntrc__wt_csn__2,2.83070600191,8.92144987968196
nac_ntrc__wt_cytd__1,1.52441573378,8.77864694415191
nac_ntrc__wt_cytd__2,0.9599183305779999,8.74649871035583
nac_ntrc__wt_gln__1,4.43796290871,9.231018526943858
nac_ntrc__wt_gln__2,4.90417938595,9.106617467774539
nac_ntrc__bw_delnac_csn__1,1.5756767989700002,9.17523906000434
nac_ntrc__bw_delnac_csn__2,2.3586161474900003,9.41291241902509
nac_ntrc__bw_delnac_cytd__1,1.1182913208299998,8.85982927671557
nac_ntrc__bw_delnac_cytd__2,1.42253130463,8.81029094242469
nac_ntrc__bw_delnac_gln__1,1.8048344821400002,8.85395746688015
nac_ntrc__bw_delnac_gln__2,1.54527808014,8.8965658833652
nac_ntrc__bw_delnac_nh4__1,-0.34551646810599995,8.45959969476262
nac_ntrc__bw_delnac_nh4__2,-0.133172579012,8.4687325665816
misc__wt_no_te__1,1.0810859688299999,8.7519753233508
misc__wt_no_te__2,0.509376173558,8.77807881597905
misc__bw_delcbl__1,0.0646267478928,8.12493232612756
misc__bw_delcbl__2,-0.22083758998599998,8.196472733112449
misc__bw_delfabr__1,-1.11959629565,7.992845590009461
misc__bw_delfabr__2,-1.2025328472499999,8.12969631118235
misc__bw_delfadr__1,1.32920545664,8.31586862171299
misc__bw_delfadr__2,0.162457381416,8.41616166643043
misc__nitr_031__1,0.547898536596,9.15525877841065
omics__wt_glu__1,0.197947771923,9.63639689963154
omics__wt_glu__2,0.7691442566140001,9.773263611608009
omics__wt_gly__1,0.671259106295,9.33951865471846
omics__wt_gly__2,1.3549026116999998,9.35716832230889
omics__wt_thr__1,2.72924281754,9.932066523338118
omics__wt_thr__2,2.19077960157,9.89836436421351
omics__bw_ac__1,5.2725836610100005,8.9257245275297
omics__bw_ac__2,4.7937737363699995,8.83613070483564
omics__bw_fum__1,4.90380287292,8.473416026057839
omics__bw_fum__2,5.02344557125,8.66731786546524
omics__bw_glc__1,1.6893090501899999,8.6223521748632
omics__bw_glc__2,1.54577743611,8.62415302611684
omics__bw_pyr__1,4.93041724937,8.632306909358599
omics__bw_pyr__2,5.275136234330001,8.72826318636149
ompr__wt_nacl__1,3.8634042996900004,9.0054070112016
ompr__wt_nacl__2,4.78234322613,8.85784642747571
ompr__bw_delompr_nacl__1,14.7045603535,8.87887210914211
ompr__bw_delompr_nacl__2,14.7629525462,8.9440752007829
minspan__wt_ade__1,0.788545617522,8.15562460648683
minspan__wt_glc__1,-2.1312955031,8.282276931854339
minspan__wt_glc__2,-0.7428278306470001,8.08911243121315
minspan__wt_glc__3,-1.99794572463,8.111513311360639
minspan__wt_glc__4,-1.84122923512,8.30317347349874
