,yiiF
Cr_1,-0.013305415116938077
Cr_2,-0.017989380195897315
Cr_3,-0.02190000086168414
Cr_4,-0.02196257160027764
Cr_5,-0.026387624356640733
Cr_6,-0.03114174934239908
Fe_1,-0.02058193910421213
Fe_2,-0.045189396803959135
Fe_3,-0.07414099683757533
Fe_4,-0.10543412200551362
Fe_5,-0.1380507512920671
Fe_6,-0.1645209520650265
Cd_1,0.005978942424175972
Cd_2,0.015084207843842071
Cd_3,0.02068309074518884
Cd_4,0.02755204073946464
Cd_5,0.029915434487278438
Cd_6,0.03292227451163792
Zn_1,0.004251962722120216
Zn_2,-0.0037216873972784376
Zn_3,-0.003021410113873682
Zn_4,0.006705488264957063
Zn_5,0.008564119101808008
Zn_6,0.007417000053178398
Cu_1,-0.004181488496230471
Cu_2,-0.0059373543379278425
Cu_3,-0.005295225267007998
Cu_4,-0.0073870811144820464
Cu_5,-0.007060901548684834
Cu_6,-0.005170095988834174
Pb_1,-0.0022333609357952553
Pb_2,-0.003593048752966627
Pb_3,-0.00847760963066992
Pb_4,-0.01419192187548454
Pb_5,-0.01983727130973908
Pb_6,-0.02598646763429693
