,yaaU
Cr_1,0.0017736880803273058
Cr_2,0.00943767474550637
Cr_3,0.013714933505926544
Cr_4,0.008195859113366186
Cr_5,0.007202008243156152
Cr_6,0.0049159517161137785
Fe_1,-0.01097820234979216
Fe_2,-0.021482199390302246
Fe_3,-0.03923526269870552
Fe_4,-0.05906548476113789
Fe_5,-0.06867228285083549
Fe_6,-0.060863640485265276
Cd_1,-0.0034119406891794128
Cd_2,-0.008724355353493085
Cd_3,-0.0050359269226947535
Cd_4,-0.0056579276765174324
Cd_5,-0.006640206150038285
Cd_6,-0.0001434027395739212
Zn_1,0.0007373238308484452
Zn_2,0.00013791429223554617
Zn_3,0.006674792280140535
Zn_4,0.020169830588803943
Zn_5,0.029566385343197568
Zn_6,0.03985143371002505
Cu_1,0.00027304309286758753
Cu_2,-0.00041433740587897927
Cu_3,-0.00018906196095477783
Cu_4,-0.003915337935486409
Cu_5,-0.00553820071441219
Cu_6,-0.006173876478148467
Pb_1,0.00021523562843487945
Pb_2,0.0034044556641252013
Pb_3,0.007951196774721834
Pb_4,0.003006429290171721
Pb_5,0.00764915640322383
Pb_6,0.013259704839461057
