,argC
Cr_1,-0.00761168503345679
Cr_2,-0.011149579005724105
Cr_3,-0.015528083353719519
Cr_4,-0.024841274913330574
Cr_5,-0.033270272678778974
Cr_6,-0.05301010750804409
Fe_1,0.01287152223938805
Fe_2,0.06201284329727945
Fe_3,0.10399016511797812
Fe_4,0.13519839267378306
Fe_5,0.16497714153703014
Fe_6,0.1959657327361236
Cd_1,0.00013765310691657193
Cd_2,0.00917560779811797
Cd_3,0.0162309825282598
Cd_4,0.022564434789303256
Cd_5,0.022682911238045708
Cd_6,0.024746194391034714
Zn_1,0.0036316592696243977
Zn_2,0.015958435173561852
Zn_3,0.029521885215188736
Zn_4,0.038244262769538184
Zn_5,0.037338760454872166
Zn_6,0.03852219211347552
Cu_1,0.002824103442529525
Cu_2,0.021303927134056884
Cu_3,0.0473205293266206
Cu_4,0.06382873950202288
Cu_5,0.08423113217384916
Cu_6,0.0934418681555856
Pb_1,0.014760645486243878
Pb_2,0.027445754849785575
Pb_3,0.02742269457040785
Pb_4,0.027762300459354315
Pb_5,0.03398394539271221
Pb_6,0.04038269307426928
