,A,GltR-II
R2,,0.3018653738905476
xmin,,-3.832068836
xmid,,
xmax,,2.231554574333333
ystart,,-14.488340971806624
yend,,6.1227083324890055
ALE:GalactoseA5:1.0,6.190609868994654,1.3097580557499997
ALE:GalactoseA5:2.0,5.759635839005639,1.2135640147499993
ALE:GalactoseA6:1.0,6.491586353036846,1.8599089707499996
ALE:GalactoseA6:2.0,6.782822447605359,1.9751778657499992
ALE:GalactoseA8:1.0,5.288459311809049,1.88210756475
ALE:GalactoseA8:2.0,5.4693085783713045,1.87986913375
ALE:IL_Control:1.0,0.2225361312680162,0.2526993267499993
ALE:IL_Control:2.0,-2.6512392427056373,-0.7170405242500006
ALE:IL_Control:3.0,1.6451454843113746,0.0413115897499993
ALE:IL_Control:4.0,0.7835576251552041,0.4230296077499993
ALE:IL_TEOH_OAc:1.0,-3.5974099718289527,-0.7615009132500008
ALE:IL_TEOH_OAc:2.0,-3.618563453230798,-0.9456653592500004
ALE:IL_TEA_HS:1.0,2.886653270060988,0.7305312507499995
ALE:IL_TEA_HS:2.0,-1.4771408162261934,0.1218577317499995
ALE:IL_Mixed:1.0,-3.359704578836991,-0.8182369072500002
ALE:IL_Mixed:2.0,-3.2463522731459444,-0.6105641292500001
ALE:IL_PP5350:1.0,-3.5108933764045696,-2.4087238072500003
ALE:IL_PP5350:2.0,-3.541833657611445,-2.3141262342500006
ALE:IL_T8:1.0,-3.5027565777242544,-1.2713379842500006
ALE:IL_T8:2.0,-3.2703062262820213,-1.1560089802500002
ALE:IL_T9:1.0,3.02995105288744,1.383450551749999
ALE:IL_T9:2.0,2.273255122460749,1.4269205457499998
ALE:IL_Control2:1.0,-2.041956954375866,0.9486726967499992
ALE:IL_Control2:2.0,-1.5054402858317033,0.7466146887499994
ALE:IL_Glc+Ace:1.0,-4.144021939214658,-0.9351294442500002
ALE:IL_Glc+Ace:2.0,-4.155152216676287,-1.1848996092500004
ALE:XyloseA1:1.0,-1.419054244070928,-1.09961024625
ALE:XyloseA1:2.0,-1.5897032252925845,-0.8407841102500004
ALE:XyloseA2:1.0,-1.8697371143561008,-0.8264855532500004
ALE:XyloseA2:2.0,-1.0477297344984429,-0.5781252252500009
ALE:XyloseA3:1.0,-1.7765373659885346,-0.9359766172500006
ALE:XyloseA3:2.0,-2.208231664178672,-0.9348428942500008
ALE:XyloseA4:1.0,-1.1522963728518232,-0.5475312752500008
ALE:XyloseA4:2.0,-2.2652665589811587,-0.8745647992500007
Aromatic:Coumarate:1.0,-17.777169905117532,-2.0311458190000007
Aromatic:Coumarate:2.0,-16.258443395178926,-2.1353798360000007
Aromatic:Coumarate:3.0,-15.129333883384332,-1.9997111150000009
Aromatic:Coumarate+ferulate:1.0,-16.823989993725544,-2.0271116150000004
Aromatic:Coumarate+ferulate:2.0,-14.87188610830492,-1.9812615250000007
Aromatic:Coumarate+ferulate:3.0,-16.668966888998686,-2.3221813590000004
Aromatic:Ferulate:1.0,-13.912024337629102,-1.8484024390000005
Aromatic:Ferulate:2.0,-12.858107722585792,-1.319224074000001
Aromatic:Ferulate:3.0,-9.375565430701412,-1.9696718280000003
Aromatic:Glucose:1.0,-0.1140964216558123,0.0819230839999995
Aromatic:Glucose:2.0,-0.6943442695804615,-0.2400308620000002
Aromatic:Glucose:3.0,0.8084406905624405,0.1581077779999997
Bioreactor1:24h:1.0,-1.2265241938843614,-0.3479684905000004
Bioreactor1:24h:2.0,1.2265241939680307,0.3479684904999995
Bioreactor2:S_0min:1.0,-0.4091109723464136,-0.0132808759999996
Bioreactor2:S_15min:1.0,-0.4292476837841349,0.3790886149999997
Bioreactor2:P1_15min:1.0,-0.230136892601652,0.2967426890000002
Bioreactor2:P3_15min:1.0,-0.0189423233303328,0.2321287009999997
Bioreactor2:P5_15min:1.0,-0.0452162634433406,0.1473440439999995
Bioreactor2:S_1h:1.0,-0.2542420728486697,0.3684137490000001
Bioreactor2:S_3h:1.0,-0.0555684498012981,0.4894142219999997
Bioreactor2:S_9h:1.0,0.2749959036679417,0.4911955619999997
Bioreactor2:S_25h:1.0,0.0722537730581451,0.2427655460000002
Bioreactor2:P1_25h:1.0,0.1686176205523555,0.2519312090000003
Bioreactor2:P3_25h:1.0,0.8644425424555899,0.2660095980000001
Bioreactor2:P5_25h:1.0,0.9990027644672016,0.4016020349999998
Bioreactor2:S_0min:2.0,0.5474616623394737,0.0366932149999996
Bioreactor2:S_15min:2.0,-0.8962881317685245,0.4430465640000003
Bioreactor2:P1_15min:2.0,-1.304758933961712,0.1581568390000001
Bioreactor2:P3_15min:2.0,-0.7417548652365069,0.630658306
Bioreactor2:P5_15min:2.0,-0.6635145570755766,0.2278567330000003
Bioreactor2:S_1h:2.0,-0.850153237302925,0.3297565709999999
Bioreactor2:S_3h:2.0,-0.3900928601376986,0.369725764
Bioreactor2:S_9h:2.0,0.2045388592368078,0.4666263070000003
Bioreactor2:S_25h:2.0,0.1394700523422943,0.4622800759999999
Bioreactor2:P1_25h:2.0,-0.0835341794509714,0.25004778
Bioreactor2:P3_25h:2.0,0.4618675762111237,0.1728951460000001
Bioreactor2:P5_25h:2.0,0.7420748793350181,0.2699998429999999
Bioreactor2:S_0min:3.0,-0.1383506896231033,-0.023412339
Bioreactor2:S_15min:3.0,-1.384476115959847,0.3054003740000004
Bioreactor2:P1_15min:3.0,-0.97112872445466,-0.0860609959999996
Bioreactor2:P3_15min:3.0,-0.6496031564497722,0.2511746190000004
Bioreactor2:P5_15min:3.0,-0.6796407692889167,0.2031992750000002
Bioreactor2:S_1h:3.0,-1.3030413774693392,0.4536407139999996
Bioreactor2:S_3h:3.0,-0.367673841497057,0.5621283000000004
Bioreactor2:S_9h:3.0,-0.2170827098789721,0.4555581540000002
Bioreactor2:S_25h:3.0,-0.2799441762913157,0.0581991960000003
Bioreactor2:P1_25h:3.0,0.1825628762845427,0.310212345
Bioreactor2:P3_25h:3.0,0.3245075777135732,0.0218213079999998
Bioreactor2:P5_25h:3.0,0.3298187093030502,0.0719001679999999
Carbon:Citrate:1.0,-19.01538725373157,-1.88118213
Carbon:Citrate:2.0,-20.04992551767617,-1.7874119999999998
Carbon:Citrate:3.0,-19.426055440202163,-2.688610505
Carbon:Ferulate:1.0,-18.10802170711468,-3.832068836
Carbon:Ferulate:2.0,-17.49690754934147,-3.082396483
Carbon:Ferulate:3.0,-18.38731239885161,-3.4333667030000004
Carbon:Glucose:1.0,-0.4929074420437366,-0.4437616000000002
Carbon:Glucose:2.0,0.4929074419045391,0.4437616000000002
Carbon:Serine:1.0,-18.32717880174528,-1.933994134
Carbon:Serine:2.0,-17.713935439301583,-2.3352478110000003
Carbon:Serine:3.0,-17.113736546530397,-2.6814256940000005
Carbon2:Glucose:1.0,0.3573877418521104,0.032500134666666
Carbon2:Glucose:2.0,-0.0231035894449108,0.1000208496666656
Carbon2:Glucose:3.0,-0.3342841520803546,-0.1325209843333343
Carbon2:Coumarate:1.0,-13.060618356187318,-1.5097860803333338
Carbon2:Coumarate:2.0,-11.898597935371711,-1.7547129493333342
Carbon2:Coumarate:3.0,-14.304989460577756,-1.6741284493333346
Crc:Control:1.0,-0.0593376688111636,0.0595254870000001
Crc:Control:2.0,0.059337668619446,-0.0595254870000001
Crc:Del_crc:1.0,0.5972544925513859,0.4858736209999996
Crc:Del_crc:2.0,0.4106307141488882,0.7651658369999996
Crc:Del_crcZ_crcY:1.0,-6.933530477763744,-1.1366089410000004
Crc:Del_crcZ_crcY:2.0,-7.177301217897154,-0.9704169180000006
FinR:Control:1.0,-0.3627014072351702,-0.0460419776666669
FinR:Control:2.0,-0.0616223714635065,0.0004304643333332
FinR:Control:3.0,0.4243237767265835,0.0456115133333332
FinR:Del_finR:1.0,0.6231200838605198,-0.064196096666667
FinR:Del_finR:2.0,1.2413874193904495,-0.4701934316666669
FinR:Del_finR:3.0,1.3858432960471516,-0.168279411666667
FleQ:Del_fleQ:1.0,-0.6069055779704385,-0.1292325873333335
FleQ:Del_fleQ:2.0,-1.4330023252721211,0.0328826356666667
FleQ:Del_fleQ:3.0,-0.5494012062891201,-0.1881203983333335
FleQ:OE_wspR:1.0,2.212882231387853,0.7317025566666664
FleQ:OE_wspR:2.0,2.2247995614301974,0.2500339476666666
FleQ:Control:1.0,0.4213513825103059,0.0456125236666666
FleQ:OE_wspR:3.0,1.4387364899118744,0.4966584246666663
FleQ:Control:2.0,-0.3640304732556184,-0.0460423423333336
FleQ:Control:3.0,-0.0573209096561095,0.0004298186666664
Fuel:Butanol:1.0,3.634073489956696,-1.3586619535000004
Fuel:Butanol:2.0,3.925739074927936,-1.2991709235000002
Fuel:Control:1.0,-0.6062544773219746,-0.0544952485000003
Fuel:Control:2.0,0.6062544770650105,0.0544952485000003
Fuel:Isopentanol:1.0,-1.9802993647379723,-1.3004863684999997
Fuel:Isopentanol:2.0,-1.2203740402927488,-1.4285627444999998
Glycolaldehyde:Glycolaldehyde:1.0,-1.3192983637592166,-0.4809347270000002
Glycolaldehyde:Control:1.0,-0.4217352778614805,-0.0113309739999998
Glycolaldehyde:Glycolaldehyde:2.0,-2.03884701085212,-0.5968326880000001
Glycolaldehyde:Control:2.0,0.4217352782933427,0.0113309739999998
HNS_protein:Control_ex:1.0,-0.3966155317567612,-0.0847806405
HNS_protein:Del_turB_ex:1.0,-0.8288960670785518,-0.5519858415000005
HNS_protein:Del_turB_ex:2.0,-1.5194208922407126,-0.7016981455
HNS_protein:WT_pCAR1_ex:1.0,-0.3690202317289114,0.3190255285000001
HNS_protein:WT_pCAR1_Del_turA_ex:1.0,0.8453564274428761,0.4268135475000001
HNS_protein:WT_pCAR1_Del_turA_st:1.0,0.8310386402723243,0.3999736734999999
HNS_protein:WT_pCAR1_Del_turA_ex:2.0,0.7976880011751964,0.4564059785000003
HNS_protein:WT_pCAR1_Del_turA_st:2.0,1.4008051339695615,0.6164027545000001
HNS_protein:WT_pCAR1_ex:2.0,-0.4560317918011749,-0.4113288625000004
HNS_protein:WT_pCAR1_Del_turB_ex:1.0,0.0922702205884803,-0.0360797905000005
HNS_protein:WT_pCAR1_Del_turB_st:1.0,0.9791404173974524,0.1737760765000002
HNS_protein:WT_pCAR1_Del_turB_ex:2.0,0.2549881865029595,0.1581561784999996
HNS_protein:WT_pCAR1_Del_pmr_ex:1.0,0.2590494908021899,0.1700630624999997
HNS_protein:WT_pCAR1_Del_pmr_ex:2.0,0.5447728320483654,0.5545338544999998
HNS_protein:WT_pCAR1_Del_turB_st:2.0,1.6677162406917416,0.7668532374999995
HNS_protein:Control_ex:2.0,0.3966155318950193,0.0847806405
HNS_protein:WT_Del_turA_ex:1.0,-0.3902476363904259,-0.4136675764999999
HNS_protein:WT_Del_turA_ex:2.0,-0.4651801237793293,0.0733770805000002
Mobile_gene:2737_exp:1.0,-0.2034115286563319,-0.2592521427499994
Mobile_gene:2737_exp:2.0,-0.0359501913005787,0.00899481225
Mobile_gene:2737_exp:3.0,0.0430431393317297,0.1620732022500002
Mobile_gene:2737_exp:4.0,0.1963185809190085,0.08818412825
Mobile_gene:2737_reg:1.0,-1.2490678537110529,0.0189353142500001
Mobile_gene:2737_reg:2.0,-1.891877340783836,-0.2391460707499995
Mobile_gene:2737_reg:3.0,-1.9562526627266208,-0.1252702077499998
Mobile_gene:2737_reg:4.0,-1.57063297589176,-0.0461728707499995
Mobile_gene:3227_exp:1.0,0.494167405094249,0.2042803652499998
Mobile_gene:3227_exp:2.0,0.1011346756266988,0.0081619832499999
Mobile_gene:3227_exp:3.0,-0.2003038439167728,-0.1155707497499998
Mobile_gene:3227_exp:4.0,-0.2878491140739467,0.3218475102500004
Mobile_gene:3227_reg:1.0,-1.5516821017203677,-0.4345157457499997
Mobile_gene:3227_reg:2.0,-0.7007637446325077,-0.4142207627499994
Mobile_gene:3227_reg:3.0,-1.0947594298351582,-0.32824196375
Mobile_gene:3227_reg:4.0,-0.6229865512981354,-0.2863188837499999
Mobile_gene:mfsR_exp:1.0,0.5891365538709785,-0.7209253267499998
Mobile_gene:mfsR_exp:2.0,0.2751978114158006,-1.95356455875
Mobile_gene2:Condition1:1.0,-0.4694074937136552,0.0461628882499995
Mobile_gene2:Condition1:2.0,-0.4106691587799147,-0.0532163427500007
Mobile_gene2:Condition2:1.0,0.008776330054989,0.1068874002499997
Mobile_gene2:Condition2:2.0,0.8211169977328008,0.4755744252499996
Mobile_gene2:Condition2:3.0,-0.3968519794964837,-0.1393743297500007
Mobile_gene2:Condition2:4.0,-0.4330413489094434,-0.4430874957500004
Muconate:CJ522_fructose:1.0,-7.0157144973463845,-1.7491496440000005
Muconate:CJ522_fructose:2.0,-6.02436606082815,-2.0099082430000004
