locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GltR-II,link
PP_1015,0.3901533641219433,gtsA,mannose/glucose ABC transporter%2C glucose-binding periplasmic protein,Carbohydrate transport and metabolism,Op639,"RoxR,GltR-II,Crc,PhoB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1015&e1=1&assembly=complete
PP_1018,0.3724186253958688,gtsD,mannose/glucose ABC transporter - ATP binding subunit,Inorganic ion transport and metabolism,Op640,"RoxR,GltR-II,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1018&e1=1&assembly=complete
PP_1017,0.3682124582100396,gtsC,mannose/glucose ABC transporter%2C permease protein,Inorganic ion transport and metabolism,Op640,"RoxR,GltR-II,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1017&e1=1&assembly=complete
PP_1016,0.3563041934713524,gtsB,mannose/glucose ABC transporter%2C permease protein,Inorganic ion transport and metabolism,Op640,"AlgR,GltR-II,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1016&e1=1&assembly=complete
PP_1019,0.3334824890121644,oprB-I,carbohydrate-selective porin,Cell wall/membrane/envelope biogenesis,Op640,"RoxR,GltR-II,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1019&e1=1&assembly=complete
PP_1014,0.2332511803596682,yihS,aldose-ketose isomerase,Carbohydrate transport and metabolism,Op638,RoxR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1014&e1=1&assembly=complete
PP_1020,0.117489122289092,yeaD,putative glucose-6-phosphate 1-epimerase,Carbohydrate transport and metabolism,Op641,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1020&e1=1&assembly=complete
