,perR
Cr_1,-0.0009361040917192527
Cr_2,0.001825177953209296
Cr_3,-0.005300660097818645
Cr_4,-0.005606886294562732
Cr_5,-0.005249621443357098
Cr_6,-0.007640160456537716
Fe_1,-0.005492506967579203
Fe_2,-0.026967861054714395
Fe_3,-0.05100232648612327
Fe_4,-0.07469400774221417
Fe_5,-0.08981688007679763
Fe_6,-0.09787436310702656
Cd_1,0.002819097812243982
Cd_2,0.005899612897691249
Cd_3,0.006938158129211052
Cd_4,0.010224270484650407
Cd_5,0.009624104017036823
Cd_6,0.009481749549386305
Zn_1,-0.0033201171882808146
Zn_2,-0.00970355042828744
Zn_3,-0.004624292041948993
Zn_4,-0.006031780550285787
Zn_5,0.006432463315396011
Zn_6,0.012367324508499476
Cu_1,0.0012728943443842688
Cu_2,-0.0016878571425325585
Cu_3,0.002478310212264094
Cu_4,0.002651057224668838
Cu_5,0.002110909067482992
Cu_6,0.0029646753653056464
Pb_1,0.008276038453128123
Pb_2,0.00907645119949206
Pb_3,0.009751052824375198
Pb_4,0.016050436236142662
Pb_5,0.028266022233029237
Pb_6,0.033724460895878404
