,A,CodY
R2,,0.16451059403100887
xmin,,-2.8394666666666666
xmid,,-0.2347686516582248
xmax,,1.7317333333333345
ystart,,3.1242620160205727
yend,,-25.430992371805765
LBexp_1,-35.7599109096,0.7034333333333347
LBexp_2,-32.4854619445,0.6152333333333342
LBexp_3,-31.2830916051,0.3571333333333335
LBtran_1,-23.923852297,-2.0742666666666665
LBtran_2,-24.1834722161,-0.43246666666666655
LBtran_3,-23.8257672921,-0.027666666666666728
LBstat_1,-7.4839534176,1.1148333333333333
LBstat_2,-5.9019334899,1.1453333333333333
LBstat_3,-6.3521218678,0.9864333333333342
LBGexp_1,-33.7621880158,1.0598333333333336
LBGexp_2,-33.3193196892,0.5445333333333338
LBGexp_3,-33.3950417282,1.1487333333333343
LBGtran_2,-24.6039247099,0.07273333333333376
LBGtran_3,-30.0980386809,0.4800333333333331
LBGstat_1,-26.7607896185,1.3290333333333333
LBGstat_2,-22.4737831429,0.03903333333333414
LBGstat_3,-24.3650811251,0.4449333333333332
S0_1,-11.4098736375,0.598533333333334
S0_2,-17.3177858357,0.6655333333333342
S0_3,-15.4053907572,0.8460333333333345
S1_1,25.6147742573,0.10483333333333356
S1_2,26.295453334,-0.047366666666667
S1_3,25.8717947838,0.10183333333333344
S2_1,22.045350214,0.05713333333333459
S2_2,24.7207418327,-0.3938666666666659
S2_3,22.8025330869,-0.02286666666666548
S3_1,22.8776379569,1.330233333333334
S3_2,22.0024530265,0.9917333333333342
S4_1,19.4263529436,1.2729333333333344
S4_2,20.6909105079,1.137833333333333
S4_3,19.738845236,1.1286333333333332
S5_1,19.4825725253,0.8382333333333332
S5_2,18.5158638182,1.1165333333333347
S5_3,19.0263400547,1.1794333333333338
S6_1,17.2393393081,0.6324333333333332
S6_2,8.2724026096,-1.4088666666666665
S6_3,17.7180240553,0.6273333333333344
S6/t_1,15.7098225691,0.2636333333333347
S6/t_2,8.1582328959,-1.6900666666666666
S6_4,12.7604402692,0.053333333333334565
S6_5,14.4515803703,0.45413333333333306
S6_6,14.8235099906,0.6879333333333335
S7_4,10.9792416668,0.21353333333333424
S7_5,10.5619728747,-0.1234666666666655
S7_6,10.5748950971,0.22623333333333306
S8_4,10.7465097353,-0.5385666666666662
S8_5,3.3716469462,-1.2010666666666658
G135_1,-30.4589406876,1.2847333333333335
G135_3,-19.28101302,-0.4353666666666669
G150_1,-30.3782232895,0.4272333333333336
G150_2,-35.4724967526,1.1544333333333334
G150_3,-31.0950569527,1.0861333333333345
G180_1,-29.7753557432,0.939233333333334
G180_2,-33.3763830098,1.2497333333333334
G180_3,-28.5033093526,0.3793333333333333
C30_1,-14.8670298021,0.6829333333333345
C30_2,-14.6825493366,1.1009333333333338
C90_1,-17.9874185015,-0.6184666666666665
C90_2,-18.3574627652,-0.5764666666666667
BI_1,-16.7376415829,0.25833333333333464
BI_2,-18.5602141305,0.43833333333333435
BC_2,6.7458091434,-0.6156666666666659
BC/t_1,9.0803034727,-0.6775666666666655
BC/t_2,6.8528642616,-0.6821666666666655
BC_1,7.9614772003,-0.9672666666666654
Sw_1,9.4069222294,-0.9667666666666666
Sw_2,8.8709348483,-0.6038666666666668
BT_1,21.9897301208,0.9242333333333335
BT_2,21.0748683008,0.402333333333333
B36_1,12.1015971141,0.6444333333333336
B36_2,11.7881306719,0.36813333333333453
B60_1,9.6832175519,-0.02616666666666667
B60_2,8.5445188466,-0.5102666666666664
M9exp_1,0.8248661206,0.3317333333333341
M9exp_2,0.37830688030000004,-0.1032666666666664
M9exp_3,-1.2031730009000001,-0.22846666666666593
M9tran_1,6.6606363416,-0.12396666666666611
M9tran_2,5.3006830759,0.2476333333333347
M9tran_3,9.30576429,-0.23476666666666546
M9stat_1,19.8728219093,-1.4780666666666669
M9stat_2,18.6813380987,-2.5301666666666662
M9stat_3,20.3486227931,-2.8394666666666666
M+G_1,-3.1673166879,-0.0016666666666669272
M+G_2,-1.2191609751999999,0.07363333333333344
M+G_3,-0.7800459508,-0.03236666666666643
Glu_1,4.4031323504,0.1263333333333332
Glu_2,6.0223110248,0.08653333333333357
Glu_3,6.4291029577,0.22493333333333432
Fru_1,-0.39660706360000003,0.5371333333333332
Fru_2,12.3834828012,0.4853333333333332
Fru_3,9.1320870947,-0.4534666666666656
Mal_1,1.1620028342,-0.1021666666666654
Mal_2,-0.21581937880000002,-0.010866666666666802
Mal_3,0.25158742570000003,0.04613333333333358
G+S_2,11.802268596,0.2603333333333335
G+S_3,11.9455025837,0.5179333333333336
Pyr_1,15.1720317288,-0.5014666666666656
Pyr_2,14.8863131645,0.23783333333333445
Pyr_3,14.0378212114,-0.21786666666666576
Gly_1,10.7797024141,-0.6988666666666656
Gly_2,12.2330946041,0.2958333333333343
Gly_3,8.4201456449,-1.241766666666667
Glucon_1,11.1987929191,-0.9414666666666669
Glucon_2,12.4815728648,-0.4582666666666668
Glucon_3,7.4435231258,-1.6474666666666664
aero_1,-17.4324619284,0.7939333333333334
aero_2,-9.4439965003,-0.48336666666666694
aero_3,-11.6980701481,0.5541333333333345
nit_1,-11.2403076587,0.8141333333333343
nit_2,-10.2805090751,0.8845333333333336
nit_3,-9.4978262278,0.6001333333333339
ferm_1,-10.2425746313,0.7288333333333341
ferm_2,-10.038920668,0.6373333333333342
ferm_3,-9.7739807217,0.9017333333333344
T-5.40H_1,15.1795516504,-0.16586666666666616
T-4.40H_1,12.3336394964,-0.22176666666666556
T-3.40H_1,10.9447022846,-0.29306666666666636
T-2.40H_1,10.1633588255,-0.4307666666666652
T-1.40H_1,6.9610935175,-0.7269666666666659
T-1.10H_1,4.713001525,-0.48776666666666557
T-0.40H_1,6.7506550793999995,-0.5649666666666668
T0.0H_1,6.9770054436,-0.684566666666667
T0.30H_1,5.413479073,-2.0003666666666664
T1.0H_1,16.2669947935,-2.1136666666666653
T1.30H_1,20.5209714647,-2.2584666666666653
T2.0H_1,21.7030440777,-2.1726666666666663
T2.30H_1,22.8110527618,-1.2429666666666659
T3.0H_1,21.2867250987,-1.4679666666666655
T3.30H_1,20.889348225,-1.0899666666666654
T4.0H_1,19.7583003453,-0.6327666666666669
T5.0H_1,17.7624492675,-1.1314666666666664
HPh_1,-20.213390117,0.7531333333333343
HPh_2,-20.397829331,0.43313333333333404
HPh_3,-21.1297955263,0.7686333333333337
LPh_1,-22.9900439389,0.8666333333333345
LPh_2,-23.0771964993,1.0883333333333347
LPh_3,-22.1099416118,0.9384333333333341
LPhT_1,-4.439415864,0.07673333333333332
LPhT_2,-4.0684239551,0.16513333333333335
LPhT_3,-3.0743335429,0.5224333333333337
SMMPr_1,6.6877550583000005,0.03403333333333336
SMMPr_2,6.1911920784,0.22243333333333304
SMMPr_3,5.268068399,0.3242333333333338
HiTm_1,3.1479837903,0.33763333333333456
HiTm_2,-3.6842842398,0.10633333333333361
HiTm_3,1.4048187822,0.14723333333333422
LoTm_1,11.314192372800001,0.7313333333333336
LoTm_2,12.3938149261,0.4385333333333339
LoTm_3,12.4254922029,0.44363333333333443
HiOs_1,14.039364098,-0.1748666666666665
HiOs_2,13.4651470208,-0.2750666666666657
HiOs_3,13.3980473684,-0.09586666666666588
BMM_1,-7.0756346947,0.14493333333333425
BMM_2,-7.2343246276,-0.1474666666666664
BMM_3,-10.603215926,0.1697333333333333
Heat_1,-13.339734131,0.7598333333333347
Heat_2,-11.7407070631,0.5375333333333341
Heat_3,-12.356778426,0.3817333333333348
Cold_1,-12.7442399546,-0.04696666666666616
Cold_2,-12.339425265100001,-0.5773666666666664
Cold_3,-12.1404040146,-1.0631666666666657
Etha_1,-1.0876859524,-1.2121666666666666
Etha_2,-2.2832863013,-1.3622666666666667
Etha_3,-1.9216261779,-0.9567666666666668
SMM_1,3.4796201473,-0.0587666666666653
SMM_2,4.4903406663,-0.0841666666666665
SMM_3,5.0884691649,-0.13696666666666601
Salt_1,-4.3630897301000005,-0.04036666666666555
Salt_2,-4.430821619,0.026233333333333775
Salt_3,-5.1364560476,0.005033333333333445
Mt0_1,-32.7134888215,0.7123333333333335
Mt0_3,-38.1329035123,0.5640333333333345
M0t45_1,-29.1288867894,0.5846333333333344
M0t45_2,-27.9357861403,0.8269333333333346
M0t45_3,-31.8809817273,0.9258333333333333
M0t90_1,-0.8226251584000001,-0.10116666666666596
M0t90_2,-6.8361284808,0.9578333333333333
M0t90_3,-1.5779467666,0.4080333333333339
M40t45_1,-25.8952054121,0.3068333333333335
M40t45_2,-22.736490557,-1.4214666666666655
M40t45_3,-33.5590201342,0.9236333333333331
M40t90_1,-0.2717601861,-0.13046666666666695
M40t90_2,-6.0879716601,0.6190333333333342
M40t90_3,-6.0860331952,0.23953333333333404
dia0_1,-33.3273375701,0.496833333333333
dia0_2,-34.562512496,0.4000333333333348
dia0_3,-34.0594869394,0.6679333333333339
