,Value,list
TF,CodY,
reg_genes,235,"['hag' 'hutM' 'S819' 'bkdB' 'S1254' 'ackA' 'S92' 'rocB' 'fliP' 'S584'
 'cheA' 'S403' 'codY' 'hutU' 'flhB' 'leuC' 'S1533' 'scoC' 'aprE' 'pksH'
 'fliI' 'yurJ' 'ytzK' 'fliK' 'appA/2' 'argD' 'fliR' 'bacE' 'pksR' 'rocA'
 'ylmA' 'phrC' 'pksI' 'acsA' 'ilvB' 'S910' 'S363' 'S471' 'ybgE' 'bacB'
 'ansZ' 'S1245' 'rocC' 'S368' 'S1551' 'argJ' 'srfAD' 'S116' 'S667' 'ilvA'
 'clpQ' 'pksM' 'S351' 'rapC' 'oppD' 'cheC' 'S404' 'braB' 'phrA' 'fliY'
 'phrE' 'yneN' 'carA' 'carB' 'oppC' 'S407' 'putC' 'hutI' 'kapB' 'oppF'
 'trmFO' 'ybfJ' 'mpr' 'guaC' 'S616' 'S617' 'bacD' 'rapE' 'flgE' 'pksJ'
 'flgB' 'S1124' 'comS' 'thrD' 'hutG' 'ilvC' 'S822' 'flhA' 'pksN' 'flhF'
 'comK' 'fliG' 'S406' 'frlO' 'bacG' 'putP' 'flhG' 'pksC' 'fliH' 'hutP'
 'frlD' 'ywaA' 'frlB' 'rapA' 'fliF' 'cheY' 'hutH' 'ispA' 'swrB' 'S118'
 'acpK' 'fliQ' 'fliJ' 'ureB' 'gabP' 'S669' 'flgD' 'pksG' 'rocE' 'srfAB'
 'ypmP' 'S823' 'BSU_misc_RNA_24' 'metQ' 'lpdV' 'S227' 'S585' 'S1261'
 'S1138' 'yuiC' 'citB' 'rocD' 'yuiB' 'pksD' 'S465' 'fliZ' 'appA/1' 'putB'
 'bacF' 'cheB' 'srfAC' 'S1352' 'oppA' 'hom' 'S1517' 'bacA' 'S1120' 'fliM'
 'pksF' 'ureC' 'bkdAA' 'kinB' 'argF' 'argC' 'argB' 'S126' 'bkdAB' 'nprE'
 'S1412' 'leuD' 'cheD' 'oppB' 'bacC' 'srfAA' 'leuA' 'S668' 'S1119' 'cheW'
 'codV' 'ureA' 'ptb' 'guaB' 'flgC' 'fliE' 'S366' 'bkdR' 'rocF' 'thrB'
 'leuB' 'buk' 'thrC' 'fliL' 'pksL' 'ilvD' 'S472' 'frlM' 'S367' 'S405'
 'ilvH' 'metP' 'clpY' 'tyrS' 'pksE' 'bcd' 'metN' 'yxbD' 'sigD' 'ylxF'
 'frlN' 'swrD']"
comp_genes,40,['S506' 'glcD' 'yocS' 'ykwB' 'S1534']
both_genes,35,"['ykfD' 'S1413' 'dppB' 'nupQ' 'ykfB' 'S107' 'yxbB' 'yxbC' 'ykfA' 'yxbA'
 'appD' 'appF' 'S1208' 'dppC' 'dppE' 'appB' 'yxnB' 'nupN' 'appC' 'ycgA'
 'yhjC' 'nupO' 'dppA' 'asnH' 'yuiA' 'yxaM' 'dppD' 'S1209' 'yhjB' 'S329'
 'nupP' 'vpr' 'ykfC' 'amhX' 'bcaP']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,68,
comp_ops,17,
both_ops,14,
