,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A
0,Chrom__sac_log,2.4785566902165623,0.21565384006710364,2.0,0.0,2.326066397516194,1.0,2.6310469829169305,,
1,Chrom__sac_sta,-5.309064712846847,0.02148274645269497,2.0,2.0,-5.293874117151635,3.0,-5.3242553085420585,,
2,Chrom__sac_MW001,3.927413949611491e-15,0.1713876139471452,2.0,4.0,-0.12118934403340455,5.0,0.1211893440334124,,
3,Chrom__sac_fadR,1.031856620961382,1.0985865875335787,2.0,6.0,0.2550385951957998,7.0,1.808674646726964,,
4,FadR__wt_p,1.1102230246251565e-16,1.2621719545986756,2.0,8.0,0.8924903481202029,9.0,-0.8924903481202027,,
5,FadR__ko_p,-0.501941352326239,2.1068878492893024,2.0,10.0,0.9878533331057676,11.0,-1.9917360377582458,,
6,GDGT__75_2.4_log,-9.899488636240978e-16,0.339341886252141,3.0,12.0,-0.1847256004099352,27.0,0.39162899472090706,50.0,-0.20690339431097485
7,GDGT__80_3.5_stat,-3.762097711671975,0.718743880028293,3.0,13.0,-4.368999190267797,20.0,-2.9683963104298097,42.0,-3.9488976343183166
8,GDGT__80_2.4_log,-2.5201469287441776,1.8981028137294336,3.0,14.0,-2.681208660627768,37.0,-0.5466452150660563,41.0,-4.332586910538709
9,GDGT__75_3.5_stat,-0.9483215161222338,1.63664466131573,3.0,15.0,-0.7635531720383847,24.0,-2.6695093109749823,28.0,0.5880979346466657
10,GDGT__80_1.6_stat,-3.7760447629976714,1.1299881075283036,3.0,16.0,-3.4055614986846363,17.0,-5.044766776288691,33.0,-2.8778060140196877
11,GDGT__75_2.4_stat,-4.055771193261918,1.4101838703094904,3.0,18.0,-5.236843907247876,26.0,-2.4944521719771644,31.0,-4.436017500560712
12,GDGT__80_2.4_stat,-2.505515020194181,3.6353934723758727,3.0,19.0,-0.652637233255297,29.0,-0.16986583560772028,30.0,-6.6940419917195255
13,GDGT__80_1.6_log,1.5169661495887325,0.8917727921966219,2.0,21.0,2.1475447382286257,39.0,0.8863875609488392,,
14,GDGT__65_3.5_stat,-4.988079675632116,1.8598837139196043,3.0,22.0,-4.6342187657591465,23.0,-6.999473068774573,34.0,-3.33054719236263
15,GDGT__75_1.6_stat,-3.8850884026078347,0.7041908891949423,3.0,25.0,-4.366968068024232,32.0,-4.211359993857934,38.0,-3.076937145941339
16,GDGT__75_1.6_log,3.292085829417398,0.8685630953460105,2.0,35.0,3.90625268402494,36.0,2.6779189748098564,,
17,GDGT__65_2.4_stat,-3.096878785594814,2.8742090446103528,3.0,40.0,-0.5073760303530737,46.0,-6.18938827891605,49.0,-2.5938720475153176
18,GDGT__65_2.4_log,3.770157268450532,2.3939282325119673,3.0,43.0,6.441368606705523,44.0,1.8186255711334849,47.0,3.0504776275125867
19,GDGT__80_3.5_log,-2.699734107707885,0.8333986514481648,3.0,45.0,-1.9832899267050081,51.0,-2.50155336404512,52.0,-3.6143590323735264
20,GDGT__65_1.6_log,4.1687139872358046,1.694049123453651,3.0,48.0,2.9945858688240987,53.0,3.4008353156075004,54.0,6.110720777275815
21,NutLim__t0,1.7763568394002505e-15,6.589452837200568,2.0,55.0,4.659446785493459,56.0,-4.659446785493455,,
22,NutLim__t05,1.386386289049909,7.630101409331561,3.0,57.0,-4.223129998774488,58.0,10.074888375313616,59.0,-1.6925995093894013
23,NutLim__t1,2.7817110511317735,8.406739626307148,3.0,60.0,-6.8322282779266965,61.0,8.75160765980236,62.0,6.425753771519656
24,NutLim__t15,6.235343544168557,4.184542903184819,3.0,63.0,1.4276198066509458,64.0,9.057228924678439,65.0,8.221181901176285
25,NutLim__t2,3.912570323051597,9.233384284807135,3.0,66.0,8.5634748742572,67.0,9.895679926173937,68.0,-6.7214438312763445
26,NutLim__t4,-3.6269499246403507,11.754479257601247,2.0,69.0,4.684722067726106,70.0,-11.938621917006808,,
27,UV_irr__wt0,-8.881784197001252e-16,2.7246657409089647,3.0,71.0,-0.7690588889443868,72.0,3.0265390429946346,73.0,-2.2574801540502505
28,UV_irr__wt1,2.597145431019159,8.722279129895966,3.0,74.0,-0.059625051990836724,75.0,-4.487811776840059,76.0,12.338873121888373
29,UV_irr__wt2,1.2839985440526063,3.178294989651702,3.0,77.0,-0.9146621923455648,78.0,-0.16146523775551466,79.0,4.928123062258899
30,UV_irr__mut0,1.4546299890678942,2.719478918866715,3.0,80.0,-0.9703820105491768,81.0,4.394866636704784,82.0,0.9394053410480756
31,UV_irr__mut1,-0.7904949088687271,1.2944813349439783,3.0,83.0,-0.5569062447373497,84.0,-2.1858662540667235,85.0,0.37128777219789183
32,UV_irr__mut2,-1.4343590121840684,2.8859767771792226,3.0,86.0,0.13917530514105406,87.0,0.3228577663211929,88.0,-4.765110108014452
33,YtrA__overexpr,-0.12952382694625938,0.6785119822873392,3.0,89.0,-0.1766847147977104,90.0,0.5713382408998938,91.0,-0.7832250069409615
34,YtrA__wt,1.0732155904709846e-15,0.8333862859405835,3.0,92.0,0.7183324098725131,93.0,0.19538912439428366,94.0,-0.9137215342667936
