,nlpI
Cr_1,0.0007418584371632818
Cr_2,0.00201949934790728
Cr_3,0.006836485268268414
Cr_4,0.0107405564223939
Cr_5,0.01501453279511557
Cr_6,0.016377543780652846
Fe_1,-0.009805308987404006
Fe_2,-0.017248258553092366
Fe_3,-0.010632274704562484
Fe_4,-0.01700120316795729
Fe_5,-0.023091169512773
Fe_6,-0.025118318880179208
Cd_1,0.0044687270769745
Cd_2,0.008985460152817598
Cd_3,0.017645183633016013
Cd_4,0.025954135117613228
Cd_5,0.02677635665478004
Cd_6,0.035671218980355586
Zn_1,-0.006643626606576422
Zn_2,0.00012858545616331496
Zn_3,0.01055331302180766
Zn_4,0.02370173916921313
Zn_5,0.02042843392700977
Zn_6,0.023963289838837613
Cu_1,-0.001475857643461726
Cu_2,-0.0038034917615792133
Cu_3,-0.004507200202676987
Cu_4,-0.003793781230113481
Cu_5,-0.003468804449629233
Cu_6,0.0043315228216193324
Pb_1,0.010678360705395108
Pb_2,0.023081208245512828
Pb_3,0.027316282450110575
Pb_4,0.04000847830734285
Pb_5,0.05578397958448092
Pb_6,0.06930898844709522
