,-0.11465535679540058,-0.1003234371959755,-0.08599151759655042,-0.07165959799712535,-0.05732767839770027,-0.04299575879827519,-0.028663839198850113,-0.014331919599425036,4.163336342344337e-17,0.014331919599425133,0.028663839198850197,0.04299575879827526,0.05732767839770035,0.07165959799712544,0.0859915175965505,0.10032343719597557,0.11465535679540066,0.12898727639482577,0.14331919599425086,0.1576511155936759
thresh,-0.07882555779683789,0.07882555779683789,1,,,,,,,,,,,,,,,,,
unreg,1,0,1,2,4,20,118,1009,1802,704,152,47,15,8,4,2,3,2,1,0
unreg_genes,['tauD'],[],['ABUW_1441'],[],[],[],[],[],[],[],[],[],[],[],['ABUW_3011' 'ABUW_1998' 'arsR2' 'ABUW_2031'],['ABUW_2020' 'arsC2'],['ABUW_2048' 'ABUW_2049' 'ABUW_5007'],['ABUW_2038' 'ABUW_2039'],['ABUW_5006'],[]
