,yhhQ
Cr_1,-0.004640031016053304
Cr_2,-0.006102679674311439
Cr_3,-0.0049029321873768645
Cr_4,-0.0049450243774460355
Cr_5,-0.0052110832930739506
Cr_6,-0.004853548238647839
Fe_1,-0.0037825858578629623
Fe_2,0.0005349296649744717
Fe_3,0.005385593983685248
Fe_4,-1.3390714137141008e-05
Fe_5,-0.002830472681246513
Fe_6,-0.014813190655139629
Cd_1,0.0002587598077875971
Cd_2,0.0005056168357054767
Cd_3,0.0010209993720369838
Cd_4,0.00024580433758699603
Cd_5,-0.005759974936345539
Cd_6,-0.008502522277429576
Zn_1,-0.0002507929461500696
Zn_2,0.0005122056037541037
Zn_3,0.00037314144158117615
Zn_4,0.0013145876366752985
Zn_5,0.0048128421666405775
Zn_6,0.015843907466239683
Cu_1,-0.002785855461646438
Cu_2,-0.003532483796660379
Cu_3,-0.004190760317485174
Cu_4,-0.002617557293653227
Cu_5,-0.0024293771538520838
Cu_6,-0.004649839554718935
Pb_1,0.0022494573992309945
Pb_2,0.005642407187386415
Pb_3,0.005174850558718986
Pb_4,0.008472657400717596
Pb_5,0.0061032409655004715
Pb_6,0.015068438893730943
