,A,PuuR,RpoS,ArcA
R2,,0.84839388649169,0.1864658630739371,0.06447962826882003
xmin,,-4.286733989,-2.479313904,-1.6314585560000001
xmid,,-2.731310720835366,-1.5706057390949153,1.512982922720075
xmax,,2.178977619,3.009075552,2.531055996
ystart,,-12.002706048274646,-11.02768040081517,-7.177053356709344
yend,,7.4123001965382755,-1.7370814634655973,3.9512169261933963
control__wt_glc__1,-0.31223239880000003,-0.086720955,-0.049727751,0.036636971000000004
control__wt_glc__2,0.31223239880000003,0.086720955,0.049727751,-0.036636971000000004
fur__wt_dpd__1,-6.4245646153,-1.277566972,1.650326502,1.058304126
fur__wt_dpd__2,-5.6932613073,-1.107393721,1.6437026920000002,1.126720666
fur__wt_fe__1,-2.0087558004,-0.584549455,-0.22947255900000002,-0.05264584
fur__wt_fe__2,-2.8772271936,-0.7952439050000001,-0.271725376,-0.129847039
fur__delfur_dpd__1,-4.7550707897999995,-1.019469999,1.527195722,1.122678696
fur__delfur_dpd__2,-4.8699998623,-0.865705531,1.238544582,1.043829066
fur__delfur_fe2__1,-8.359350428900001,-1.765127836,0.6013075320000001,0.038872322
fur__delfur_fe2__2,-8.3738025258,-1.588094284,0.622610922,0.005759822
acid__wt_ph5__1,-6.2029976466,-1.166370384,0.177302749,0.9077065660000001
acid__wt_ph5__2,-6.3657546956,-1.07296322,0.18070148100000002,0.8854765760000001
acid__delgadx_ph5__2,-6.0388687653,-1.227003624,0.041918445000000006,0.6386470710000001
acid__delgadw_ph5__1,-5.9339397791,-1.200434607,0.132946996,0.774188486
acid__delgadw_ph5__2,-6.511992866,-1.215378006,0.028727889000000003,0.8036499260000001
acid__delgade_ph5__1,-6.0925686254,-0.99928434,0.245873005,0.499338233
acid__delgade_ph5__2,-5.5874829306,-1.161064547,0.353677022,0.48226117700000004
oxidative__wt_pq__1,-0.6716736134,0.256449977,2.449326732,2.161495396
oxidative__wt_pq__2,-1.3518425944999999,0.114718474,2.150239472,2.173902676
oxidative__deloxyr_pq__1,0.8286569645,0.6535658550000001,1.918683632,2.132592106
oxidative__deloxyr_pq__2,0.9054360143,0.43366561800000003,1.875718832,2.155119376
oxidative__delsoxr_pq__1,-5.4067191201,-1.000342053,2.174649812,2.114133386
oxidative__delsoxr_pq__2,-5.262472798,-0.916230604,2.132365622,2.045519786
oxidative__delsoxs_pq__1,-2.2790164435999998,-0.194768556,2.427061572,2.3445910960000003
oxidative__delsoxs_pq__2,-2.1752315838,-0.067384571,2.475274892,2.405278176
nac_ntrc__wt_csn__1,-3.9184004496,-0.774527505,1.849426562,0.614107743
nac_ntrc__wt_csn__2,-3.9086674909,-0.7018931340000001,1.826245562,0.560547789
nac_ntrc__wt_cytd__1,-1.1537143015,-0.36699746800000005,0.9658633820000001,0.279501977
nac_ntrc__wt_cytd__2,-1.6007197393,-0.39475182600000003,0.8995555820000001,0.286099773
nac_ntrc__wt_gln__1,-8.7040930633,-1.755118386,1.143877012,0.8913351260000001
nac_ntrc__wt_gln__2,-8.1142573831,-1.6419221130000001,1.201356272,0.8662795560000001
nac_ntrc__bw_delnac_csn__1,-6.429303359,-0.9963768930000001,2.170823912,0.9463078960000001
nac_ntrc__bw_delnac_csn__2,-6.3608608918,-1.097288048,2.363496512,1.058494226
nac_ntrc__bw_delnac_cytd__1,-8.2935482008,-1.3770540420000001,1.560056102,0.9694913660000001
nac_ntrc__bw_delnac_cytd__2,-7.9135349095,-1.6050407020000002,1.572826172,0.9866688160000001
nac_ntrc__bw_delnac_gln__1,-8.7880679972,-1.515570463,1.461736342,1.779034016
nac_ntrc__bw_delnac_gln__2,-9.2553243143,-1.555754367,1.4067977520000001,1.7441336060000001
nac_ntrc__bw_delnac_nh4__1,-8.9674148046,-1.840270971,0.360177262,0.532564653
nac_ntrc__bw_delnac_nh4__2,-9.0578515115,-1.5953441810000002,0.369957452,0.613698527
misc__wt_no_te__1,-5.5553338326,-1.2845494020000001,0.9244569520000001,0.985523586
misc__wt_no_te__2,-3.4278957849,-0.5968681330000001,0.42003344200000003,0.614279137
misc__bw_delcbl__1,-3.1149395465,-0.701144147,0.24477252300000002,0.12568636
misc__bw_delcbl__2,-3.3630909164,-0.6207708470000001,0.071577395,0.035046911
misc__bw_delfabr__1,-4.6923748425,-1.148767886,-0.25510862900000003,-0.24226446100000001
misc__bw_delfabr__2,-4.6634845469,-1.061312798,-0.162772564,-0.291546346
misc__bw_delfadr__1,-4.7140163559,-0.8509158240000001,0.10687962200000001,0.639510641
misc__bw_delfadr__2,-4.6704447529,-0.757064697,0.197510713,0.6575469140000001
misc__nitr_031__1,-6.9064859443,-1.1354375110000001,1.136068692,1.407530216
omics__wt_glu__1,-2.8834285679000002,-1.329869826,-0.23051727,-0.273254272
omics__wt_glu__2,-2.873206858,-1.230512014,0.043958795,-0.267923509
omics__wt_gly__1,-3.0792670458,-0.9018015070000001,-0.016657597,-0.30586483000000003
omics__wt_gly__2,-2.9723483911,-0.889654169,-0.015329333,-0.24486246900000003
omics__wt_thr__1,-6.9357014245,-2.885363675,-0.276530589,-0.121007954
omics__wt_thr__2,-6.9773110145,-3.005884215,-0.338241102,-0.04399066
omics__bw_ac__1,-5.1539111454,-0.952529987,1.014675532,-0.048029848
omics__bw_ac__2,-5.5893193198,-0.9393705680000001,0.977911822,-0.076148239
omics__bw_fum__1,-7.5785572454,-1.122041518,0.727420032,-0.046794311000000005
omics__bw_fum__2,-7.2303252214,-1.125502316,0.7373106620000001,-0.08552493700000001
omics__bw_glc__1,-5.2805119989,-0.632228346,0.38823240200000003,0.12043444
omics__bw_glc__2,-5.3230724276,-0.5675200890000001,0.395184152,0.131540097
omics__bw_pyr__1,-10.4801614501,-0.838290784,1.039849572,-0.350962926
omics__bw_pyr__2,-8.4483155597,-0.901977561,1.148814332,-0.34418755100000004
ompr__wt_nacl__1,-1.8830721976,-1.1731766860000001,1.6465871120000002,1.828340046
ompr__wt_nacl__2,-2.0742080195,-1.051017682,1.759748342,1.957742426
ompr__bw_delompr_nacl__1,-3.1174535551,-1.562869015,0.7287601720000001,1.3682953260000001
ompr__bw_delompr_nacl__2,-3.4742158903,-1.453035302,0.573927292,1.419179516
minspan__wt_ade__1,0.7014516846000001,0.9709402010000001,-0.41096649500000004,0.393576953
minspan__wt_glc__2,-3.8205431986000002,-1.100131033,0.115747578,0.444636982
minspan__wt_glc__3,-3.9105986732,-0.8833913790000001,0.027857161000000002,0.371492769
minspan__wt_glc__4,-3.7162568198,-1.049980117,0.048182902,0.331090588
minspan__wt_glc_anaero__1,-12.2959688658,-2.307597539,-0.27702965700000004,0.7573820960000001
minspan__wt_glc_anaero__2,-12.8522385,-2.483107941,-0.08955874200000001,0.696397778
minspan__wt_trp__1,-11.2544907753,-2.629772499,0.016084043000000003,0.37565932
minspan__bw_delcra_glc__2,-10.4927420634,-2.73780978,0.268831166,0.476845821
minspan__bw_delcra_trp__1,-11.6022693049,-2.582413922,0.030301163000000002,0.5289642950000001
minspan__bw_delmntr__1,-11.5763848132,-2.187225871,0.12121000100000001,0.487748006
minspan__bw_delnac_ade__1,-4.6563699079,0.25852695600000003,0.083390378,0.105543914
minspan__bw_delnac_glc__1,-3.2317021777,-0.56327101,0.41288737200000003,0.32585684400000003
cra_crp__wt_ac__1,-3.6715762152,-1.318994303,0.343919792,0.075213946
cra_crp__wt_ac__2,-3.3887415396,-1.387699508,0.222851611,0.040042087000000004
cra_crp__wt_fru__1,-0.7296673557000001,-0.620636477,0.32115443200000005,-0.27503787900000004
cra_crp__wt_fru__2,-1.1576921139,-0.807044359,0.286542844,-0.23072129300000002
cra_crp__delcra_ac__1,-5.0442645991,-0.7300011200000001,0.5809128020000001,0.252433879
cra_crp__delcra_ac__2,-4.8502357709,-0.826953641,0.6237719420000001,0.273945205
cra_crp__delcra_fru__1,-7.3945237772,-1.622942159,0.44571107200000004,0.519048295
cra_crp__delcra_fru__2,-7.3610559482,-1.449286055,0.527806022,0.512524654
cra_crp__delcra_glc__1,-3.1874018749,-0.744747092,-0.06741426,0.126573136
cra_crp__delcra_glc__2,-3.5669499987,-0.792777295,-0.009461412,0.126137254
