,alsB
Cr_1,0.0016507415591155202
Cr_2,0.007644331263341556
Cr_3,0.015553666567883729
Cr_4,0.02645352244291326
Cr_5,0.035881951668089496
Cr_6,0.04559498489697618
Fe_1,-0.0127708706085939
Fe_2,-0.03961928953416989
Fe_3,-0.07595903287557322
Fe_4,-0.11172150905170536
Fe_5,-0.13947758805256955
Fe_6,-0.1628497072644943
Cd_1,-0.02837449746657496
Cd_2,-0.0526203061683508
Cd_3,-0.07147151796762839
Cd_4,-0.08398215862324314
Cd_5,-0.0961882502227468
Cd_6,-0.10176230123906213
Zn_1,-0.001850048829227273
Zn_2,-0.013983742021103352
Zn_3,-0.012340217008250502
Zn_4,-0.000844936283852685
Zn_5,0.005703174947784878
Zn_6,0.014637134682750044
Cu_1,0.006926581533657803
Cu_2,0.01895706873662661
Cu_3,0.031143743687051337
Cu_4,0.04671051237590694
Cu_5,0.06284762263350098
Cu_6,0.07734022217738372
Pb_1,0.005144713339121846
Pb_2,0.0178610603062288
Pb_3,0.03433711941745135
Pb_4,0.05172146588795864
Pb_5,0.0679043442808872
Pb_6,0.08532683490538512
