,A,AllR
R2,,0.014290535036946217
xmin,,-3.8738627709
xmid,,2.160055630803189
xmax,,5.0285460609
ystart,,0.33370767482799923
yend,,3.59002679539883
SRX1125282,1.690417444,-0.0724963562
SRX1125283,0.44266768910000004,0.0501125522
SRX1125284,0.132428804,0.1578856607
SRX1125285,0.9155308783,-0.1388360971
SRX1125286,0.6873681482,-0.3547549922
SRX1125287,0.467111459,-0.4033529819
SRX1125288,-1.0450461853,-0.06277535220000001
SRX1125289,-0.5930769944000001,0.0730229886
SRX1125290,0.8294873794000001,-0.2200706566
SRX1125291,0.7973517666000001,-0.1076441325
SRX1125292,1.1949335379,-0.117230257
SRX1125293,2.6308864441,-0.039494746500000004
SRX1125294,-0.6453712587,0.1352717084
SRX1125295,0.5114569507,0.1449551118
SRX1125296,0.6285061109,0.047362572900000004
SRX1125297,-0.0805270193,-0.232800054
SRX1125298,1.4786604032000001,-0.3993241916
SRX1125299,1.940121553,-0.0573459632
SRX5694250,-1.4990490418,-0.9995291158
SRX5694251,3.7958825102000002,-1.6468273076000002
SRX5694252,0.0469995739,-1.9123715641
SRX5694253,0.3055180805,-0.3562713026
SRX5694254,1.7287951481000001,-0.4392481036
SRX5694255,3.9327910949,-2.7789820423
SRX5694256,-1.3274897303,-0.4252407124
SRX5694257,-0.3005352021,-0.4348395666
SRX5694258,-1.0367139027,-0.0070030011000000005
SRX5694259,2.2552580843,-1.6562694762999999
SRX5694260,-1.369735046,-0.4461727069
SRX5694261,1.1836185402,-1.4881407368000001
SRX5694262,2.6203462754,-2.0953881922
SRX5694263,-1.5767299189,-0.4523119846
SRX5694264,-1.160624493,-0.7500537425
SRX5694265,-0.5109026546000001,-0.2939656673
SRX5694267,1.0550126901,-0.1581853547
SRX5694268,-0.8950844015,-0.0387096064
SRX5694269,-1.1812064164,-0.3030366422
SRX5694271,-1.3789621453,-0.47806562350000004
SRX5694273,0.9424960073,-1.3551356204
SRX5694274,-1.441668949,-0.39934708900000004
SRX5694275,-1.4582811012999999,-0.3494294636
SRX5694276,1.2130146386,-1.0796268068
SRX5694277,-1.4218729717,-0.11185164360000001
SRX5694278,0.0758163984,-0.4076118554
SRX5694279,-1.675469853,-0.034049628900000004
SRX5694280,-1.2336988315,0.1276409019
SRX5694281,-1.8577443307000001,0.1528112383
SRX5694282,-0.7648062363,-0.0162617826
SRX5694283,0.7307605617,-0.10441043800000001
SRX5694284,-0.5484748238,-0.4560443622
SRX5694285,0.1471813125,-0.22413062220000002
SRX5694286,-0.048847259000000004,-0.160139255
SRX5694287,1.2450779829,0.4083106989
SRX5694288,-0.5898911131,-0.7489016961
SRX5694289,2.0501711786,-0.4213231371
SRX5694290,-1.0648617875,-0.915232232
SRX5694291,3.9381893981,-2.7279370354
SRX5694292,-1.633175701,-0.057584667000000006
SRX5694293,-1.8660690242,-0.6647762188
SRX5694294,1.0846696922,0.028232628000000003
