,Value,list
TF,soxS,
reg_genes,53,"['nfsB' 'pqiA' 'marA' 'acrZ' 'tolC' 'marR' 'ybjN' 'ygiB' 'acrB' 'yjcB'
 'acrA' 'ymgC' 'aroF' 'ycgZ' 'ygiC' 'waaZ' 'ptsG' 'zinT' 'pgi' 'pqiB'
 'acnA' 'waaY' 'pqiC' 'ompN' 'aldA' 'fur' 'tyrA' 'ypeC' 'yrbL' 'rob']"
comp_genes,41,"['yhcN' 'ygfZ' 'mdtG' 'aegA' 'treF' 'yobH' 'yggX' 'oxyR' 'lipA' 'yeiI'
 'mltC' 'yjjI' 'rspB' 'frvX' 'cpsG' 'yjjW' 'yaiA' 'rspA']"
both_genes,23,"['nfsA' 'ymgA' 'mdlB' 'soxS' 'ribA' 'ybaO' 'nfo' 'inaA' 'ariR' 'mdlA'
 'lpxC' 'sodA' 'fumC' 'fpr' 'fldA' 'nhoA' 'pfo' 'zwf' 'nepI' 'rimK' 'poxB'
 'ybjC' 'fldB']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,36,
comp_ops,35,
both_ops,19,
