gene_id,USA300HOU_RS15630
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,IS30 family transposase
cog,<i> Not Available </i>
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN006469000"">AureoWiki</a>"
