,xseB
Cr_1,-0.011128259265071504
Cr_2,-0.014747503914912726
Cr_3,-0.01666914146291039
Cr_4,-0.012361487882614909
Cr_5,-0.005153751421547272
Cr_6,-0.007161319054357947
Fe_1,-0.01703795760703386
Fe_2,-0.0325303417637381
Fe_3,-0.03155972196339346
Fe_4,-0.03719544939521996
Fe_5,-0.03767530589737661
Fe_6,-0.042849716393689126
Cd_1,0.002010702860436804
Cd_2,-0.0010749762506246038
Cd_3,0.0065444390264850424
Cd_4,0.01759486930366503
Cd_5,0.022843389789854764
Cd_6,0.03085368733053763
Zn_1,-0.006519143348045223
Zn_2,-0.0028857788077268163
Zn_3,0.0229759844880495
Zn_4,0.05786901555784785
Zn_5,0.09773301900212572
Zn_6,0.1276241979956141
Cu_1,-0.0026294695616398567
Cu_2,0.0034928564777920307
Cu_3,0.007582497746872459
Cu_4,0.014290500413767662
Cu_5,0.02434813699101173
Cu_6,0.03775975133541512
Pb_1,0.002504237144635948
Pb_2,0.0036489064840880842
Pb_3,0.013594345442706606
Pb_4,0.024334099416256926
Pb_5,0.03950211018458051
Pb_6,0.03509929744555538
