,ybhI
Cr_1,0.0028543296706190924
Cr_2,0.0065305587890593176
Cr_3,0.014469810344273032
Cr_4,0.02025757363403926
Cr_5,0.0261549904080196
Cr_6,0.027495146039896987
Fe_1,-0.008890858413498447
Fe_2,-0.02555326093979692
Fe_3,-0.03318863508789952
Fe_4,-0.04157282838604677
Fe_5,-0.04499742378003484
Fe_6,-0.044391100328722365
Cd_1,0.001427344121062299
Cd_2,0.002913341295413041
Cd_3,0.0070145287299071355
Cd_4,0.010768919915953865
Cd_5,0.013098523647730276
Cd_6,0.022322528130325398
Zn_1,-0.005937545720843982
Zn_2,-0.012392559617838386
Zn_3,-0.010761675784310152
Zn_4,-0.008578411752160904
Zn_5,-0.003776122559993712
Zn_6,-0.006016893329159743
Cu_1,0.006119633303933314
Cu_2,0.013775094185513582
Cu_3,0.015738266893163176
Cu_4,0.017019619325808144
Cu_5,0.02469390957134046
Cu_6,0.028676495525858974
Pb_1,-0.002959478611788744
Pb_2,-0.009635922979275251
Pb_3,-0.010371577611495562
Pb_4,-0.004287073133554531
Pb_5,-0.002658338962617464
Pb_6,-0.0029034999928594053
