,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
0,control__wt_glc,0.0,0.4291436974919129,2.0,0.0,0.3034504186,1.0,-0.3034504186,,,,,,,,
1,fur__wt_dpd,0.93594154075,0.2357092351318139,2.0,2.0,0.7692699422,3.0,1.1026131393,,,,,,,,
2,fur__wt_fe,-0.65276525735,0.14585817912385501,2.0,4.0,-0.5496279498000001,5.0,-0.7559025649000001,,,,,,,,
3,fur__delfur_dpd,1.69709975085,0.11545917437392172,2.0,6.0,1.6154577856999999,7.0,1.778741716,,,,,,,,
4,fur__delfur_fe2,0.28422130985000005,0.033851133077572836,2.0,8.0,0.3081576756,9.0,0.2602849441,,,,,,,,
5,acid__wt_ph5,-0.5005559181,0.2541634062657736,2.0,10.0,-0.32083525,11.0,-0.6802765862,,,,,,,,
6,acid__delgadx_ph5,-0.2982921504,,1.0,12.0,-0.2982921504,,,,,,,,,,
7,acid__delgadw_ph5,-0.95043615775,0.30484113614112357,2.0,13.0,-0.7348809232,14.0,-1.1659913923,,,,,,,,
8,acid__delgade_ph5,-0.45001705075,0.049387975874589735,2.0,15.0,-0.4150944781,16.0,-0.4849396234,,,,,,,,
9,oxidative__wt_pq,0.49423752150000005,0.09466508309774005,2.0,17.0,0.5611758437000001,18.0,0.42729919930000004,,,,,,,,
10,oxidative__deloxyr_pq,-0.28364564605000003,0.005310972331078873,2.0,19.0,-0.27989022150000004,20.0,-0.28740107060000003,,,,,,,,
11,oxidative__delsoxr_pq,1.3849531587000001,0.41485270457703377,2.0,21.0,1.0916079981,22.0,1.6782983193,,,,,,,,
12,oxidative__delsoxs_pq,1.7705931374500001,0.3739711498824342,2.0,23.0,2.0350306735,24.0,1.5061556014000002,,,,,,,,
13,nac_ntrc__wt_csn,0.73080827785,0.037470809296354206,2.0,25.0,0.7573041412,26.0,0.7043124145,,,,,,,,
14,nac_ntrc__wt_cytd,-0.64530267885,0.06979950732077485,2.0,27.0,-0.5959469739000001,28.0,-0.6946583838,,,,,,,,
15,nac_ntrc__wt_gln,-0.79148350235,0.49777343452903705,2.0,29.0,-1.1434624734,30.0,-0.4395045313,,,,,,,,
16,nac_ntrc__bw_delnac_csn,0.4290085694,0.3181305638485364,2.0,31.0,0.2040562904,32.0,0.6539608484,,,,,,,,
17,nac_ntrc__bw_delnac_cytd,-1.1611004956,0.09180957929870726,2.0,33.0,-1.2260196717,34.0,-1.0961813195,,,,,,,,
18,nac_ntrc__bw_delnac_gln,-1.2317569107,0.49262587542361835,2.0,35.0,-1.5800960078,36.0,-0.8834178136,,,,,,,,
19,nac_ntrc__bw_delnac_nh4,-0.9431925894000001,0.14288100918854849,2.0,37.0,-0.8421604589,38.0,-1.0442247199,,,,,,,,
20,misc__wt_no_te,-0.24520571410000003,0.300741829463374,2.0,39.0,-0.45786230110000004,40.0,-0.0325491271,,,,,,,,
21,misc__bw_delcbl,-0.56799298725,0.25585109316363863,2.0,41.0,-0.3870789443,42.0,-0.7489070302,,,,,,,,
22,misc__bw_delfabr,-1.1807945818,0.12187587135763074,2.0,43.0,-1.2669738369,44.0,-1.0946153267,,,,,,,,
23,misc__bw_delfadr,-0.47640166125000005,0.21439874271267167,2.0,45.0,-0.6280044661,46.0,-0.3247988564,,,,,,,,
24,misc__nitr_031,0.0696184365,,1.0,47.0,0.0696184365,,,,,,,,,,
25,omics__wt_glu,-1.2954649066,0.04420641483249101,2.0,48.0,-1.2642062509,49.0,-1.3267235623,,,,,,,,
26,omics__wt_gly,-1.1245151276,0.2336732557178076,2.0,50.0,-1.2897470712999999,51.0,-0.9592831839,,,,,,,,
27,omics__wt_thr,0.7600528091500001,0.15031580261702931,2.0,52.0,0.8663421325,53.0,0.6537634858,,,,,,,,
28,omics__bw_ac,0.46204839155,0.38733885254275746,2.0,54.0,0.1881584623,55.0,0.7359383208,,,,,,,,
29,omics__bw_fum,-0.37130197375,0.12404089181950653,2.0,56.0,-0.45901212950000003,57.0,-0.283591818,,,,,,,,
30,omics__bw_glc,-0.38493187395000006,0.3400862645475857,2.0,58.0,-0.1444545701,59.0,-0.6254091778,,,,,,,,
31,omics__bw_pyr,-0.5215067679000001,0.18659917796091735,2.0,60.0,-0.6534523120000001,61.0,-0.3895612238,,,,,,,,
32,ompr__wt_nacl,1.36643387335,0.48780193024199225,2.0,62.0,1.0215058206,63.0,1.7113619261,,,,,,,,
33,ompr__bw_delompr_nacl,-0.22560340765,0.12222654364164404,2.0,64.0,-0.3120306255,65.0,-0.13917618980000002,,,,,,,,
34,minspan__wt_ade,0.7975788402,,1.0,66.0,0.7975788402,,,,,,,,,,
35,minspan__wt_glc,-0.06141190643333333,0.42868381151315943,3.0,67.0,-0.3677108711,68.0,-0.2450197825,69.0,0.4284949343,,,,,,
36,minspan__wt_glc_anaero,0.33735571365000006,0.0364700342807158,2.0,70.0,0.3631439222,71.0,0.31156750510000003,,,,,,,,
37,minspan__wt_trp,1.1737685512,,1.0,72.0,1.1737685512,,,,,,,,,,
38,minspan__bw_delcra_glc,0.9095451415,,1.0,73.0,0.9095451415,,,,,,,,,,
39,minspan__bw_delcra_trp,-0.185464033,,1.0,74.0,-0.185464033,,,,,,,,,,
40,minspan__bw_delmntr,-0.4970129709,,1.0,75.0,-0.4970129709,,,,,,,,,,
41,minspan__bw_delnac_ade,3.499943542,,1.0,76.0,3.499943542,,,,,,,,,,
42,minspan__bw_delnac_glc,-1.1111235743,,1.0,77.0,-1.1111235743,,,,,,,,,,
43,cra_crp__wt_ac,0.013453170400000006,0.16616664756465124,2.0,78.0,-0.1040443929,79.0,0.13095073370000002,,,,,,,,
44,cra_crp__wt_fru,-1.2372658802999998,0.02849220292611634,2.0,80.0,-1.2171188504,81.0,-1.2574129102,,,,,,,,
45,cra_crp__delcra_ac,0.7095657921,0.05161398486202826,2.0,82.0,0.6730691934,83.0,0.7460623908,,,,,,,,
46,cra_crp__delcra_fru,-0.1738687731,0.4848768701166612,2.0,84.0,0.1689909498,85.0,-0.516728496,,,,,,,,
47,cra_crp__delcra_glc,-0.7461390072,0.41759000868936597,2.0,86.0,-0.4508582803,87.0,-1.0414197341,,,,,,,,
48,rpoB__wt_031,1.768706853,,1.0,88.0,1.768706853,,,,,,,,,,
49,rpoB__wt_044,0.6270594213,,1.0,89.0,0.6270594213,,,,,,,,,,
