,-0.085412116625,-0.06988264087500001,-0.05435316512500002,-0.038823689375000026,-0.023294213625000032,-0.007764737875000038,0.007764737874999955,0.02329421362499995,0.03882368937499994,0.054353165124999936,0.06988264087499993,0.08541211662499992,0.10094159237499992,0.11647106812499991,0.1320005438749999,0.1475300196249999,0.1630594953749999,0.17858897112499986,0.19411844687499988,0.2096479226249999
thresh,-0.0931768545,0.0931768545,18,,,,,,,,,,,,,,,,,
unreg,1,0,1,5,114,1489,1294,110,4,4,5,2,0,0,0,0,0,0,0,0
CodY,0,0,0,1,4,17,25,12,0,0,0,0,0,0,0,0,0,0,0,0
SigL,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
RocR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spo0A,0,0,0,0,3,20,38,2,1,0,0,0,0,0,0,0,0,0,0,0
SigA,1,1,6,6,53,463,378,38,9,0,3,2,0,0,0,0,0,0,0,0
AhrC,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CodY and SigL,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CodY and Spo0A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CodY and SigA,0,0,0,1,11,30,22,6,0,0,0,0,0,0,0,0,0,0,0,0
RocR and SigA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spo0A and SigA,0,0,0,0,1,15,19,1,1,0,0,0,0,0,0,0,0,0,0,0
"CodY, Spo0A, and SigA",0,0,0,0,0,9,25,1,0,0,0,0,0,0,0,0,0,0,0,0
"CodY, SigA, and AhrC",0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"CodY, PutR, Spo0A, and SigA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"CodY, SigL, RocR, and AhrC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"SigL, RocR, and AhrC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CodY, SigL, RocR, Spo0A, and AhrC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
CodY_genes,[],[],[],['thrD'],['bkdR' 'hom' 'yuiC' 'thrC'],"['thrB' 'yuiB' 'ybgE' 'ykfD' 'vpr' 'yuiA' 'yhjB' 'rapE' 'metN' 'ykfB'
 'ykfC' 'metP' 'hag' 'bacG' 'yhjC' 'guaB' 'ykfA']","['ypmP' 'ycgA' 'pksC' 'ybfJ' 'metQ' 'nprE' 'pksR' 'pksN' 'pksD' 'mpr'
 'bcaP' 'guaC' 'ywaA' 'ilvA' 'appB' 'pksM' 'BSU_misc_RNA_24' 'appA/2'
 'appA/1' 'appC' 'pksL' 'appF' 'ilvD' 'appD' 'pksE']","['pksH' 'pksI' 'pksJ' 'pksF' 'ylmA' 'pksG' 'acpK' 'oppD' 'oppC' 'oppF'
 'oppA' 'oppB']",[],[],[],[],[],[],[],[],[],[],[],[]
SigL_genes,[],[],[],[],[],['levD' 'sacC' 'levE' 'levG' 'levF'],['acoA' 'acoL'],['acoC' 'acoB'],[],[],[],[],[],[],[],[],[],[],[],[]
RocR_genes,[],[],[],[],[],['lexA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
