,A,SigL,AhrC,PutR,RocR,Spo0A,SigA,CodY
R2,,0.23336307958481217,0.11647904081789784,0.07286240096499641,0.062360912798142265,0.026057095210755388,0.002944433123703849,0.0009198151388511988
xmin,,8.6403,9.0497,8.1915,7.2291,10.4069,10.6334,10.4476
xmid,,11.190002170625615,,9.927632867175705,,,13.431306170608206,13.326001576343257
xmax,,13.7961,13.1831,13.2652,11.7113,14.6801,14.8203,15.0188
ystart,,1.345665248257717,12.759468629746117,1.848712673963817,11.307900868159585,-0.46083452152964455,3.848851073229053,3.7992336574249848
yend,,16.08889785987438,-2.874341732145993,12.664846596593826,-0.9685522119652177,7.551388148727284,6.12907818443405,6.651430908835845
LBexp_1,1.7340702871,10.8357,12.2089,11.037,10.1765,12.7798,13.9229,13.9905
LBexp_2,3.0109978232,11.3261,11.6336,11.4909,10.7925,13.1243,13.6986,13.9023
LBexp_3,3.8267003043,11.0433,11.3407,10.8244,10.3198,12.6478,13.5366,13.6442
LBtran_1,6.0706479808,12.937,11.1495,12.2447,10.5945,13.831900000000001,13.5861,11.2128
LBtran_2,5.2832179366,12.5081,10.5491,11.5398,10.0518,13.2747,13.6947,12.8546
LBtran_3,5.4226919778,12.2188,10.6316,11.1765,10.141,13.0191,13.6814,13.2594
LBstat_1,34.0160730111,12.3714,10.8931,11.0855,9.0119,13.1211,13.746,14.4019
LBstat_2,36.211579444,12.1514,10.5421,10.7966,8.8557,12.6921,13.8294,14.4324
LBstat_3,37.4125094116,12.1681,10.2258,10.4131,8.693200000000001,12.4921,13.7637,14.2735
LBGexp_1,-1.939635901,9.8467,12.2388,9.9987,10.3195,12.4997,14.0966,14.3469
LBGexp_2,-2.6092679838,10.0351,12.1913,11.0878,10.5299,12.9766,13.9632,13.8316
LBGexp_3,-1.7593647169,9.8824,12.0207,10.4651,10.0744,12.3604,14.2782,14.4358
LBGtran_2,-1.1664092774,10.9696,10.9219,9.992,8.6895,12.99,13.6213,13.3598
LBGtran_3,-2.5636926154,10.6414,11.7038,10.8808,9.6224,13.666,13.9309,13.7671
LBGstat_1,-2.9176525339,9.5579,10.8396,8.3101,7.2291,12.1087,13.8958,14.6161
LBGstat_2,0.45295159840000004,9.5488,10.623,8.3847,7.2514,11.6004,13.2182,13.3261
LBGstat_3,0.010245508700000001,9.9085,10.7183,9.711,8.081,12.5306,12.9318,13.732
S0_1,26.5068568875,12.3994,11.0569,10.9414,9.2114,12.3417,13.7975,13.8856
S0_2,28.3854500058,12.286200000000001,11.2647,10.6859,9.2185,11.9172,13.5336,13.9526
S0_3,28.1374089051,12.5425,11.0246,10.5761,9.61,12.0831,13.7362,14.1331
S1_1,13.2900596208,12.2856,11.082,13.1793,10.9488,13.8707,14.1328,13.3919
S1_2,13.781749257,12.3201,10.9183,13.2652,10.7519,13.600200000000001,14.2092,13.2397
S1_3,14.3533640319,12.307,11.3857,13.2508,11.1112,13.6234,14.064,13.3889
S2_1,4.4672963986,12.2171,10.7409,11.1834,9.9572,14.6764,12.1327,13.3442
S2_2,6.3717163581000005,12.1386,10.6686,11.3013,9.9633,14.569,12.2083,12.8932
S2_3,5.4849111165,12.0212,10.4692,11.1898,9.8225,14.6801,11.9224,13.2642
S3_1,3.8830373329,12.1943,11.136,11.2815,10.8052,14.2784,13.7874,14.6173
S3_2,6.9481183307,12.2009,11.3374,11.3479,10.7771,14.1227,12.9115,14.2788
S4_1,6.3063321617,12.5844,11.4502,11.2635,10.5439,14.0109,13.3174,14.56
S4_2,7.9020667954,12.6094,10.9111,10.9601,10.238,13.786,13.6235,14.4249
S4_3,8.3703875971,12.1227,10.796,10.577,9.9898,13.5988,13.5395,14.4157
S5_1,4.3896061259,12.4314,10.9955,10.88,9.9097,13.8064,13.9484,14.1253
S5_2,3.68983915,12.9974,11.2159,11.4302,10.455400000000001,14.0667,14.1419,14.4036
S5_3,4.525317201,12.7262,11.4169,11.3194,10.473700000000001,13.895199999999999,13.9735,14.4665
S6_1,5.8613912516,12.751,10.3089,10.6051,8.9687,13.3543,14.1058,13.9195
S6_2,11.4502088814,11.1951,9.6699,10.038,8.1573,12.4865,14.8051,11.8782
S6_3,6.1038094804,12.7085,10.3147,10.5981,9.3003,13.2377,13.7208,13.9144
S6/t_1,6.2043521601,12.5716,10.2188,10.3221,9.27,12.884,14.058,13.5507
S6/t_2,11.2698853974,10.3916,9.0497,9.3763,8.0408,11.6479,14.1715,11.597
S6_4,6.5992729464,11.6897,9.9225,9.8026,9.01,12.5137,13.8429,13.3404
S6_5,6.7648275781,12.3449,10.4948,10.2652,9.3834,13.2926,14.2173,13.7412
S6_6,6.6696966825,12.4453,10.5444,10.3707,9.5247,13.3281,14.1053,13.975
S7_4,5.8384974346,12.1273,10.4378,10.7441,9.4945,12.8561,13.8537,13.5006
S7_5,5.8446310243,11.7765,10.2391,10.4566,9.4252,12.7676,13.728,13.1636
S7_6,6.1313185322,11.8747,10.397,10.6617,9.5306,12.8506,13.6696,13.5133
S8_4,6.2735953197,11.7185,9.76,10.1607,9.1918,12.5011,13.1727,12.7485
S8_5,8.1325286242,11.0578,9.6712,10.2613,9.0084,11.5116,13.7501,12.086
G135_1,-1.5420950888,10.0451,12.6802,9.3484,9.0546,11.8906,14.5319,14.5718
G135_3,2.8655004803,8.6403,10.692,8.1915,8.0237,10.4069,12.9564,12.8517
G150_1,-0.10398071910000001,10.6959,11.9272,9.6315,9.4241,11.8357,13.5516,13.7143
G150_2,-2.0853576692,10.2245,12.6917,10.0771,9.4529,12.0267,14.3711,14.4415
G150_3,-1.6955248701999999,11.1535,12.5275,10.101,9.812100000000001,12.1046,14.2475,14.3732
G180_1,-3.0600059139,9.5715,12.391,9.7608,9.0104,11.8392,14.2981,14.2263
G180_2,-5.0885170492,9.8494,12.9619,10.0042,9.314,12.3114,14.6324,14.5368
G180_3,-1.1827581169,8.795,11.3013,8.8726,8.3101,11.3566,13.5078,13.6664
C30_1,3.7794984386,10.0432,11.1443,9.8427,9.0749,11.6734,13.9429,13.97
C30_2,4.3744551831,10.2878,11.3361,9.999600000000001,9.2965,11.9146,13.9782,14.388
C90_1,3.3285769002,10.4391,11.0417,10.6535,10.1409,13.0652,13.9492,12.6686
C90_2,2.4679979653,10.7462,11.4518,10.8415,10.6189,13.2394,14.0178,12.7106
BI_1,21.1425601385,12.1073,11.5951,10.5671,9.9116,13.2505,13.9966,13.5454
BI_2,22.10640471,12.0907,11.7851,10.7372,10.0216,13.3998,14.2096,13.7254
BC_2,12.6641970309,13.7961,12.0452,11.7526,8.8295,14.5792,14.5882,12.6714
BC/t_1,13.7628084338,13.1316,11.1999,11.1982,8.997,14.2206,14.4731,12.6095
BC/t_2,11.955887883599999,13.7126,11.7632,11.4915,9.496,14.3408,14.5832,12.6049
BC_1,13.8198938311,13.243,11.3098,11.2638,8.5225,14.0161,14.0031,12.3198
Sw_1,18.1329461467,13.2326,11.292,10.6785,8.6897,13.6699,14.5375,12.3203
Sw_2,18.3062197485,13.6331,12.0995,11.2472,9.0556,13.8338,14.5394,12.6832
BT_1,9.9315811897,12.171,9.8125,9.7545,9.0338,13.8071,14.0683,14.2113
BT_2,10.208285027,11.6322,9.3651,9.308,8.4383,13.4446,13.4581,13.6894
B36_1,10.2001953962,12.6853,11.05,10.2781,8.7316,14.1646,13.5848,13.9315
B36_2,8.6474919733,12.2,10.7989,10.259,8.8561,13.9349,13.206,13.6552
B60_1,11.2331504132,13.4839,11.1664,11.8878,8.4682,14.168,12.6109,13.2609
B60_2,8.1046277884,13.2167,11.154,12.1276,8.6313,14.0265,12.0737,12.7768
M9exp_1,0.0115012738,11.6696,12.0,10.8076,10.7057,13.3843,13.9416,13.6188
M9exp_2,0.5997603398,11.301,11.6022,10.5388,10.4098,12.9849,13.5344,13.1838
M9exp_3,-0.6112616136,11.2323,11.3148,10.3349,10.1181,12.8075,12.9987,13.0586
M9tran_1,0.7889779939,11.3267,11.1304,10.4398,10.0045,12.8649,12.9718,13.1631
M9tran_2,-0.3279050274,11.3131,11.0574,10.5641,10.0112,12.955,12.9986,13.5347
M9tran_3,0.0870382799,11.7159,11.3532,10.7488,10.2371,13.311,13.2089,13.0523
M9stat_1,10.148902942,12.0056,9.7096,10.4309,8.889,13.5318,11.1238,11.809
M9stat_2,8.5080654272,12.3523,9.5944,10.5239,8.4058,13.338799999999999,10.8989,10.7569
M9stat_3,9.1849295103,12.377,9.547,10.2419,8.257,13.1989,10.6334,10.4476
M+G_1,0.2223752515,11.224,10.9527,10.286,10.0785,12.4525,13.2264,13.2854
M+G_2,0.6579196533,10.8659,11.3743,10.2003,10.0783,12.777,13.4217,13.3607
M+G_3,0.6593696294,10.9668,11.0648,10.1037,9.9186,12.836,13.511800000000001,13.2547
Glu_1,0.29735253980000004,11.598,11.8962,10.9862,10.3538,13.2449,13.530100000000001,13.4134
Glu_2,1.3473559593,11.6331,11.8964,10.7084,10.1745,13.2102,13.6327,13.3736
Glu_3,-0.1522276931,11.7706,11.7493,10.885,10.3432,13.3968,13.7226,13.512
Fru_1,0.45376238690000004,11.5319,11.5945,10.6039,10.048,13.1049,14.0674,13.8242
Fru_2,4.1487758317,11.8527,11.6079,11.1654,10.2608,13.449,14.0951,13.7724
Fru_3,2.4280315536,11.2967,10.9594,10.4512,9.7982,12.6845,13.1654,12.8336
Mal_1,5.066730409,11.4752,10.5995,9.2406,9.5939,12.0555,13.4585,13.1849
Mal_2,2.8508212388,11.1681,11.0278,10.0646,9.7878,12.6314,13.6349,13.2762
Mal_3,3.8255699552999998,11.9153,11.3075,10.0743,9.9839,12.688,13.4566,13.3332
G+S_2,6.4542210249,11.5252,10.809,10.0638,9.327,13.7473,13.9115,13.5474
G+S_3,6.3863666579,11.8399,11.1145,10.5936,9.8077,13.7165,13.688,13.805
Pyr_1,3.4961291188,11.5241,10.600999999999999,10.1487,9.5252,13.3043,12.3939,12.7856
Pyr_2,5.8151644591,11.486,11.0792,10.4837,9.5642,13.3788,13.5458,13.5249
Pyr_3,5.0980366184,11.4389,10.9129,10.3643,9.4932,13.2183,13.0023,13.0692
Gly_1,3.7157989551,11.2246,10.1189,9.3059,8.9896,11.9001,12.5146,12.5882
Gly_2,3.6883747215,12.0511,10.6721,9.8833,9.4426,12.5392,13.6785,13.5829
Gly_3,3.6930859455,10.628,9.331,9.1931,8.4379,11.2735,12.1185,12.0453
Glucon_1,-0.5763860097,11.3705,10.7334,10.2823,9.5208,12.6,12.7107,12.3456
Glucon_2,-1.8331481234,11.7697,11.212,10.5666,9.6773,13.0393,13.0733,12.8288
Glucon_3,0.47895307400000003,11.1656,10.5031,9.9274,9.5353,12.1006,12.2186,11.6396
aero_1,5.6874724902,11.3587,12.1485,11.4726,10.4442,13.0035,14.1133,14.081
aero_2,6.4975957343,10.9842,10.8428,11.3383,9.9208,12.2607,13.0753,12.8037
aero_3,6.1098657155,11.6933,11.9552,11.2122,10.5585,13.0826,14.043,13.8412
nit_1,0.2629933205,11.0828,11.2739,9.7796,9.6623,12.7784,13.5453,14.1012
nit_2,0.994136761,11.3668,11.3197,10.0997,9.9514,13.3377,13.5476,14.1716
nit_3,0.5382310857,11.2249,11.2221,9.8709,9.6188,12.9881,13.1939,13.8872
ferm_1,0.2577334296,11.0412,11.0898,10.2027,9.4282,12.708,13.3104,14.0159
ferm_2,0.9518673111,10.9403,11.0512,9.8454,9.1394,12.6605,13.4516,13.9244
ferm_3,0.7241355278,11.3793,11.647,10.184,9.5989,13.1559,14.084,14.1888
T-5.40H_1,2.1329077271,12.2485,12.0816,11.2528,10.3573,13.7658,13.7772,13.1212
T-4.40H_1,2.510162743,11.958,11.7956,10.8467,10.161,13.467,13.9864,13.0653
T-3.40H_1,1.821876244,11.8086,11.6258,10.8268,10.3417,13.4315,13.7203,12.994
T-2.40H_1,1.5633207984,11.7294,11.4187,10.594899999999999,10.3946,13.258,13.5645,12.856300000000001
T-1.40H_1,0.2149142282,11.5977,11.2895,10.429,10.2463,13.2224,13.5384,12.5601
T-1.10H_1,0.37395094830000003,11.567,11.5519,10.5437,10.2909,13.196,13.6837,12.7993
T-0.40H_1,-2.9857975629,11.7329,11.3183,10.6603,10.2351,13.3502,13.1869,12.7221
T0.0H_1,-1.1857974532,12.053,11.1014,10.5631,10.134,13.2103,13.1322,12.6025
T0.30H_1,5.9276863437,13.196,10.2674,10.3291,8.3362,13.2425,12.4796,11.2867
T1.0H_1,17.5894676302,12.8264,10.1937,9.6798,8.9166,12.6492,12.338,11.1734
T1.30H_1,23.4639772172,12.5516,10.2309,10.347,9.1032,12.8158,12.2101,11.0286
T2.0H_1,23.672627973,12.416,10.2433,10.6182,9.1181,12.7982,12.1585,11.1144
T2.30H_1,18.8772306553,13.2041,11.035,11.2473,9.7759,13.6315,12.7417,12.0441
T3.0H_1,14.3940307446,12.699,10.6909,10.7606,9.2339,13.3845,12.3403,11.8191
T3.30H_1,12.5803517995,13.0135,11.1008,11.1723,9.5569,13.7597,12.2105,12.1971
T4.0H_1,10.7835320803,12.8643,11.071,11.2192,9.5681,14.0145,11.7531,12.6543
T5.0H_1,8.5578430432,11.895199999999999,10.6287,10.6734,9.4467,13.4427,11.4151,12.1556
