,yccA
Cr_1,0.002323415730270891
Cr_2,-0.011642656978164287
Cr_3,0.002126182452933541
Cr_4,0.024939462193195167
Cr_5,0.04610422466098111
Cr_6,0.07037716738561613
Fe_1,-0.008776803543544662
Fe_2,-0.02437211821905644
Fe_3,-0.04937377612471197
Fe_4,-0.06409814351600787
Fe_5,-0.06649552232805579
Fe_6,-0.07948401778046607
Cd_1,-0.0008566024538080322
Cd_2,-0.00580196588648489
Cd_3,-0.01588494089447429
Cd_4,-0.01222300453504801
Cd_5,-0.03358935702779573
Cd_6,-0.03736567920931473
Zn_1,-0.0035856345196583366
Zn_2,-0.011994527349840436
Zn_3,-0.014583837160899038
Zn_4,0.0048038504505750635
Zn_5,0.024508335631349302
Zn_6,0.010955344914978668
Cu_1,0.01711604544764544
Cu_2,0.04593033472119493
Cu_3,0.06959661714536143
Cu_4,0.08267651805651807
Cu_5,0.09653040056458292
Cu_6,0.09373817950410536
Pb_1,0.00159795970195608
Pb_2,0.003411099376849981
Pb_3,0.0055850132060111905
Pb_4,0.0002857033707010185
Pb_5,-4.748311500798282e-05
Pb_6,0.0011261902482810468
