,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,AB0057_PGcoculture__PGAB,-5.370533437733333,1.077972666650201,3.0,0.0,-4.4466250356,1.0,-5.1101165303,2.0,-6.5548587473,,
1,AB0057_PGcoculture__AB ,0.0,0.23969989729145968,4.0,3.0,0.2751266793,4.0,-0.2120238349,5.0,0.12613234610000001,6.0,-0.1892351905
2,AB0057_PGcoculture__ABPG,-1.26863150915,0.6435867878086039,4.0,7.0,-0.9348971005000001,8.0,-2.2167074576,9.0,-0.8136814494,10.0,-1.1092400291
3,AB5075_AZI__AZI_000,0.0,1.0652703538438792,2.0,11.0,-0.753259891,17.0,0.753259891,,,,
4,AB5075_AZI__preculture,0.23011929105,0.1415102622578323,2.0,12.0,0.130056425,13.0,0.3301821571,,,,
5,AB5075_AZI__AZI_040,3.6087291649499997,0.36579420878409313,2.0,14.0,3.8673847305,18.0,3.3500735994,,,,
6,AB5075_AZI__AZI_028,0.2084345524,0.8940730263385962,2.0,15.0,-0.42377054740000003,19.0,0.8406396522,,,,
7,AB5075_AZI__AZI_003,-0.15771968020000002,0.23568823186838164,2.0,16.0,-0.32437642720000004,20.0,0.0089370668,,,,
8,AB5075_VIR-O_AV-T__AV-T/vector,1.0850164539,0.5292735257292785,3.0,21.0,0.5136337156,28.0,1.1828999696,29.0,1.5585156765,,
9,AB5075_VIR-O_AV-T__VIR-O/vector,-9.25185853854297e-18,0.25333087132417775,3.0,22.0,-0.044906529800000004,23.0,0.2727812159,24.0,-0.2278746861,,
10,AB5075_VIR-O_AV-T__VIR-O/1645,0.6297108230333334,0.8475851669905494,3.0,25.0,1.4946489554,26.0,0.5938676961,27.0,-0.1993841824,,
11,AB5075_VIR-O_LSO__VIR-O,0.0,0.2957448095457663,3.0,30.0,0.0670417757,32.0,0.2564688406,34.0,-0.3235106163,,
12,AB5075_VIR-O_LSO__LSO,-0.11469136766666665,0.4505804597241438,3.0,31.0,0.31595336760000003,33.0,-0.0771667763,35.0,-0.5828606943,,
13,AB5075_Zinc__Control,0.0,1.2229414877930813,3.0,36.0,-0.5983149801000001,37.0,1.4069030705,38.0,-0.8085880904,,
14,AB5075_Zinc__Zinc,2.88212038305,0.13546308732786666,2.0,39.0,2.9779072507,40.0,2.7863335154,,,,
15,AB5075_biofilm+abx__planktonic,7.401486830834377e-17,2.032110064129949,3.0,41.0,2.3422364997000003,42.0,-1.2932552522,44.0,-1.0489812475,,
16,AB5075_biofilm+abx__biofilm,-1.4121571109333335,2.226195687763136,3.0,43.0,-3.9248865948000002,45.0,0.3138778833,46.0,-0.6254626213000001,,
17,AB5075_biofilm+abx__cip_biofilm,-5.2020192912,1.664847016744984,3.0,47.0,-7.0227189633,48.0,-3.7573426664,50.0,-4.8259962439,,
18,AB5075_biofilm+abx__tet_biofilm,-3.806978993833333,0.992316303877117,3.0,49.0,-2.661158157,51.0,-4.3763391518,52.0,-4.3834396727,,
19,AB5075_gigAB__kan_gigB,11.829247469466667,0.4995496436185724,3.0,53.0,12.2500507189,54.0,11.9605230541,55.0,11.2771686354,,
20,AB5075_gigAB__gigB,6.221442902700001,0.6527013004168069,3.0,56.0,5.7001520426,57.0,6.0106958562,58.0,6.9534808093,,
21,AB5075_gigAB__kan_gigA,10.569384583333333,1.4170152140768928,3.0,59.0,10.948406436500001,60.0,9.0014002464,61.0,11.7583470671,,
22,AB5075_gigAB__gigA,7.5660526673333335,1.2291333672921114,3.0,62.0,7.6208608682,63.0,8.7668651115,64.0,6.3104320223,,
23,AB5075_gigAB__kan_WT,3.167542151733333,0.5940401824660605,3.0,65.0,3.7392024648,66.0,3.2100214578,67.0,2.5534025326,,
24,AB5075_gigAB__WT,7.401486830834377e-17,1.3732617858129728,3.0,68.0,-1.5221313967999999,69.0,1.1460136696,70.0,0.37611772720000003,,
