,glnH
Cr_1,-0.014395032295058232
Cr_2,-0.017385544164229664
Cr_3,-0.033626837690177824
Cr_4,-0.05828568350312724
Cr_5,-0.07309520309220678
Cr_6,-0.09617015974672488
Fe_1,-0.07519748588633188
Fe_2,-0.08840648533185523
Fe_3,-0.09331930366997693
Fe_4,-0.1244956065029178
Fe_5,-0.11045611198954594
Fe_6,-0.09380457937358742
Cd_1,-0.005590969649475701
Cd_2,-0.008890530317062129
Cd_3,-0.007552745054200548
Cd_4,-0.0010045525991067689
Cd_5,-0.0033517225836386852
Cd_6,0.0005769576020634028
Zn_1,-0.012761572433260216
Zn_2,-0.015917240305794784
Zn_3,-0.026311507698210373
Zn_4,-0.030747995232797525
Zn_5,-0.027489737537417843
Zn_6,-0.017346264523351772
Cu_1,-0.015117775245870137
Cu_2,-0.017568985331582868
Cu_3,-0.022326847080454456
Cu_4,-0.025392547342913418
Cu_5,-0.02127253665301105
Cu_6,-0.014980563897734122
Pb_1,0.008811718637103387
Pb_2,-0.002602890794903671
Pb_3,-0.019299575905940683
Pb_4,-0.019282498375605056
Pb_5,-0.004388526246075243
Pb_6,0.0030704022195047675
